Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1636043193,2021-11-04T16:26:33Z,N55374,"33.615143,-114.720764",0,0,0
1636043195,2021-11-04T16:26:35Z,N55374,"33.61515,-114.72097",0,0,282
1636043199,2021-11-04T16:26:39Z,N55374,"33.615177,-114.721367",0,0,277
1636043201,2021-11-04T16:26:41Z,N55374,"33.615166,-114.721596",0,0,265
1636043205,2021-11-04T16:26:45Z,N55374,"33.615143,-114.721886",0,0,265
1636043207,2021-11-04T16:26:47Z,N55374,"33.615143,-114.722153",0,0,265
1636043214,2021-11-04T16:26:54Z,N55374,"33.615154,-114.722809",0,0,272
1636043219,2021-11-04T16:26:59Z,N55374,"33.61515,-114.723328",0,0,269
1636043225,2021-11-04T16:27:05Z,N55374,"33.61515,-114.723862",0,18,272
1636043227,2021-11-04T16:27:07Z,N55374,"33.615154,-114.724144",0,19,270
1636043229,2021-11-04T16:27:09Z,N55374,"33.615154,-114.72435",0,19,270
1636043232,2021-11-04T16:27:12Z,N55374,"33.61515,-114.724663",0,19,270
1636043239,2021-11-04T16:27:19Z,N55374,"33.615166,-114.725349",0,19,270
1636043245,2021-11-04T16:27:25Z,N55374,"33.615166,-114.725975",0,16,272
1636043251,2021-11-04T16:27:31Z,N55374,"33.615154,-114.72654",0,16,267
1636043256,2021-11-04T16:27:36Z,N55374,"33.615154,-114.72699",0,13,272
1636043261,2021-11-04T16:27:41Z,N55374,"33.615234,-114.727257",0,10,295
1636043266,2021-11-04T16:27:46Z,N55374,"33.615288,-114.727493",0,9,286
1636043351,2021-11-04T16:29:11Z,N55374,"33.615547,-114.727638",0,3,306
1636043365,2021-11-04T16:29:25Z,N55374,"33.615276,-114.727577",0,9,137
1636043372,2021-11-04T16:29:32Z,N55374,"33.615139,-114.727249",0,11,98
1636043375,2021-11-04T16:29:35Z,N55374,"33.615131,-114.727013",0,12,90
1636043379,2021-11-04T16:29:39Z,N55374,"33.61512,-114.726761",0,10,92
1636043568,2021-11-04T16:32:48Z,N55374,"33.615532,-114.727715",0,0,92
1636043622,2021-11-04T16:33:42Z,N55374,"33.615173,-114.726761",0,0,92
1636043673,2021-11-04T16:34:33Z,N55374,"33.615131,-114.726486",0,9,90
1636043681,2021-11-04T16:34:41Z,N55374,"33.615154,-114.726006",0,12,84
1636043687,2021-11-04T16:34:47Z,N55374,"33.615154,-114.725586",0,13,90
1636043694,2021-11-04T16:34:54Z,N55374,"33.61515,-114.725029",0,15,92
1636043700,2021-11-04T16:35:00Z,N55374,"33.61515,-114.724548",0,15,90
1636043707,2021-11-04T16:35:07Z,N55374,"33.61515,-114.723961",0,16,90
1636043712,2021-11-04T16:35:12Z,N55374,"33.61515,-114.723457",0,17,90
1636043719,2021-11-04T16:35:19Z,N55374,"33.615139,-114.722801",0,17,90
1636043725,2021-11-04T16:35:25Z,N55374,"33.615143,-114.722198",0,18,90
1636043734,2021-11-04T16:35:34Z,N55374,"33.615131,-114.721199",0,19,90
1636043740,2021-11-04T16:35:40Z,N55374,"33.615139,-114.720543",0,20,90
1636043747,2021-11-04T16:35:47Z,N55374,"33.615131,-114.719841",0,18,92
1636043754,2021-11-04T16:35:54Z,N55374,"33.615116,-114.719238",0,13,90
1636043759,2021-11-04T16:35:59Z,N55374,"33.61512,-114.718887",0,10,87
1636043765,2021-11-04T16:36:05Z,N55374,"33.615128,-114.718536",0,12,90
1636043773,2021-11-04T16:36:13Z,N55374,"33.615097,-114.718086",0,11,92
1636043779,2021-11-04T16:36:19Z,N55374,"33.615086,-114.71785",0,5,90
1636044511,2021-11-04T16:48:31Z,N55374,"33.615154,-114.718063",0,4,90
1636044518,2021-11-04T16:48:38Z,N55374,"33.615139,-114.718292",0,7,90
1636044523,2021-11-04T16:48:43Z,N55374,"33.615131,-114.718521",0,9,270
1636044528,2021-11-04T16:48:48Z,N55374,"33.615139,-114.718765",0,10,270
