Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1627570294,2021-07-29T14:51:34Z,N169CA,"32.033798,-102.130005",3150,137,279
1627570300,2021-07-29T14:51:40Z,N169CA,"32.035126,-102.134293",3225,143,295
1627570303,2021-07-29T14:51:43Z,N169CA,"32.036179,-102.136322",3275,145,303
1627570312,2021-07-29T14:51:52Z,N169CA,"32.040741,-102.141403",3350,153,325
1627570315,2021-07-29T14:51:55Z,N169CA,"32.042542,-102.142586",3375,155,331
1627570318,2021-07-29T14:51:58Z,N169CA,"32.044601,-102.143791",3400,156,335
1627570327,2021-07-29T14:52:07Z,N169CA,"32.050842,-102.146675",3525,161,339
1627570334,2021-07-29T14:52:14Z,N169CA,"32.055405,-102.148575",3575,166,341
1627570337,2021-07-29T14:52:17Z,N169CA,"32.057602,-102.149452",3600,168,341
1627570340,2021-07-29T14:52:20Z,N169CA,"32.05978,-102.150261",3600,170,341
1627570342,2021-07-29T14:52:22Z,N169CA,"32.061783,-102.150993",3625,172,342
1627570349,2021-07-29T14:52:29Z,N169CA,"32.066803,-102.152748",3675,177,343
1627570358,2021-07-29T14:52:38Z,N169CA,"32.073841,-102.155197",3650,183,343
1627570364,2021-07-29T14:52:44Z,N169CA,"32.078888,-102.156868",3625,184,344
1627570370,2021-07-29T14:52:50Z,N169CA,"32.084129,-102.158447",3625,184,346
1627570379,2021-07-29T14:52:59Z,N169CA,"32.091385,-102.160439",3625,185,346
1627570384,2021-07-29T14:53:04Z,N169CA,"32.096283,-102.161758",3625,187,346
1627570394,2021-07-29T14:53:14Z,N169CA,"32.104191,-102.164055",3575,188,345
1627570400,2021-07-29T14:53:20Z,N169CA,"32.109268,-102.165565",3575,188,345
1627570409,2021-07-29T14:53:29Z,N169CA,"32.116882,-102.167686",3575,187,346
1627570415,2021-07-29T14:53:35Z,N169CA,"32.122021,-102.169037",3575,185,347
1627570421,2021-07-29T14:53:41Z,N169CA,"32.127045,-102.170158",3675,178,350
1627570424,2021-07-29T14:53:44Z,N169CA,"32.129704,-102.170555",3775,174,352
1627570430,2021-07-29T14:53:50Z,N169CA,"32.134369,-102.171257",3875,169,351
1627570439,2021-07-29T14:53:59Z,N169CA,"32.140961,-102.172905",4000,162,346
1627570445,2021-07-29T14:54:05Z,N169CA,"32.145531,-102.174194",4100,159,346
1627570448,2021-07-29T14:54:08Z,N169CA,"32.147598,-102.174774",4150,157,346
1627570451,2021-07-29T14:54:11Z,N169CA,"32.149815,-102.175377",4200,156,346
1627570454,2021-07-29T14:54:14Z,N169CA,"32.151993,-102.17598",4225,156,346
1627570460,2021-07-29T14:54:20Z,N169CA,"32.156143,-102.177109",4300,154,347
1627570469,2021-07-29T14:54:29Z,N169CA,"32.162334,-102.178513",4425,149,351
1627570472,2021-07-29T14:54:32Z,N169CA,"32.164246,-102.178795",4475,147,353
1627570475,2021-07-29T14:54:35Z,N169CA,"32.166431,-102.179077",4525,146,353
1627570478,2021-07-29T14:54:38Z,N169CA,"32.168655,-102.17939",4550,146,352
1627570484,2021-07-29T14:54:44Z,N169CA,"32.172363,-102.180161",4625,144,348
1627570493,2021-07-29T14:54:53Z,N169CA,"32.178257,-102.182381",4750,142,337
1627570496,2021-07-29T14:54:56Z,N169CA,"32.179932,-102.18322",4775,141,334
1627570499,2021-07-29T14:54:59Z,N169CA,"32.181793,-102.184341",4800,140,332
1627570502,2021-07-29T14:55:02Z,N169CA,"32.183578,-102.185486",4850,141,330
1627570508,2021-07-29T14:55:08Z,N169CA,"32.186775,-102.188042",4875,141,323
1627570511,2021-07-29T14:55:11Z,N169CA,"32.188313,-102.189499",4900,142,320
1627570514,2021-07-29T14:55:14Z,N169CA,"32.189758,-102.190979",4900,142,317
1627570520,2021-07-29T14:55:20Z,N169CA,"32.192596,-102.194328",4950,144,313
1627570524,2021-07-29T14:55:24Z,N169CA,"32.19413,-102.196228",4950,144,312
1627570527,2021-07-29T14:55:27Z,N169CA,"32.195526,-102.198067",4975,144,311
1627570535,2021-07-29T14:55:35Z,N169CA,"32.199203,-102.203346",5075,143,307
1627570538,2021-07-29T14:55:38Z,N169CA,"32.200371,-102.205193",5100,141,305
1627570541,2021-07-29T14:55:41Z,N169CA,"32.201523,-102.207184",5150,140,302
1627570547,2021-07-29T14:55:47Z,N169CA,"32.203445,-102.211029",5225,137,300
1627570553,2021-07-29T14:55:53Z,N169CA,"32.205368,-102.214928",5325,135,300
1627570566,2021-07-29T14:56:06Z,N169CA,"32.209213,-102.222679",5425,136,300
1627570578,2021-07-29T14:56:18Z,N169CA,"32.213013,-102.230804",5525,144,297
1627570590,2021-07-29T14:56:30Z,N169CA,"32.216858,-102.239868",5700,148,297
1627570603,2021-07-29T14:56:43Z,N169CA,"32.220978,-102.249207",5950,146,296
1627570615,2021-07-29T14:56:55Z,N169CA,"32.224438,-102.257828",6175,144,294
1627570629,2021-07-29T14:57:09Z,N169CA,"32.228439,-102.26825",6400,146,293
1627570641,2021-07-29T14:57:21Z,N169CA,"32.231514,-102.277275",6600,148,290
1627570654,2021-07-29T14:57:34Z,N169CA,"32.234261,-102.28524",6775,149,293
1627570666,2021-07-29T14:57:46Z,N169CA,"32.237843,-102.29583",6950,153,289
1627570680,2021-07-29T14:58:00Z,N169CA,"32.240822,-102.307098",7200,151,285
1627570690,2021-07-29T14:58:10Z,N169CA,"32.242916,-102.314667",7350,152,289
1627570708,2021-07-29T14:58:28Z,N169CA,"32.248489,-102.32798",7550,157,298
1627570711,2021-07-29T14:58:31Z,N169CA,"32.249855,-102.330917",7600,158,299
1627570713,2021-07-29T14:58:33Z,N169CA,"32.250225,-102.331703",7625,157,299
1627570715,2021-07-29T14:58:35Z,N169CA,"32.251019,-102.333328",7650,157,299
1627570718,2021-07-29T14:58:38Z,N169CA,"32.252182,-102.335739",7700,157,300
1627570730,2021-07-29T14:58:50Z,N169CA,"32.256466,-102.344986",7875,158,296
1627570743,2021-07-29T14:59:03Z,N169CA,"32.260563,-102.355415",8050,160,293
1627570760,2021-07-29T14:59:20Z,N169CA,"32.265354,-102.369431",8300,160,290
1627570777,2021-07-29T14:59:37Z,N169CA,"32.269958,-102.382584",8550,159,293
1627570789,2021-07-29T14:59:49Z,N169CA,"32.273804,-102.392082",8725,158,297
1627570801,2021-07-29T15:00:01Z,N169CA,"32.278206,-102.401657",8875,158,298
1627570813,2021-07-29T15:00:13Z,N169CA,"32.282207,-102.409897",9050,158,301
1627570826,2021-07-29T15:00:26Z,N169CA,"32.288074,-102.419823",9175,161,305
1627570838,2021-07-29T15:00:38Z,N169CA,"32.29303,-102.428833",9400,156,299
1627570853,2021-07-29T15:00:53Z,N169CA,"32.297665,-102.439102",9650,153,298
1627570863,2021-07-29T15:01:03Z,N169CA,"32.301727,-102.448334",9750,157,296
1627570879,2021-07-29T15:01:19Z,N169CA,"32.306854,-102.459869",9925,158,298
1627570891,2021-07-29T15:01:31Z,N169CA,"32.310928,-102.46833",10100,158,300
1627570903,2021-07-29T15:01:43Z,N169CA,"32.315399,-102.47744",10275,155,300
1627570915,2021-07-29T15:01:55Z,N169CA,"32.319729,-102.48658",10400,158,298
1627570929,2021-07-29T15:02:09Z,N169CA,"32.32378,-102.495827",10500,162,297
1627570942,2021-07-29T15:02:22Z,N169CA,"32.32848,-102.506981",10675,162,295
1627570953,2021-07-29T15:02:33Z,N169CA,"32.331985,-102.515953",10825,162,294
1627570966,2021-07-29T15:02:46Z,N169CA,"32.336117,-102.527046",10950,165,292
1627570977,2021-07-29T15:02:57Z,N169CA,"32.339466,-102.537079",11100,163,290
1627570988,2021-07-29T15:03:08Z,N169CA,"32.342056,-102.54512",11250,161,291
1627571000,2021-07-29T15:03:20Z,N169CA,"32.345444,-102.555397",11375,163,290
1627571011,2021-07-29T15:03:31Z,N169CA,"32.348312,-102.564713",11525,162,289
1627571022,2021-07-29T15:03:42Z,N169CA,"32.351212,-102.57473",11650,163,287
1627571034,2021-07-29T15:03:54Z,N169CA,"32.353638,-102.584671",11750,163,285
1627571047,2021-07-29T15:04:07Z,N169CA,"32.356319,-102.595375",11900,162,287
1627571058,2021-07-29T15:04:18Z,N169CA,"32.358719,-102.603897",12075,158,288
1627571089,2021-07-29T15:04:49Z,N169CA,"32.366638,-102.630379",12425,159,288
1627571122,2021-07-29T15:05:22Z,N169CA,"32.374878,-102.656471",12800,157,291
1627571155,2021-07-29T15:05:55Z,N169CA,"32.383644,-102.683098",13100,159,292
1627571191,2021-07-29T15:06:31Z,N169CA,"32.392914,-102.712997",13450,158,289
1627571223,2021-07-29T15:07:03Z,N169CA,"32.400822,-102.738426",13725,161,288
1627571254,2021-07-29T15:07:34Z,N169CA,"32.407425,-102.765617",14025,161,283
1627571285,2021-07-29T15:08:05Z,N169CA,"32.412601,-102.791733",14375,160,280
1627571318,2021-07-29T15:08:38Z,N169CA,"32.417255,-102.820038",14725,160,283
1627571347,2021-07-29T15:09:07Z,N169CA,"32.42326,-102.844307",15025,160,289
1627571381,2021-07-29T15:09:41Z,N169CA,"32.431732,-102.872406",15300,162,289
1627571417,2021-07-29T15:10:17Z,N169CA,"32.440437,-102.903328",15675,160,285
1627571448,2021-07-29T15:10:48Z,N169CA,"32.445419,-102.929955",15900,161,280
1627571481,2021-07-29T15:11:21Z,N169CA,"32.448029,-102.958206",16150,162,275
1627571513,2021-07-29T15:11:53Z,N169CA,"32.450726,-102.986458",16375,165,277
1627571545,2021-07-29T15:12:25Z,N169CA,"32.453476,-103.015671",16625,166,277
1627571577,2021-07-29T15:12:57Z,N169CA,"32.455811,-103.044945",16800,169,271
1627571607,2021-07-29T15:13:27Z,N169CA,"32.455582,-103.073181",17025,169,269
1627571641,2021-07-29T15:14:01Z,N169CA,"32.456219,-103.103943",17225,171,271
1627571672,2021-07-29T15:14:32Z,N169CA,"32.456501,-103.134941",17175,189,271
1627571704,2021-07-29T15:15:04Z,N169CA,"32.456726,-103.168816",17175,197,268
1627571735,2021-07-29T15:15:35Z,N169CA,"32.456268,-103.20192",17275,197,270
1627571767,2021-07-29T15:16:07Z,N169CA,"32.456131,-103.23671",17300,198,270
1627571800,2021-07-29T15:16:40Z,N169CA,"32.455765,-103.272362",17325,199,269
1627571834,2021-07-29T15:17:14Z,N169CA,"32.455288,-103.308762",17350,202,268
1627571864,2021-07-29T15:17:44Z,N169CA,"32.455151,-103.342613",17400,201,270
1627571895,2021-07-29T15:18:15Z,N169CA,"32.453613,-103.377556",17350,203,262
1627571927,2021-07-29T15:18:47Z,N169CA,"32.450043,-103.411781",17350,206,264
1627571960,2021-07-29T15:19:20Z,N169CA,"32.446564,-103.44886",17325,204,262
1627571990,2021-07-29T15:19:50Z,N169CA,"32.442814,-103.483528",17300,207,263
1627572022,2021-07-29T15:20:22Z,N169CA,"32.439602,-103.519852",17275,206,264
1627572053,2021-07-29T15:20:53Z,N169CA,"32.436157,-103.553825",17225,209,262
1627572085,2021-07-29T15:21:25Z,N169CA,"32.430817,-103.589264",17200,205,259
1627572117,2021-07-29T15:21:57Z,N169CA,"32.424179,-103.623375",17200,204,253
1627572141,2021-07-29T15:22:21Z,N169CA,"32.41658,-103.648758",17200,202,243
1627572143,2021-07-29T15:22:23Z,N169CA,"32.415298,-103.651443",17175,201,241
1627572147,2021-07-29T15:22:27Z,N169CA,"32.413765,-103.654602",17175,200,239
1627572148,2021-07-29T15:22:28Z,N169CA,"32.413254,-103.655502",17175,199,237
1627572149,2021-07-29T15:22:29Z,N169CA,"32.412369,-103.657051",17175,198,236
1627572150,2021-07-29T15:22:30Z,N169CA,"32.412136,-103.657463",17175,200,239
1627572152,2021-07-29T15:22:32Z,N169CA,"32.410812,-103.659683",17175,197,235
1627572153,2021-07-29T15:22:33Z,N169CA,"32.410492,-103.660233",17200,197,235
1627572155,2021-07-29T15:22:35Z,N169CA,"32.409203,-103.662453",17200,197,235
1627572156,2021-07-29T15:22:36Z,N169CA,"32.408936,-103.662872",17200,197,235
1627572159,2021-07-29T15:22:39Z,N169CA,"32.407059,-103.666061",17200,196,234
1627572161,2021-07-29T15:22:41Z,N169CA,"32.406006,-103.667816",17200,197,234
1627572162,2021-07-29T15:22:42Z,N169CA,"32.405712,-103.668282",17200,197,234
1627572163,2021-07-29T15:22:43Z,N169CA,"32.405457,-103.668694",17200,197,234
1627572164,2021-07-29T15:22:44Z,N169CA,"32.404453,-103.670357",17200,197,234
1627572198,2021-07-29T15:23:18Z,N169CA,"32.386391,-103.700172",17175,198,234
1627572227,2021-07-29T15:23:47Z,N169CA,"32.371124,-103.725876",17200,193,234
1627572261,2021-07-29T15:24:21Z,N169CA,"32.353806,-103.754715",17175,196,235
1627572292,2021-07-29T15:24:52Z,N169CA,"32.337616,-103.781693",17225,192,234
1627572323,2021-07-29T15:25:23Z,N169CA,"32.320816,-103.809212",17200,194,234
1627572357,2021-07-29T15:25:57Z,N169CA,"32.303902,-103.837616",17275,190,234
1627572388,2021-07-29T15:26:28Z,N169CA,"32.288074,-103.863625",17325,190,234
1627572421,2021-07-29T15:27:01Z,N169CA,"32.271606,-103.891556",17325,193,235
1627572454,2021-07-29T15:27:34Z,N169CA,"32.254276,-103.920128",17300,195,233
1627572487,2021-07-29T15:28:07Z,N169CA,"32.237137,-103.949013",17325,193,235
1627572523,2021-07-29T15:28:43Z,N169CA,"32.218014,-103.980438",17300,197,234
1627572555,2021-07-29T15:29:15Z,N169CA,"32.20079,-104.008888",17350,195,235
1627572588,2021-07-29T15:29:48Z,N169CA,"32.183331,-104.038567",17300,197,235
1627572622,2021-07-29T15:30:22Z,N169CA,"32.165771,-104.067772",17275,198,233
1627572653,2021-07-29T15:30:53Z,N169CA,"32.149487,-104.094337",17250,199,235
1627572685,2021-07-29T15:31:25Z,N169CA,"32.132126,-104.123528",17250,198,233
1627572718,2021-07-29T15:31:58Z,N169CA,"32.114502,-104.152641",17250,198,234
1627572751,2021-07-29T15:32:31Z,N169CA,"32.097347,-104.181671",17275,198,235
1627572784,2021-07-29T15:33:04Z,N169CA,"32.079803,-104.210983",17225,199,235
1627572821,2021-07-29T15:33:41Z,N169CA,"32.060154,-104.243271",17200,200,234
