Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1627658048,2021-07-30T15:14:08Z,N169CA,"32.037231,-102.12693",3025,141,302
1627658060,2021-07-30T15:14:20Z,N169CA,"32.043816,-102.132553",3150,151,339
1627658066,2021-07-30T15:14:26Z,N169CA,"32.047958,-102.133949",3200,156,345
1627658074,2021-07-30T15:14:34Z,N169CA,"32.054214,-102.135826",3250,162,345
1627658081,2021-07-30T15:14:41Z,N169CA,"32.05899,-102.137314",3325,164,345
1627658096,2021-07-30T15:14:56Z,N169CA,"32.070023,-102.140678",3475,168,345
1627658117,2021-07-30T15:15:17Z,N169CA,"32.086807,-102.145004",3575,179,348
1627658132,2021-07-30T15:15:32Z,N169CA,"32.099487,-102.147804",3600,189,349
1627658147,2021-07-30T15:15:47Z,N169CA,"32.112759,-102.15004",3650,192,352
1627658162,2021-07-30T15:16:02Z,N169CA,"32.126038,-102.152031",3700,195,354
1627658171,2021-07-30T15:16:11Z,N169CA,"32.134312,-102.152954",3750,195,354
1627658177,2021-07-30T15:16:17Z,N169CA,"32.139618,-102.153793",3875,190,351
1627658183,2021-07-30T15:16:23Z,N169CA,"32.144669,-102.154778",4000,185,349
1627658189,2021-07-30T15:16:29Z,N169CA,"32.14975,-102.155876",4100,183,349
1627658192,2021-07-30T15:16:32Z,N169CA,"32.152405,-102.156479",4150,182,348
1627658195,2021-07-30T15:16:35Z,N169CA,"32.154793,-102.157043",4200,181,348
1627658198,2021-07-30T15:16:38Z,N169CA,"32.157261,-102.157608",4250,180,348
1627658201,2021-07-30T15:16:41Z,N169CA,"32.159637,-102.158127",4275,179,348
1627658207,2021-07-30T15:16:47Z,N169CA,"32.16449,-102.159225",4375,177,349
1627658213,2021-07-30T15:16:53Z,N169CA,"32.169388,-102.160217",4425,177,350
1627658222,2021-07-30T15:17:02Z,N169CA,"32.176346,-102.161644",4550,177,350
1627658228,2021-07-30T15:17:08Z,N169CA,"32.181793,-102.162704",4625,176,350
1627658234,2021-07-30T15:17:14Z,N169CA,"32.186638,-102.163658",4700,176,350
1627658240,2021-07-30T15:17:20Z,N169CA,"32.191525,-102.164444",4750,177,352
1627658246,2021-07-30T15:17:26Z,N169CA,"32.196274,-102.165062",4925,170,353
1627658252,2021-07-30T15:17:32Z,N169CA,"32.200695,-102.16568",5100,162,353
1627658264,2021-07-30T15:17:44Z,N169CA,"32.209488,-102.166702",5375,156,354
1627658276,2021-07-30T15:17:56Z,N169CA,"32.218246,-102.167747",5550,157,353
1627658288,2021-07-30T15:18:08Z,N169CA,"32.226997,-102.168869",5725,158,353
1627658301,2021-07-30T15:18:21Z,N169CA,"32.236027,-102.170105",5950,154,353
1627658313,2021-07-30T15:18:33Z,N169CA,"32.244873,-102.17128",6150,154,353
1627658342,2021-07-30T15:19:02Z,N169CA,"32.265076,-102.174477",6600,154,351
1627658353,2021-07-30T15:19:13Z,N169CA,"32.273483,-102.176201",6800,153,347
1627658360,2021-07-30T15:19:20Z,N169CA,"32.277367,-102.177727",6950,150,338
1627658362,2021-07-30T15:19:22Z,N169CA,"32.27916,-102.178894",7000,149,329
1627658365,2021-07-30T15:19:25Z,N169CA,"32.280857,-102.180359",7075,149,321
1627658373,2021-07-30T15:19:33Z,N169CA,"32.283691,-102.18428",7150,150,303
1627658378,2021-07-30T15:19:38Z,N169CA,"32.285049,-102.18821",7225,152,287
1627658384,2021-07-30T15:19:44Z,N169CA,"32.285385,-102.193398",7300,152,265
1627658390,2021-07-30T15:19:50Z,N169CA,"32.284012,-102.198341",7425,148,243
1627658394,2021-07-30T15:19:54Z,N169CA,"32.283096,-102.199936",7450,145,234
1627658396,2021-07-30T15:19:56Z,N169CA,"32.281464,-102.201889",7525,143,222
1627658405,2021-07-30T15:20:05Z,N169CA,"32.275955,-102.204765",7625,140,193
1627658408,2021-07-30T15:20:08Z,N169CA,"32.274014,-102.205193",7675,140,190
1627658411,2021-07-30T15:20:11Z,N169CA,"32.27206,-102.205589",7725,139,188
1627658412,2021-07-30T15:20:12Z,N169CA,"32.271469,-102.205643",7725,139,188
1627658430,2021-07-30T15:20:30Z,N169CA,"32.260208,-102.20713",8025,137,185
1627658441,2021-07-30T15:20:41Z,N169CA,"32.253021,-102.208",8200,138,186
1627658456,2021-07-30T15:20:56Z,N169CA,"32.243179,-102.209824",8400,142,191
1627658475,2021-07-30T15:21:15Z,N169CA,"32.231369,-102.213608",8600,148,197
1627658486,2021-07-30T15:21:26Z,N169CA,"32.223785,-102.216461",8775,148,197
1627658499,2021-07-30T15:21:39Z,N169CA,"32.21553,-102.219162",8950,147,194
1627658511,2021-07-30T15:21:51Z,N169CA,"32.207565,-102.221413",9125,145,191
1627658523,2021-07-30T15:22:03Z,N169CA,"32.199532,-102.222961",9275,146,187
1627658538,2021-07-30T15:22:18Z,N169CA,"32.189617,-102.224197",9450,146,184
1627658553,2021-07-30T15:22:33Z,N169CA,"32.179321,-102.225143",9700,144,184
1627658574,2021-07-30T15:22:54Z,N169CA,"32.165035,-102.226997",9950,147,188
1627658586,2021-07-30T15:23:06Z,N169CA,"32.156841,-102.229073",10075,151,195
1627658589,2021-07-30T15:23:09Z,N169CA,"32.154785,-102.229874",10125,152,197
1627658601,2021-07-30T15:23:21Z,N169CA,"32.146881,-102.232887",10325,147,196
1627658613,2021-07-30T15:23:33Z,N169CA,"32.139385,-102.235069",10475,145,192
1627658628,2021-07-30T15:23:48Z,N169CA,"32.12933,-102.237427",10675,146,189
1627658645,2021-07-30T15:24:05Z,N169CA,"32.117249,-102.2397",10875,148,189
1627658663,2021-07-30T15:24:23Z,N169CA,"32.104656,-102.242805",11100,149,193
1627658688,2021-07-30T15:24:48Z,N169CA,"32.089096,-102.247116",11375,148,192
1627658699,2021-07-30T15:24:59Z,N169CA,"32.081474,-102.249809",11500,149,200
1627658715,2021-07-30T15:25:15Z,N169CA,"32.07106,-102.255142",11650,151,205
1627658727,2021-07-30T15:25:27Z,N169CA,"32.063187,-102.25959",11775,151,204
1627658745,2021-07-30T15:25:45Z,N169CA,"32.05188,-102.265465",12000,149,204
1627658779,2021-07-30T15:26:19Z,N169CA,"32.029148,-102.277557",12075,169,204
1627658815,2021-07-30T15:26:55Z,N169CA,"32.003815,-102.293808",12125,173,224
1627658818,2021-07-30T15:26:58Z,N169CA,"32.002304,-102.29628",12125,175,238
1627658821,2021-07-30T15:27:01Z,N169CA,"32.00145,-102.298859",12100,177,251
1627658823,2021-07-30T15:27:03Z,N169CA,"32.00116,-102.301498",12075,178,266
1627658827,2021-07-30T15:27:07Z,N169CA,"32.001617,-102.30452",12050,177,284
1627658830,2021-07-30T15:27:10Z,N169CA,"32.002716,-102.307106",12050,175,301
1627658833,2021-07-30T15:27:13Z,N169CA,"32.003769,-102.308533",12050,174,311
1627658839,2021-07-30T15:27:19Z,N169CA,"32.007549,-102.31237",12125,169,320
1627658841,2021-07-30T15:27:21Z,N169CA,"32.009399,-102.314133",12150,167,321
1627658845,2021-07-30T15:27:25Z,N169CA,"32.011459,-102.316055",12175,165,321
1627658863,2021-07-30T15:27:43Z,N169CA,"32.023682,-102.318092",12075,160,26
