Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1628003542,2021-08-03T15:12:22Z,N169CA,"32.060013,-102.055138",3250,165,37
1628003548,2021-08-03T15:12:28Z,N169CA,"32.063877,-102.052002",3300,170,33
1628003553,2021-08-03T15:12:33Z,N169CA,"32.067398,-102.049309",3325,171,32
1628003563,2021-08-03T15:12:43Z,N169CA,"32.074036,-102.044861",3425,170,27
1628003569,2021-08-03T15:12:49Z,N169CA,"32.078262,-102.042419",3575,164,25
1628003578,2021-08-03T15:12:58Z,N169CA,"32.084381,-102.038986",3825,157,25
1628003587,2021-08-03T15:13:07Z,N169CA,"32.090179,-102.035805",4000,154,24
1628003593,2021-08-03T15:13:13Z,N169CA,"32.094086,-102.033707",4150,151,24
1628003604,2021-08-03T15:13:24Z,N169CA,"32.100933,-102.030251",4375,148,22
1628003618,2021-08-03T15:13:38Z,N169CA,"32.110199,-102.025879",4600,149,21
1628003639,2021-08-03T15:13:59Z,N169CA,"32.123611,-102.022507",5100,139,9
1628003645,2021-08-03T15:14:05Z,N169CA,"32.127365,-102.022888",5225,139,352
1628003661,2021-08-03T15:14:21Z,N169CA,"32.137199,-102.027451",5425,145,329
1628003666,2021-08-03T15:14:26Z,N169CA,"32.140083,-102.029747",5525,145,323
1628003671,2021-08-03T15:14:31Z,N169CA,"32.142654,-102.032173",5625,143,319
1628003682,2021-08-03T15:14:42Z,N169CA,"32.147533,-102.038216",5850,141,310
1628003683,2021-08-03T15:14:43Z,N169CA,"32.147919,-102.038712",5875,140,309
1628003686,2021-08-03T15:14:46Z,N169CA,"32.149429,-102.041016",5950,140,307
1628003689,2021-08-03T15:14:49Z,N169CA,"32.150482,-102.04277",6000,140,305
1628003698,2021-08-03T15:14:58Z,N169CA,"32.153641,-102.048653",6150,141,300
1628003701,2021-08-03T15:15:01Z,N169CA,"32.154655,-102.050766",6200,142,299
1628003703,2021-08-03T15:15:03Z,N169CA,"32.155518,-102.052605",6225,143,298
1628003710,2021-08-03T15:15:10Z,N169CA,"32.157532,-102.057167",6325,143,298
1628003713,2021-08-03T15:15:13Z,N169CA,"32.158127,-102.058594",6350,144,297
1628003716,2021-08-03T15:15:16Z,N169CA,"32.159225,-102.061172",6400,145,296
1628003729,2021-08-03T15:15:29Z,N169CA,"32.162476,-102.070389",6600,147,288
1628003731,2021-08-03T15:15:31Z,N169CA,"32.162987,-102.072403",6650,148,286
1628003734,2021-08-03T15:15:34Z,N169CA,"32.163483,-102.074524",6700,149,283
1628003738,2021-08-03T15:15:38Z,N169CA,"32.163967,-102.077171",6750,150,281
1628003740,2021-08-03T15:15:40Z,N169CA,"32.164352,-102.079689",6775,151,279
1628003743,2021-08-03T15:15:43Z,N169CA,"32.164673,-102.082108",6825,151,278
1628003746,2021-08-03T15:15:46Z,N169CA,"32.164948,-102.084579",6875,152,277
1628003750,2021-08-03T15:15:50Z,N169CA,"32.165222,-102.087318",6925,153,276
1628003753,2021-08-03T15:15:53Z,N169CA,"32.165455,-102.089447",6975,152,276
1628003761,2021-08-03T15:16:01Z,N169CA,"32.166,-102.096992",7125,152,274
1628003780,2021-08-03T15:16:20Z,N169CA,"32.166458,-102.11248",7425,156,270
1628003791,2021-08-03T15:16:31Z,N169CA,"32.166275,-102.122536",7600,157,267
1628003803,2021-08-03T15:16:43Z,N169CA,"32.165874,-102.132996",7775,159,267
1628003818,2021-08-03T15:16:58Z,N169CA,"32.165039,-102.146042",8000,162,263
1628003830,2021-08-03T15:17:10Z,N169CA,"32.163593,-102.156487",8250,159,258
1628003836,2021-08-03T15:17:16Z,N169CA,"32.162708,-102.161026",8350,155,257
1628003839,2021-08-03T15:17:19Z,N169CA,"32.162201,-102.163513",8425,154,256
1628003851,2021-08-03T15:17:31Z,N169CA,"32.159958,-102.17318",8650,153,253
1628003857,2021-08-03T15:17:37Z,N169CA,"32.158585,-102.178291",8725,153,251
1628003866,2021-08-03T15:17:46Z,N169CA,"32.156376,-102.184906",8850,153,246
1628003872,2021-08-03T15:17:52Z,N169CA,"32.154327,-102.18972",8950,154,243
1628003878,2021-08-03T15:17:58Z,N169CA,"32.15213,-102.194054",9000,156,238
1628003881,2021-08-03T15:18:01Z,N169CA,"32.150883,-102.196281",9050,157,235
1628003882,2021-08-03T15:18:02Z,N169CA,"32.150665,-102.19664",9050,157,235
1628003886,2021-08-03T15:18:06Z,N169CA,"32.148743,-102.199661",9125,157,235
