,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
0,0,2.0,,,33931,,2021-11-03 17:42:31+00:00,,,,Methane,,190.71072878085621,,,,2.6285952,,,,,2021-11-03 17:42:33+00:00,HRRR,Bridger,1,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333333,11215.711666666668,11198.532222222222,8652.823,5507.5355,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,3.933333333333334,True,TP,1.0,203.03453616643415,188.78481335993524,217.20416297761417,202.55306454590288,188.7499714059098,216.68223604472448,202.09439188705915,188.23319126404812,216.01974152445166,156.19745441535053,144.2833929770077,168.62407713589792,99.43442253422388,89.60363014584782,109.36822860195615
1,114,118.0,,,33931,,2021-11-03 17:42:31+00:00,,,,Methane,,165.82802323257133,,,,2.2843744,,,,,2021-11-03 17:42:33+00:00,NAM12,Bridger,1,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333333,11215.711666666668,11198.532222222222,8652.823,5507.5355,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,3.933333333333334,True,TP,1.0,203.21675023180708,189.20229281900382,217.4771173178086,202.41649834685956,188.51449053307584,216.51667194930474,201.9855780003123,187.88434188387313,216.06059664516127,156.11112185288906,144.04505026282834,168.01237091505524,99.37977571077727,89.77711109513123,109.2689037062143
2,228,234.0,,,33931,,2021-11-03 17:42:31+00:00,,,,Methane,,242.36548729946742,,,,3.3393888,,,,,2021-11-03 17:42:33+00:00,Sonic,Bridger,2,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333333,11215.711666666668,11198.532222222222,8652.823,5507.5355,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,3.933333333333334,True,TP,1.0,203.20114728452165,188.8534917393859,217.38788744147215,202.40729268040516,188.48189078030222,216.57823850763398,202.05466853619308,188.06906339797536,215.9971485289899,156.1404705811968,143.94950451094485,168.33816651080718,99.36371701316163,89.47018848795999,109.02438958510999
3,342,350.0,,,33931,,2021-11-03 17:42:31+00:00,,,,Methane,,212.40043718589118,,,,2.928112,,,,,2021-11-03 17:42:33+00:00,Sonic,Bridger,3,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333333,11215.711666666668,11198.532222222222,8652.823,5507.5355,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,3.933333333333334,True,TP,1.0,203.1528807673618,189.16029628335116,217.1800708279717,202.30271462623378,188.49921637311934,216.1818071982659,201.94474596805134,188.25812096468144,215.85443659662863,156.06044454606618,143.8572379622406,168.21369024949223,99.43347079894365,89.35574478399545,109.46554987891324
4,1,3.0,,,33931,,2021-11-03 17:46:24+00:00,,,,Methane,,202.33021542641066,,,,2.6509471999999996,,,,,2021-11-03 17:46:39+00:00,HRRR,Bridger,1,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333333,11234.973333333333,11236.434444444445,11232.053,9087.887166666666,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,8.033333333333335,True,TP,1.0,202.85757832775897,188.90383224760265,216.97667934440304,202.79261168275218,188.9232136712653,216.80008585246068,202.89358025307916,188.72729896652822,216.7652559362344,202.61527702290908,188.3118202808412,216.76329003208815,163.94947456652824,151.5189841187622,176.0777383800398
5,115,119.0,,,33931,,2021-11-03 17:46:24+00:00,,,,Methane,,177.14521429059917,,,,2.3201376000000002,,,,,2021-11-03 17:46:39+00:00,NAM12,Bridger,1,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333333,11234.973333333333,11236.434444444445,11232.053,9087.887166666666,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,8.033333333333335,True,TP,1.0,202.78251184566548,188.91891950570212,216.89548702233301,202.7729925491282,189.10576636002418,216.84702540446776,202.9059256898925,189.13616632770726,216.9100776080059,202.51787848435205,188.41197398230992,216.8760445023156,164.0094691202469,151.91929561787302,176.13965310458516
6,229,235.0,,,33931,,2021-11-03 17:46:24+00:00,,,,Methane,,255.55313230531615,,,,3.3438592000000003,,,,,2021-11-03 17:46:39+00:00,Sonic,Bridger,2,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333333,11234.973333333333,11236.434444444445,11232.053,9087.887166666666,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,8.033333333333335,True,TP,1.0,202.8862036604478,188.7853332356227,217.0509595122219,202.72166836251182,188.72066351211808,216.74535798197053,202.77656350558667,188.73016602361514,217.00702093937787,202.54933392079403,188.2988075889431,216.72195727199335,164.08036386066541,151.89947287281302,176.50795569033744
7,343,351.0,,,33931,,2021-11-03 17:46:24+00:00,,,,Methane,,224.73787585182137,,,,2.9415232,,,,,2021-11-03 17:46:39+00:00,Sonic,Bridger,3,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333333,11234.973333333333,11236.434444444445,11232.053,9087.887166666666,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,8.033333333333335,True,TP,1.0,202.93199813714898,189.09202902912864,216.75863400195112,202.7567795955254,188.62927486401523,216.74925004880456,202.6520894500395,188.81671476087683,216.79730224012735,202.63387310374355,188.56207614307618,216.6268648464784,163.93550183939863,151.53689662314548,176.33050314163515
8,2,4.0,,,33931,,2021-11-03 17:50:38+00:00,,,,Methane,,265.77450185856003,,,,2.704592,,,,,2021-11-03 17:50:41+00:00,HRRR,Bridger,1,,11170.4,4.0,308188.0,11170.4,False,,11234.736666666668,11247.925,11247.691111111111,11252.908333333333,11234.616333333333,AZ,3.0510666666666664,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,2648.894999999999,True,12.066666666666666,True,TP,1.0,202.82177273854393,188.67702528037333,216.95518753533855,203.04495491280142,189.26870852450367,217.17118141411473,202.9200657145609,188.82071409369087,216.81464020615311,203.03962567194267,189.08844266774892,217.36761816746073,202.71148537597355,188.65794579325035,216.6751794697228
9,116,120.0,,,33931,,2021-11-03 17:50:38+00:00,,,,Methane,,234.43022812689358,,,,2.3827232,,,,,2021-11-03 17:50:41+00:00,NAM12,Bridger,1,,11170.4,4.0,308188.0,11170.4,False,,11234.736666666668,11247.925,11247.691111111111,11252.908333333333,11234.616333333333,AZ,3.0510666666666664,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,2648.894999999999,True,12.066666666666666,True,TP,1.0,202.78678540276547,188.85089248632377,216.66527355001713,203.0281825475266,188.92378739875232,217.16002761489634,202.96478623997766,188.9197814661015,217.1068393497755,203.0755174774034,189.0554853255258,217.3635395962006,202.68203700598647,188.5036490633964,216.98816979412112
