,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,FlowError_kgh,FlowError_percent
0,456,2.0,3.0,1.0,1.0,,2021-07-30 15:32:55+00:00,,,,Methane,121.823643,,#VALUE!,#VALUE!,,2.713584705,,,0.0,,2021-07-30 15:32:44+00:00,0.0,HRRR,CarbonMapper,1,,4206.0,2.0,162928.0,4206.0,False,,4210.833333333333,4205.333333333333,4185.788888888889,3865.93,2055.2166666666667,,TX,2.6321666666666665,2021-07-30 15:30:04+00:00,2021-07-30 15:35:34+00:00,2001.0,459.495,True,2.6666666666666665,True,ER,-1.0,68.0890980620424,60.95409512052258,75.35077292501731,67.2291483712438,60.04115306538506,74.56829652848585,68.20798882950723,61.89162995707641,74.76407773585133,62.121724655718225,55.48921231999085,69.23899898375598,32.6984846800467,26.36148148262532,39.963290714119424,,,,,
1,457,3.0,190.0,1.0,1.0,,2021-07-30 15:34:56+00:00,,,,Methane,,,#VALUE!,#VALUE!,,,,,2.0,,2021-07-30 15:34:32+00:00,0.0,HRRR,CarbonMapper,1,,4462.8,2.0,162928.0,4462.8,False,,4435.066666666667,4437.026666666668,4396.266666666666,4184.445999999999,2842.9773333333333,,TX,2.777166666666667,2021-07-30 15:30:04+00:00,2021-07-30 15:35:34+00:00,2001.0,745.5350000000001,True,4.466666666666667,True,FN,0.0,71.64790500872878,64.45461703535575,78.96851447566519,71.65713697832676,64.49797478215527,78.8219840724536,70.89140213120479,64.1408615263192,77.98207788760888,67.40295234967142,60.12340671013162,74.82343062879605,46.01748452575381,39.1113814335507,53.07809521760711,,,,,
2,458,4.0,4.0,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,143.4050208,360.874286,467.896269,253.852303,,2.713584705,,,1.0,,2021-07-30 15:36:26+00:00,0.0,HRRR,CarbonMapper,1,,22372.3,2.0,162928.0,22372.3,False,,22247.193333333333,22193.649999999998,17825.588888888888,8368.502,5694.312666666667,3796.2084444444445,TX,2.4061333333333335,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,0.8666666666666667,True,NE,-1.0,359.82836115072905,346.89221498609714,372.55343150629807,358.3227682432402,346.2130490999102,371.2579675138129,287.0330366711451,276.78929845638953,297.9473488083827,134.79125271796494,127.26684149817166,142.55818942327215,92.26080418229147,85.07940890727407,99.90948733226351,61.49960645119146,54.297586433062236,69.37282455437284,2.551517756759779,0.7120724617275038
3,683,229.0,1,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,143.4050208,157.5908179,212.8760449,102.3055909,,1.185,,,1.0,,2021-07-30 15:36:26+00:00,0.0,Sonic,CarbonMapper,2,,22372.3,2.0,162928.0,22372.3,False,,22247.193333333333,22193.649999999998,17825.588888888888,8368.502,5694.312666666667,3796.2084444444445,TX,2.4061333333333335,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,0.8666666666666667,True,NE,-1.0,359.67285343384344,347.04582086724866,372.06768462322054,358.53353062236243,347.99051913814395,369.89541522268223,286.28227088419055,275.9873360101174,297.5394994487589,134.97513253440854,126.93352155483674,143.72019306362156,92.07044003580872,84.138525243081,99.56116783637242,61.05701685659299,53.78184047461421,68.64732869880561,-200.94271272236244,-56.045723916966686
4,852,398.0,F1,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,199.8324298,108.251997,136.2775816,80.22641241,,1.185,,,1.0,,2021-07-30 15:36:26+00:00,0.0,Sonic,CarbonMapper,3,,22372.3,2.0,162928.0,22372.3,False,,22247.193333333333,22193.649999999998,17825.588888888888,8368.502,5694.312666666667,3796.2084444444445,TX,2.4061333333333335,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,0.8666666666666667,True,NE,-1.0,359.8571988114414,347.2473525522041,372.4189283560204,358.6176902927528,346.0888832779199,372.97038795387095,287.76835987898863,276.8533906859134,299.37655912424674,134.80545963099698,126.59086997335531,143.60814702502594,92.01875061941507,84.57630524322252,99.49010391195857,61.17013832463616,54.118394057342265,68.05215564548313,-250.36569329275278,-69.81409452734194
5,459,5.0,5.0,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,136.821051,548.6662023,714.3727898,382.9596148,,2.713584705,,,1.0,,2021-07-30 15:38:29+00:00,0.0,HRRR,CarbonMapper,1,,22295.8,2.0,162928.0,22295.8,False,,22272.716666666667,22264.158333333333,22242.933333333334,15767.998333333333,9897.7825,6840.738888888889,TX,2.291466666666667,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,2.9166666666666665,True,TP,1.0,360.1827857755411,347.5712058117412,372.9300234470432,359.61030101021004,347.674271345062,374.34049633019094,359.48733810862234,346.97989688708225,374.27575108128866,253.79561814898392,243.83266641427886,264.4476067784787,159.83792381372177,152.71988817036296,168.26226702906072,110.69941628910391,103.63062687892808,117.81630711237815,189.05590128978997,52.5724376522858
6,684,230.0,2,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,136.821051,752.4927079,940.0166487,564.9687671,,3.721666667,,,1.0,,2021-07-30 15:38:29+00:00,0.0,Sonic,CarbonMapper,2,,22295.8,2.0,162928.0,22295.8,False,,22272.716666666667,22264.158333333333,22242.933333333334,15767.998333333333,9897.7825,6840.738888888889,TX,2.291466666666667,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,2.9166666666666665,True,TP,1.0,359.9341047096981,347.3515019418971,372.40069591774545,358.93395816957366,346.4556897852595,371.54032193367675,359.04440842981336,346.3332791010287,372.24034370340877,254.54311734144872,244.31978347579084,266.2288056827687,159.45259341915775,151.5859295949701,168.0070539230553,110.21448405954699,102.65315317634668,118.28821881852528,393.55874973042637,109.64656332251926
7,853,399.0,F2,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,193.238195,850.3634079,895.2936314,805.4331844,,3.721666667,,,1.0,,2021-07-30 15:38:29+00:00,0.0,Sonic,CarbonMapper,3,,22295.8,2.0,162928.0,22295.8,False,,22272.716666666667,22264.158333333333,22242.933333333334,15767.998333333333,9897.7825,6840.738888888889,TX,2.291466666666667,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,2.9166666666666665,True,TP,1.0,360.04489795031856,347.4390231816944,372.6088501477678,360.3701366868131,347.1520667772497,373.6680780905109,359.1505752349113,346.20929634889853,373.61807856211635,254.1574678300443,244.86500376206612,264.6714041981169,159.03575825838777,150.05862148748693,168.40538612300801,110.35250227273832,103.24946627565772,117.89881654572072,489.99327121318686,135.96944400501903
8,460,6.0,6.0,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,147.122398,268.4612251,326.6470969,210.2753534,,2.713584705,,,1.0,,2021-07-30 15:40:16+00:00,0.0,HRRR,CarbonMapper,1,,22185.8,2.0,162928.0,22185.8,False,,22121.719999999998,22115.52,22141.47333333333,21961.704666666665,13178.101333333332,9474.799555555555,TX,2.5476,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,4.7,True,TP,1.0,357.7939979431311,345.3004229415746,370.2892165910333,356.45489895202195,344.09541745262624,370.32577520072005,356.60218899221985,344.2182561769456,369.51767417014594,353.46215680817875,340.95288522247864,366.94686874637546,213.3133191787614,204.50454193079858,223.63251259865896,152.58413196800123,144.53461463116122,161.25979939514016,-87.99367385202197,-24.68578047621832
9,685,231.0,3,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,147.122398,326.8393959,379.1004638,274.5783281,,3.303666667,,,1.0,,2021-07-30 15:40:16+00:00,0.0,Sonic,CarbonMapper,2,,22185.8,2.0,162928.0,22185.8,False,,22121.719999999998,22115.52,22141.47333333333,21961.704666666665,13178.101333333332,9474.799555555555,TX,2.5476,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,4.7,True,TP,1.0,357.60421344725455,344.9477662233098,370.19251854502187,356.68453345585516,345.4642606817363,369.5937154585724,357.5724340197777,345.96699755662274,371.344971646017,353.21032693810946,342.3957054721463,365.57077058075373,212.32933890841335,203.27436918972367,222.4106169742442,152.50046115068207,143.5377687551531,161.59365148643545,-29.84513755585516,-8.367376422714702
