,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,WindSpeedLow,WindSpeedHigh,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,Wind_MPS_sd30,Wind_MPS_sd60,Wind_MPS_sd90,Wind_MPS_sd300,Wind_MPS_sd600,Wind_MPS_sd900,Wind_dir_sd30,Wind_dir_sd60,Wind_dir_sd90,Wind_dir_sd300,Wind_dir_sd600,Wind_dir_sd900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,FlowError_kgh,FlowError_percent,WindError_mps,WindError_percent,datetime_UTC,Altitude (feet)
0,1012,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:22:50+00:00,0.0,NASA-GEOS,GHGSat,1,,,,,,,23749.81,4.0,218645.0,23749.81,False,,23739.941,23583.261166666667,23610.827444444443,23899.5273,18481.98645,12321.324299999998,AZ,8.881333333333334,9.167833333333332,9.494777777777777,8.851466666666667,8.683433333333333,8.683433333333333,214.36666666666667,216.4,217.27777777777777,214.24333333333334,215.43,213.74444444444444,1.1802972545911479,1.1415156318917257,1.1057177523288928,1.1880147779373484,1.3868214262608227,1.3868214262608227,4.1728459926239685,4.67666402905711,4.671279154452794,7.563164709540253,7.602505957120082,9.026916998789133,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,3356.29,True,6.216666666666667,True,ER_MIS,-1.0,428.47366652235996,402.87922977025903,454.0197367190875,425.7700393577681,399.76819848890926,451.85358511482184,426.31060236657476,400.32268840909603,451.89324037771155,431.29332479111747,404.8877599825886,457.49557968889366,333.42028865766974,312.2871481468007,354.6913536223745,222.43000999452573,205.57542864677455,238.93155650631599,,,,,,
1,1223,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:22:50+00:00,0.0,Sonic,GHGSat,2,,,,,,,23749.81,4.0,218645.0,23749.81,False,,23739.941,23583.261166666667,23610.827444444443,23899.5273,18481.98645,12321.324299999998,AZ,8.881333333333334,9.167833333333332,9.494777777777777,8.851466666666667,8.683433333333333,8.683433333333333,214.36666666666667,216.4,217.27777777777777,214.24333333333334,215.43,213.74444444444444,1.1802972545911479,1.1415156318917257,1.1057177523288928,1.1880147779373484,1.3868214262608227,1.3868214262608227,4.1728459926239685,4.67666402905711,4.671279154452794,7.563164709540253,7.602505957120082,9.026916998789133,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,3356.29,True,6.216666666666667,True,ER_MIS,-1.0,428.2419997798969,402.7366417393425,453.94065135737407,425.76573432575094,400.01195332231094,451.99170707422286,425.85045750110345,400.3462944199424,451.84618500661634,431.4097029531636,405.423902987687,457.12990033119735,333.3297196144377,312.1534559519921,354.7132296688903,222.22270707049816,206.01161016305767,238.28190644293812,,,,,,
2,1434,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:22:50+00:00,0.0,Sonic,GHGSat,3,,,,,,,23749.81,4.0,218645.0,23749.81,False,,23739.941,23583.261166666667,23610.827444444443,23899.5273,18481.98645,12321.324299999998,AZ,8.881333333333334,9.167833333333332,9.494777777777777,8.851466666666667,8.683433333333333,8.683433333333333,214.36666666666667,216.4,217.27777777777777,214.24333333333334,215.43,213.74444444444444,1.1802972545911479,1.1415156318917257,1.1057177523288928,1.1880147779373484,1.3868214262608227,1.3868214262608227,4.1728459926239685,4.67666402905711,4.671279154452794,7.563164709540253,7.602505957120082,9.026916998789133,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,3356.29,True,6.216666666666667,True,ER_MIS,-1.0,428.36972491919005,402.40620603000986,454.52048449088926,425.489836194976,399.1220259579811,451.3636373599768,425.7346440667004,400.15155621040714,452.07168383781266,431.3894635355425,405.2307886786883,457.35889672849993,333.75508881645754,312.39976700970254,354.9611439322371,222.26395960563002,205.76427642935673,238.6168759313014,,,,,,
3,1013,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:26:10+00:00,0.0,NASA-GEOS,GHGSat,1,,,,,,,23295.3,4.0,218645.0,23295.3,False,,23280.734,23304.587,23317.41355555556,23489.153033333332,23801.382383333337,17526.514133333334,AZ,6.8069999999999995,7.3854999999999995,7.691777777777777,8.726833333333332,8.731983333333332,8.731983333333332,217.3,209.38333333333333,207.0,214.04666666666665,213.77166666666668,213.98888888888888,0.8811870911760631,0.9638454496688738,0.990882681949909,1.4279431750807654,1.2750701573766825,1.2750701573766825,10.30952020690335,11.890876244125431,10.77971461547198,8.73377074312893,7.966511536781058,8.436630819657545,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,5012.835,True,9.55,True,ER_MIS,-1.0,419.93117407647975,394.8050130707735,445.4868016145877,420.3360270500783,394.4632033137192,445.7856589884456,420.88266347427873,395.1665092043684,446.7714746306436,423.85964629070804,397.82361893609533,449.612990600311,429.48123547479287,403.49688170412486,455.6918394609668,316.2989218763662,295.89783590024103,336.9506163069693,,,,,,
4,1224,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:26:10+00:00,0.0,Sonic,GHGSat,2,,,,,,,23295.3,4.0,218645.0,23295.3,False,,23280.734,23304.587,23317.41355555556,23489.153033333332,23801.382383333337,17526.514133333334,AZ,6.8069999999999995,7.3854999999999995,7.691777777777777,8.726833333333332,8.731983333333332,8.731983333333332,217.3,209.38333333333333,207.0,214.04666666666665,213.77166666666668,213.98888888888888,0.8811870911760631,0.9638454496688738,0.990882681949909,1.4279431750807654,1.2750701573766825,1.2750701573766825,10.30952020690335,11.890876244125431,10.77971461547198,8.73377074312893,7.966511536781058,8.436630819657545,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,5012.835,True,9.55,True,ER_MIS,-1.0,420.09494946588615,394.25833131266717,446.0971441636661,420.4322134249037,394.8168235784885,445.7579416120257,421.0195782171662,395.3936032858554,446.8164529000365,423.81817296218657,398.0525373705712,449.59188386407794,429.5303845481551,403.98710574023727,455.57046053000914,316.3744381344505,295.95119301134633,337.26934253504385,,,,,,
5,1435,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:26:10+00:00,0.0,Sonic,GHGSat,3,,,,,,,23295.3,4.0,218645.0,23295.3,False,,23280.734,23304.587,23317.41355555556,23489.153033333332,23801.382383333337,17526.514133333334,AZ,6.8069999999999995,7.3854999999999995,7.691777777777777,8.726833333333332,8.731983333333332,8.731983333333332,217.3,209.38333333333333,207.0,214.04666666666665,213.77166666666668,213.98888888888888,0.8811870911760631,0.9638454496688738,0.990882681949909,1.4279431750807654,1.2750701573766825,1.2750701573766825,10.30952020690335,11.890876244125431,10.77971461547198,8.73377074312893,7.966511536781058,8.436630819657545,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,5012.835,True,9.55,True,ER_MIS,-1.0,419.9880252140523,394.6213112441399,445.819164098716,420.7084690691204,395.2222664694021,446.17790468392167,420.4860750498268,394.46338808208435,446.2564392494669,423.9388216587225,398.43382099041327,450.0150794124701,429.6665561070755,403.92924569695924,455.88689053205815,316.31610903286236,295.7624526026951,336.75594539884787,,,,,,
6,1014,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,153.0,229.0,77.0,,4.9,,,1.0,1.0,2021-10-18 17:28:47+00:00,0.0,NASA-GEOS,GHGSat,1,,,,,,,22878.66,4.0,218645.0,22878.66,False,,22938.820333333333,23070.9015,23158.74711111111,23310.078433333336,23547.306183333334,21584.218055555557,AZ,7.810666666666666,8.112333333333334,7.987555555555556,7.819066666666668,8.39775,8.39775,208.76666666666668,202.8,203.15555555555557,207.20333333333335,211.05166666666668,212.39555555555555,0.7142390855059996,1.0764574143791006,1.0424585364654446,1.0768403220314209,1.319699124977904,1.319699124977904,7.010747086626726,8.599960583275815,9.04658494273434,10.111848850704591,9.723334610554398,9.074477540200881,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,12.166666666666666,True,TP,1.0,413.9105947152173,389.2040312106431,439.22156999513015,416.1953065302045,391.14367413473326,441.2717872777387,417.925412408379,392.8572138382319,443.15409622613845,420.6414774662646,395.21589978192645,445.9722973940295,424.9249787697082,399.20099514052464,450.6392965345673,389.6452000282139,365.70847908860964,413.7030625425486,-263.1953065302045,-63.23841292792274,-2.9190666666666676,-37.332673976433675,,
7,1225,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1.0,1.0,2021-10-18 17:28:47+00:00,0.0,Sonic,GHGSat,2,,,,,,,22878.66,4.0,218645.0,22878.66,False,,22938.820333333333,23070.9015,23158.74711111111,23310.078433333336,23547.306183333334,21584.218055555557,AZ,7.810666666666666,8.112333333333334,7.987555555555556,7.819066666666668,8.39775,8.39775,208.76666666666668,202.8,203.15555555555557,207.20333333333335,211.05166666666668,212.39555555555555,0.7142390855059996,1.0764574143791006,1.0424585364654446,1.0768403220314209,1.319699124977904,1.319699124977904,7.010747086626726,8.599960583275815,9.04658494273434,10.111848850704591,9.723334610554398,9.074477540200881,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,12.166666666666666,True,TP,1.0,413.9003501754445,389.00957033228303,439.141265540886,416.26138611869885,390.5529919702841,442.16696895053104,417.7619739291678,391.8810349310323,443.5037328434191,420.8583668698943,395.87517902660466,446.42014563264905,424.83039102336613,399.0322742768435,451.2369562973461,389.5104231609611,364.88666338008164,413.65558716540056,-190.26138611869885,-45.707190833320524,-0.5790666666666677,-7.405828487628545,,
8,1436,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1.0,1.0,2021-10-18 17:28:47+00:00,0.0,Sonic,GHGSat,3,,,,,,,22878.66,4.0,218645.0,22878.66,False,,22938.820333333333,23070.9015,23158.74711111111,23310.078433333336,23547.306183333334,21584.218055555557,AZ,7.810666666666666,8.112333333333334,7.987555555555556,7.819066666666668,8.39775,8.39775,208.76666666666668,202.8,203.15555555555557,207.20333333333335,211.05166666666668,212.39555555555555,0.7142390855059996,1.0764574143791006,1.0424585364654446,1.0768403220314209,1.319699124977904,1.319699124977904,7.010747086626726,8.599960583275815,9.04658494273434,10.111848850704591,9.723334610554398,9.074477540200881,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,12.166666666666666,True,TP,1.0,414.0642275419644,388.6268478436929,439.6822270042064,416.22684439746837,390.54577596527366,441.4345034282519,417.7829464060245,391.90510878807385,443.3994609213493,420.5566493224514,395.1006249849119,446.9521820844396,425.17363895022504,399.1489826204049,451.00669808848056,389.47508227888625,365.72563201828666,413.8162128025532,-190.22684439746837,-45.70268519629999,-0.5790666666666677,-7.405828487628545,,
9,1437,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,326.0,420.0,232.0,,8.28,,,1.0,1.0,2021-10-18 17:31:59+00:00,0.0,Sonic,GHGSat,3,,,,,,,22892.38,4.0,218645.0,22892.38,False,,23010.89966666667,23097.105666666666,23109.459222222224,23133.9077,23290.63245,23525.572488888887,AZ,8.458333333333334,8.499,8.508444444444445,8.061566666666668,8.186266666666667,8.186266666666667,198.76666666666668,205.95,207.72222222222223,205.14333333333335,208.95166666666665,210.6677777777778,0.9565385993016993,1.028933461306718,1.2647590800570532,1.1585225334121176,1.2195532977141712,1.2195532977141712,6.072455240154085,8.937494814506005,9.486865879716817,9.940767159932546,10.080278629630085,9.59199155879629,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7814.71,True,15.366666666666669,True,TP,1.0,414.9414442295611,389.7610395790191,440.21869135968393,416.45971364140894,391.0076107877133,441.77477446843693,416.8104293801021,391.83986897012215,442.578302481418,417.4719774291973,391.72714662929036,442.5665285906487,420.28831738362294,394.57015794562597,445.8421672485407,424.4113838310173,398.90542889199384,450.1986010800793,-90.45971364140894,-21.72111987746765,0.2184333333333317,2.709564311320773,,
