,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,WindSpeedLow,WindSpeedHigh,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,Wind_MPS_sd30,Wind_MPS_sd60,Wind_MPS_sd90,Wind_MPS_sd300,Wind_MPS_sd600,Wind_MPS_sd900,Wind_dir_sd30,Wind_dir_sd60,Wind_dir_sd90,Wind_dir_sd300,Wind_dir_sd600,Wind_dir_sd900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,FlowError_kgh,FlowError_percent,WindError_mps,WindError_percent,datetime_UTC,Altitude (feet)
0,1012,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:22:50+00:00,0.0,NASA-GEOS,GHGSat,1,,,,,,,23749.81,4.0,218645.0,23749.81,False,,23739.941,23583.261166666667,23610.827444444443,23899.5273,18481.98645,12321.324299999998,AZ,8.881333333333334,9.167833333333332,9.494777777777777,8.851466666666667,8.683433333333333,8.683433333333333,214.36666666666667,216.4,217.27777777777777,214.24333333333334,215.43,213.74444444444444,1.1802972545911479,1.1415156318917257,1.1057177523288928,1.1880147779373484,1.3868214262608227,1.3868214262608227,4.1728459926239685,4.67666402905711,4.671279154452794,7.563164709540253,7.602505957120082,9.026916998789133,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,3356.29,True,6.216666666666667,True,ER_MIS,-1.0,428.03363681120493,401.87493966596355,455.3170535217945,424.82382151736243,399.67223490438676,450.4262020215817,425.8131105624557,400.6900008001309,451.52386780976497,430.50819131828223,404.97274121685035,458.00548844131464,333.2272835940669,311.14478418715964,355.54196200443596,221.81028946653254,205.67453956278112,237.56128963132912,,,,,,
1,1223,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:22:50+00:00,0.0,Sonic,GHGSat,2,,,,,,,23749.81,4.0,218645.0,23749.81,False,,23739.941,23583.261166666667,23610.827444444443,23899.5273,18481.98645,12321.324299999998,AZ,8.881333333333334,9.167833333333332,9.494777777777777,8.851466666666667,8.683433333333333,8.683433333333333,214.36666666666667,216.4,217.27777777777777,214.24333333333334,215.43,213.74444444444444,1.1802972545911479,1.1415156318917257,1.1057177523288928,1.1880147779373484,1.3868214262608227,1.3868214262608227,4.1728459926239685,4.67666402905711,4.671279154452794,7.563164709540253,7.602505957120082,9.026916998789133,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,3356.29,True,6.216666666666667,True,ER_MIS,-1.0,428.3073434294611,403.01697129596255,454.4585330051673,425.4902618411936,400.23757056402513,453.9054943379125,425.97496499869857,400.6137895590255,452.5606831797468,431.7343567181773,403.74947651665053,457.14570351762603,333.54698080600565,312.77043516503284,355.50736264070764,222.18824944581252,205.48452566089472,238.40521084192403,,,,,,
2,1434,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:22:50+00:00,0.0,Sonic,GHGSat,3,,,,,,,23749.81,4.0,218645.0,23749.81,False,,23739.941,23583.261166666667,23610.827444444443,23899.5273,18481.98645,12321.324299999998,AZ,8.881333333333334,9.167833333333332,9.494777777777777,8.851466666666667,8.683433333333333,8.683433333333333,214.36666666666667,216.4,217.27777777777777,214.24333333333334,215.43,213.74444444444444,1.1802972545911479,1.1415156318917257,1.1057177523288928,1.1880147779373484,1.3868214262608227,1.3868214262608227,4.1728459926239685,4.67666402905711,4.671279154452794,7.563164709540253,7.602505957120082,9.026916998789133,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,3356.29,True,6.216666666666667,True,ER_MIS,-1.0,427.84844438751367,402.4078602162483,455.27656592650067,425.1049600596025,399.98132524326894,452.00795416993145,426.1409970435886,398.66915706802104,451.8937962935706,430.6522876132707,405.10309223330756,456.1288655657079,332.2550893499189,310.80049005696,353.4588443144997,222.54957212204755,206.97975513916182,239.32840174738695,,,,,,
3,1013,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:26:10+00:00,0.0,NASA-GEOS,GHGSat,1,,,,,,,23295.3,4.0,218645.0,23295.3,False,,23280.734,23304.587,23317.41355555556,23489.153033333332,23801.382383333337,17526.514133333334,AZ,6.8069999999999995,7.3854999999999995,7.691777777777777,8.726833333333332,8.731983333333332,8.731983333333332,217.3,209.38333333333333,207.0,214.04666666666665,213.77166666666668,213.98888888888888,0.8811870911760631,0.9638454496688738,0.990882681949909,1.4279431750807654,1.2750701573766825,1.2750701573766825,10.30952020690335,11.890876244125431,10.77971461547198,8.73377074312893,7.966511536781058,8.436630819657545,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,5012.835,True,9.55,True,ER_MIS,-1.0,420.00004184748724,396.920020333471,444.9527937775164,419.7732211868988,394.4406932490168,446.13618996989203,420.7394153651788,394.59250665735715,447.35959274390075,422.8606970588595,398.3511893291192,448.83317647471813,428.9140373420651,402.63112778124133,453.64922924817284,315.5100650246858,295.560898014216,337.24354906822225,,,,,,
4,1224,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:26:10+00:00,0.0,Sonic,GHGSat,2,,,,,,,23295.3,4.0,218645.0,23295.3,False,,23280.734,23304.587,23317.41355555556,23489.153033333332,23801.382383333337,17526.514133333334,AZ,6.8069999999999995,7.3854999999999995,7.691777777777777,8.726833333333332,8.731983333333332,8.731983333333332,217.3,209.38333333333333,207.0,214.04666666666665,213.77166666666668,213.98888888888888,0.8811870911760631,0.9638454496688738,0.990882681949909,1.4279431750807654,1.2750701573766825,1.2750701573766825,10.30952020690335,11.890876244125431,10.77971461547198,8.73377074312893,7.966511536781058,8.436630819657545,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,5012.835,True,9.55,True,ER_MIS,-1.0,419.3723014663274,393.02019503110847,445.8760104906697,419.8621486355356,395.04351226787475,447.7897980330346,420.258385461446,394.58280487137046,445.014884231825,423.1798300387146,398.14013621279315,449.87327638473573,428.6057639333266,404.00530892050386,455.11850453290737,315.8099973926672,294.1079378629759,336.94514063387743,,,,,,
5,1435,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:26:10+00:00,0.0,Sonic,GHGSat,3,,,,,,,23295.3,4.0,218645.0,23295.3,False,,23280.734,23304.587,23317.41355555556,23489.153033333332,23801.382383333337,17526.514133333334,AZ,6.8069999999999995,7.3854999999999995,7.691777777777777,8.726833333333332,8.731983333333332,8.731983333333332,217.3,209.38333333333333,207.0,214.04666666666665,213.77166666666668,213.98888888888888,0.8811870911760631,0.9638454496688738,0.990882681949909,1.4279431750807654,1.2750701573766825,1.2750701573766825,10.30952020690335,11.890876244125431,10.77971461547198,8.73377074312893,7.966511536781058,8.436630819657545,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,5012.835,True,9.55,True,ER_MIS,-1.0,419.81764674597,395.0245745325252,445.6493874341433,419.95454935362784,394.8478248533009,447.28048402101757,420.4194136340442,394.8404001490518,446.3963965710224,423.2432951907926,398.30893971591524,450.27135745137605,428.9727606250162,403.44932913226177,454.3361774214118,316.0676916486061,294.3158034928925,336.17658707395253,,,,,,
6,1014,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,153.0,229.0,77.0,,4.9,,,1.0,1.0,2021-10-18 17:28:47+00:00,0.0,NASA-GEOS,GHGSat,1,,,,,,,22878.66,4.0,218645.0,22878.66,False,,22938.820333333333,23070.9015,23158.74711111111,23310.078433333336,23547.306183333334,21584.218055555557,AZ,7.810666666666666,8.112333333333334,7.987555555555556,7.819066666666668,8.39775,8.39775,208.76666666666668,202.8,203.15555555555557,207.20333333333335,211.05166666666668,212.39555555555555,0.7142390855059996,1.0764574143791006,1.0424585364654446,1.0768403220314209,1.319699124977904,1.319699124977904,7.010747086626726,8.599960583275815,9.04658494273434,10.111848850704591,9.723334610554398,9.074477540200881,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,12.166666666666666,True,TP,1.0,413.0781819875502,388.3717247096395,438.88598463222286,416.7721741444515,391.89929290384003,441.5946939737862,417.636990882871,393.69052973770044,442.4745486138166,420.74275645418675,396.11088590640895,446.6143052217662,423.6434867791688,398.415494052449,448.9840162346828,389.43118398491924,365.0879004106225,414.36787799876225,-263.7721741444515,-63.289295809136526,-2.9190666666666676,-37.332673976433675,,
7,1225,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1.0,1.0,2021-10-18 17:28:47+00:00,0.0,Sonic,GHGSat,2,,,,,,,22878.66,4.0,218645.0,22878.66,False,,22938.820333333333,23070.9015,23158.74711111111,23310.078433333336,23547.306183333334,21584.218055555557,AZ,7.810666666666666,8.112333333333334,7.987555555555556,7.819066666666668,8.39775,8.39775,208.76666666666668,202.8,203.15555555555557,207.20333333333335,211.05166666666668,212.39555555555555,0.7142390855059996,1.0764574143791006,1.0424585364654446,1.0768403220314209,1.319699124977904,1.319699124977904,7.010747086626726,8.599960583275815,9.04658494273434,10.111848850704591,9.723334610554398,9.074477540200881,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,12.166666666666666,True,TP,1.0,413.8468612037301,389.2770063975973,439.6919281485814,416.4499498655913,391.58847000812773,441.074661458939,417.4676199320124,392.57377104096304,443.3204253684691,420.45308242192596,395.7124537855282,445.20466860931515,423.6411455600497,398.4404790148278,449.7507938939817,388.8064359055301,366.30725601428503,411.5873005730583,-190.4499498655913,-45.73177399278323,-0.5790666666666677,-7.405828487628545,,
8,1436,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1.0,1.0,2021-10-18 17:28:47+00:00,0.0,Sonic,GHGSat,3,,,,,,,22878.66,4.0,218645.0,22878.66,False,,22938.820333333333,23070.9015,23158.74711111111,23310.078433333336,23547.306183333334,21584.218055555557,AZ,7.810666666666666,8.112333333333334,7.987555555555556,7.819066666666668,8.39775,8.39775,208.76666666666668,202.8,203.15555555555557,207.20333333333335,211.05166666666668,212.39555555555555,0.7142390855059996,1.0764574143791006,1.0424585364654446,1.0768403220314209,1.319699124977904,1.319699124977904,7.010747086626726,8.599960583275815,9.04658494273434,10.111848850704591,9.723334610554398,9.074477540200881,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,12.166666666666666,True,TP,1.0,414.10667652741313,388.3268553620326,439.26685599888094,415.6154581501209,389.93806757128914,440.26842523641875,416.73491156713726,390.71138379114785,442.9280984685869,420.0431796868994,394.51485115641196,445.20033874606185,424.95236003782514,399.0559312688769,451.7040348783324,389.4373133573546,366.2423293087178,411.35912642666483,-189.6154581501209,-45.622811767899044,-0.5790666666666677,-7.405828487628545,,
9,1437,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,326.0,420.0,232.0,,8.28,,,1.0,1.0,2021-10-18 17:31:59+00:00,0.0,Sonic,GHGSat,3,,,,,,,22892.38,4.0,218645.0,22892.38,False,,23010.89966666667,23097.105666666666,23109.459222222224,23133.9077,23290.63245,23525.572488888887,AZ,8.458333333333334,8.499,8.508444444444445,8.061566666666668,8.186266666666667,8.186266666666667,198.76666666666668,205.95,207.72222222222223,205.14333333333335,208.95166666666665,210.6677777777778,0.9565385993016993,1.028933461306718,1.2647590800570532,1.1585225334121176,1.2195532977141712,1.2195532977141712,6.072455240154085,8.937494814506005,9.486865879716817,9.940767159932546,10.080278629630085,9.59199155879629,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7814.71,True,15.366666666666669,True,TP,1.0,415.70561727284286,389.3350129712388,441.9192853979274,416.9059340659461,390.7346593134131,442.41675027464356,416.90142886885735,392.4696426786009,441.75944553005013,416.98203036722566,391.99435504966567,441.97108464696765,420.11905716005936,395.6740260849317,446.00812529708656,424.6297027922795,399.14292428550095,449.5685774319867,-90.9059340659461,-21.80490289005256,0.2184333333333317,2.709564311320773,,
