,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,Satellite,Team,UncertaintyTypeManual,WindSpeedLow,WindSpeedHigh,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean30,Wind_MPS_mean60,Wind_MPS_mean90,Wind_MPS_mean300,Wind_MPS_mean600,Wind_MPS_mean900,Wind_dir_mean30,Wind_dir_mean60,Wind_dir_mean90,Wind_dir_mean300,Wind_dir_mean600,Wind_dir_mean900,Wind_MPS_sd30,Wind_MPS_sd60,Wind_MPS_sd90,Wind_MPS_sd300,Wind_MPS_sd600,Wind_MPS_sd900,Wind_dir_sd30,Wind_dir_sd60,Wind_dir_sd90,Wind_dir_sd300,Wind_dir_sd600,Wind_dir_sd900,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,FlowError_kgh,FlowError_percent,datetime_UTC,Altitude (feet)
0,1018,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:22:50+00:00,0.0,NASA-GEOS,GHGSat,1,,,,,,,23749.81,4.0,218645.0,23749.81,False,,23739.941,23583.261166666667,23610.827444444443,23899.5273,18481.98645,12321.324299999998,AZ,8.881333333333334,9.167833333333332,9.494777777777777,8.851466666666667,8.683433333333333,8.683433333333333,214.36666666666667,216.4,217.27777777777777,214.24333333333334,215.43,213.74444444444444,1.1802972545911479,1.1415156318917257,1.1057177523288928,1.1880147779373484,1.3868214262608227,1.3868214262608227,4.1728459926239685,4.67666402905711,4.671279154452794,7.563164709540253,7.602505957120082,9.026916998789133,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,3356.29,True,6.216666666666667,True,ER_MIS,-1.0,428.3521663915247,415.0138229894551,441.74170991609014,425.4620008257648,411.9806399156547,439.1431421718274,425.95974169763775,412.3578439105411,439.7336124265038,431.3038519100876,417.78267780720176,444.80606368295787,333.4485494696949,322.5117025402673,344.4680952608501,222.31831698681776,214.1302104929864,230.51696111553272,,,,
1,1229,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:22:50+00:00,0.0,Sonic,GHGSat,2,,,,,,,23749.81,4.0,218645.0,23749.81,False,,23739.941,23583.261166666667,23610.827444444443,23899.5273,18481.98645,12321.324299999998,AZ,8.881333333333334,9.167833333333332,9.494777777777777,8.851466666666667,8.683433333333333,8.683433333333333,214.36666666666667,216.4,217.27777777777777,214.24333333333334,215.43,213.74444444444444,1.1802972545911479,1.1415156318917257,1.1057177523288928,1.1880147779373484,1.3868214262608227,1.3868214262608227,4.1728459926239685,4.67666402905711,4.671279154452794,7.563164709540253,7.602505957120082,9.026916998789133,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,3356.29,True,6.216666666666667,True,ER_MIS,-1.0,428.53684652418485,415.38187029561664,442.0322011517992,425.532714993188,412.00393982659403,439.1627475227268,426.2442678120486,412.8081315467059,439.661035799959,430.9927141666215,417.37794422008005,444.6887574543928,333.37556070998085,322.392265413341,344.4544428111023,222.33115975163028,214.09749618240707,230.69291149719257,,,,
2,1440,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:22:50+00:00,0.0,Sonic,GHGSat,3,,,,,,,23749.81,4.0,218645.0,23749.81,False,,23739.941,23583.261166666667,23610.827444444443,23899.5273,18481.98645,12321.324299999998,AZ,8.881333333333334,9.167833333333332,9.494777777777777,8.851466666666667,8.683433333333333,8.683433333333333,214.36666666666667,216.4,217.27777777777777,214.24333333333334,215.43,213.74444444444444,1.1802972545911479,1.1415156318917257,1.1057177523288928,1.1880147779373484,1.3868214262608227,1.3868214262608227,4.1728459926239685,4.67666402905711,4.671279154452794,7.563164709540253,7.602505957120082,9.026916998789133,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,3356.29,True,6.216666666666667,True,ER_MIS,-1.0,428.32160318770667,415.0583060407342,441.66237404909305,425.36388405175285,411.8075246926075,438.66809615064,425.91389872845264,412.4983766996262,439.23928078123373,431.3678084757441,417.8959857624409,444.7327875838987,333.6537268583861,322.6165621409559,344.7426596084277,222.3225737895029,213.827245948503,230.82241410347012,,,,
3,1019,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:26:10+00:00,0.0,NASA-GEOS,GHGSat,1,,,,,,,23295.3,4.0,218645.0,23295.3,False,,23280.734,23304.587,23317.41355555556,23489.153033333332,23801.382383333337,17526.514133333334,AZ,6.8069999999999995,7.3854999999999995,7.691777777777777,8.726833333333332,8.731983333333332,8.731983333333332,217.3,209.38333333333333,207.0,214.04666666666665,213.77166666666668,213.98888888888888,0.8811870911760631,0.9638454496688738,0.990882681949909,1.4279431750807654,1.2750701573766825,1.2750701573766825,10.30952020690335,11.890876244125431,10.77971461547198,8.73377074312893,7.966511536781058,8.436630819657545,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,5012.835,True,9.55,True,ER_MIS,-1.0,420.0302837693964,406.9553753490566,433.2076059339976,420.52289998439363,407.30287602460487,433.98514347790774,420.8050385938446,407.6148637762488,434.02010711790837,423.83283798361134,410.61267873921287,437.2286034493671,429.41937007534204,415.8677664358329,442.9888854189202,316.1804327323846,305.50115473878526,326.9015301629293,,,,
4,1230,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:26:10+00:00,0.0,Sonic,GHGSat,2,,,,,,,23295.3,4.0,218645.0,23295.3,False,,23280.734,23304.587,23317.41355555556,23489.153033333332,23801.382383333337,17526.514133333334,AZ,6.8069999999999995,7.3854999999999995,7.691777777777777,8.726833333333332,8.731983333333332,8.731983333333332,217.3,209.38333333333333,207.0,214.04666666666665,213.77166666666668,213.98888888888888,0.8811870911760631,0.9638454496688738,0.990882681949909,1.4279431750807654,1.2750701573766825,1.2750701573766825,10.30952020690335,11.890876244125431,10.77971461547198,8.73377074312893,7.966511536781058,8.436630819657545,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,5012.835,True,9.55,True,ER_MIS,-1.0,420.216227500909,407.11650769515114,433.57326457396624,420.5770350111643,407.3270830429261,433.84341250969635,420.8058556962491,407.6703420172147,433.91808485406773,423.83549979859384,410.65252837835277,437.1150807926427,429.4040233933705,415.91385573807526,443.0301866536359,316.34049646352116,305.76386522873486,326.92723352440805,,,,
5,1441,,,,,,,,,,,,,,,,,,,0.5,,2021-10-18 17:26:10+00:00,0.0,Sonic,GHGSat,3,,,,,,,23295.3,4.0,218645.0,23295.3,False,,23280.734,23304.587,23317.41355555556,23489.153033333332,23801.382383333337,17526.514133333334,AZ,6.8069999999999995,7.3854999999999995,7.691777777777777,8.726833333333332,8.731983333333332,8.731983333333332,217.3,209.38333333333333,207.0,214.04666666666665,213.77166666666668,213.98888888888888,0.8811870911760631,0.9638454496688738,0.990882681949909,1.4279431750807654,1.2750701573766825,1.2750701573766825,10.30952020690335,11.890876244125431,10.77971461547198,8.73377074312893,7.966511536781058,8.436630819657545,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,5012.835,True,9.55,True,ER_MIS,-1.0,420.0643490682647,406.6470143967339,433.4985884241923,420.5203084335927,407.54055252806535,433.6701399607754,421.0278362070451,407.7392798871907,434.2979630321668,423.78027658681043,410.5091605689769,437.21852630233883,429.46056324810826,416.12766530861273,443.0763109448399,316.1091077317953,305.591526869237,326.70947214100744,,,,
6,1020,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,153.0,229.0,77.0,,4.9,,,1.0,1.0,2021-10-18 17:28:47+00:00,0.0,NASA-GEOS,GHGSat,1,,,,,,,22878.66,4.0,218645.0,22878.66,False,,22938.820333333333,23070.9015,23158.74711111111,23310.078433333336,23547.306183333334,21584.218055555557,AZ,7.810666666666666,8.112333333333334,7.987555555555556,7.819066666666668,8.39775,8.39775,208.76666666666668,202.8,203.15555555555557,207.20333333333335,211.05166666666668,212.39555555555555,0.7142390855059996,1.0764574143791006,1.0424585364654446,1.0768403220314209,1.319699124977904,1.319699124977904,7.010747086626726,8.599960583275815,9.04658494273434,10.111848850704591,9.723334610554398,9.074477540200881,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,12.166666666666666,True,TP,1.0,413.97205733883305,401.0019483597223,427.19366320703006,416.463585471242,403.39438505420094,429.6540521974637,417.66422979202986,404.36301131721706,430.805558766042,420.87522289822977,407.81471569896786,433.9940432409513,424.7449578130793,411.173893411288,438.21279093976864,389.51875295475804,377.3761532960991,401.8495691535903,-263.463585471242,-63.262094133182,,
7,1231,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1.0,1.0,2021-10-18 17:28:47+00:00,0.0,Sonic,GHGSat,2,,,,,,,22878.66,4.0,218645.0,22878.66,False,,22938.820333333333,23070.9015,23158.74711111111,23310.078433333336,23547.306183333334,21584.218055555557,AZ,7.810666666666666,8.112333333333334,7.987555555555556,7.819066666666668,8.39775,8.39775,208.76666666666668,202.8,203.15555555555557,207.20333333333335,211.05166666666668,212.39555555555555,0.7142390855059996,1.0764574143791006,1.0424585364654446,1.0768403220314209,1.319699124977904,1.319699124977904,7.010747086626726,8.599960583275815,9.04658494273434,10.111848850704591,9.723334610554398,9.074477540200881,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,12.166666666666666,True,TP,1.0,413.88055199603315,400.8432911852068,426.95758053697443,416.07583809110633,402.8336921206125,429.6526173154721,417.86642442954627,404.7996766333429,431.29254453309585,420.6141450613932,407.23618306187666,433.83208931039553,424.7779259448359,411.1638010337693,438.08984888647285,389.56602837527487,376.9627159248215,402.057398165557,-190.07583809110633,-45.682979084569254,,
8,1442,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1.0,1.0,2021-10-18 17:28:47+00:00,0.0,Sonic,GHGSat,3,,,,,,,22878.66,4.0,218645.0,22878.66,False,,22938.820333333333,23070.9015,23158.74711111111,23310.078433333336,23547.306183333334,21584.218055555557,AZ,7.810666666666666,8.112333333333334,7.987555555555556,7.819066666666668,8.39775,8.39775,208.76666666666668,202.8,203.15555555555557,207.20333333333335,211.05166666666668,212.39555555555555,0.7142390855059996,1.0764574143791006,1.0424585364654446,1.0768403220314209,1.319699124977904,1.319699124977904,7.010747086626726,8.599960583275815,9.04658494273434,10.111848850704591,9.723334610554398,9.074477540200881,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,12.166666666666666,True,TP,1.0,414.1644141234552,401.27608392910736,427.2489170033048,416.30110372134243,403.46133913853987,429.4062601371214,417.75328961943325,404.5947555239006,430.5989588183236,420.53093806321414,407.3434103475712,433.746505981906,424.95555906563067,411.27842053296814,438.733302153556,389.5756343115441,377.0752829972237,402.0595654664953,-190.30110372134243,-45.712370690403795,,
9,1443,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,326.0,420.0,232.0,,8.28,,,1.0,1.0,2021-10-18 17:31:59+00:00,0.0,Sonic,GHGSat,3,,,,,,,22892.38,4.0,218645.0,22892.38,False,,23010.89966666667,23097.105666666666,23109.459222222224,23133.9077,23290.63245,23525.572488888887,AZ,8.458333333333334,8.499,8.508444444444445,8.061566666666668,8.186266666666667,8.186266666666667,198.76666666666668,205.95,207.72222222222223,205.14333333333335,208.95166666666665,210.6677777777778,0.9565385993016993,1.028933461306718,1.2647590800570532,1.1585225334121176,1.2195532977141712,1.2195532977141712,6.072455240154085,8.937494814506005,9.486865879716817,9.940767159932546,10.080278629630085,9.59199155879629,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7814.71,True,15.366666666666669,True,TP,1.0,415.12704397399006,402.04264991929614,428.39161746313096,416.62974808269666,403.4616102781051,429.9724364868353,417.05468671871387,403.88713378960693,430.4412801203488,417.42441701679337,404.1499009000846,430.72006112789336,420.0809830118087,406.9640420356464,433.40331716197244,424.489615703569,411.2115837495367,437.83238461976373,-90.62974808269666,-21.75306696167735,,
