,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
0,1018,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,153.0,229.0,77.0,,4.9,,,1,1.0,2021-10-18 17:28:47+00:00,NASA-GEOS,GHGSat,1,,22878.66,4.0,218645.0,22878.66,False,,22938.820333333333,23070.9015,23158.74711111111,23310.078433333336,23547.306183333334,AZ,7.819066666666668,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,12.166666666666666,True,TP,1.0,414.229565031736,389.3515592592631,439.39778093318023,416.22490629073957,390.48121860949044,441.48871650444613,417.9949103960786,392.55628625909054,443.32525663773407,420.7463393931767,395.46649874720123,446.35209856825423,424.8089682795451,398.9896121677049,450.9582069697711
1,1214,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1,1.0,2021-10-18 17:28:47+00:00,Sonic,GHGSat,2,,22878.66,4.0,218645.0,22878.66,False,,22938.820333333333,23070.9015,23158.74711111111,23310.078433333336,23547.306183333334,AZ,7.819066666666668,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,12.166666666666666,True,TP,1.0,413.90180014770647,388.51002613706964,439.0141113830921,416.2847341722368,391.2825042312345,441.40491247756694,417.7001468022866,392.1722079168912,443.3178471555782,420.6267204897497,394.93127930083244,446.1921042608893,424.64587540454016,399.666803043392,450.7096734814529
2,1410,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1,1.0,2021-10-18 17:28:47+00:00,Sonic,GHGSat,3,,22878.66,4.0,218645.0,22878.66,False,,22938.820333333333,23070.9015,23158.74711111111,23310.078433333336,23547.306183333334,AZ,7.819066666666668,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,12.166666666666666,True,TP,1.0,413.8629135433646,388.4646542133385,440.05366328899066,416.3835724041131,391.58870881965566,442.0376663673064,417.8697193850702,392.5089245484307,443.7010825380794,420.6565262200892,394.9727727614928,445.37845555647135,424.65764919795004,398.98002527894477,450.5686506701475
3,1019,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,191.0,289.0,93.0,,4.88,,,1,1.0,2021-10-18 17:31:59+00:00,NASA-GEOS,GHGSat,1,,22892.38,4.0,218645.0,22892.38,False,,23010.89966666667,23097.105666666666,23109.459222222224,23133.9077,23290.63245,AZ,8.061566666666668,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7814.71,True,15.366666666666669,True,TP,1.0,415.0236063053785,389.3913068635693,440.37865369208345,416.6922938708285,391.33760894407874,442.0355678558459,417.0150497034461,391.3475430186896,442.68312622914345,417.54808352486816,392.0780733386229,442.70926664753597,420.2619777094377,394.7803397045048,445.8853780020883
4,1215,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,326.0,420.0,232.0,,8.28,,,1,1.0,2021-10-18 17:31:59+00:00,Sonic,GHGSat,2,,22892.38,4.0,218645.0,22892.38,False,,23010.89966666667,23097.105666666666,23109.459222222224,23133.9077,23290.63245,AZ,8.061566666666668,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7814.71,True,15.366666666666669,True,TP,1.0,415.1763561245754,390.1179264814211,440.6701398220868,416.5968189924536,391.19985406986837,441.7811662555045,416.93818848868864,391.76774847716587,442.53550446144106,417.4417419134997,392.0498514387652,443.106792042956,420.25337358823754,394.3198877224489,445.86076162655115
5,1411,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,326.0,420.0,232.0,,8.28,,,1,1.0,2021-10-18 17:31:59+00:00,Sonic,GHGSat,3,,22892.38,4.0,218645.0,22892.38,False,,23010.89966666667,23097.105666666666,23109.459222222224,23133.9077,23290.63245,AZ,8.061566666666668,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7814.71,True,15.366666666666669,True,TP,1.0,415.19788697582453,390.09860305556475,440.24093273172616,416.8611972837515,391.8688544969845,442.3419033738475,417.1723663334749,391.78434641346456,442.75870750197066,417.446303515715,392.5823333136205,442.89440096848006,420.1907598340744,394.4872082322817,445.6942807100439
6,1020,,1496-1-102-578-777-3,1.0,1.0,,2021-10-18 17:34:38+00:00,,,,Methane,,171.0,256.0,86.0,,4.88,,,1,1.0,2021-10-18 17:34:45+00:00,NASA-GEOS,GHGSat,1,,22684.51,4.0,218645.0,22684.51,False,,22724.647999999997,22730.0115,22744.064444444444,22944.852666666666,23082.62925,AZ,8.551966666666665,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,9262.655,True,18.133333333333333,True,TP,1.0,410.0375138767363,385.4255622713237,434.7579464916211,410.27152893202936,385.19976315968097,434.81668312877764,410.2971805785498,385.1896447847886,436.2541001994364,414.05709230939175,388.68819970897215,439.32319909053035,416.64076499668084,391.3287950725251,441.9808211933364
7,1216,,1496-1-102-578-777-3,1.0,1.0,,2021-10-18 17:34:38+00:00,,,,Methane,,277.0,365.0,189.0,,7.88,,,1,1.0,2021-10-18 17:34:45+00:00,Sonic,GHGSat,2,,22684.51,4.0,218645.0,22684.51,False,,22724.647999999997,22730.0115,22744.064444444444,22944.852666666666,23082.62925,AZ,8.551966666666665,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,9262.655,True,18.133333333333333,True,TP,1.0,409.8967262281352,384.69846688225726,434.81854509991496,410.1229550136521,385.06440937948196,435.4694316282472,410.70117546369886,385.91765521519596,435.4414075557139,413.97403358972815,389.119438341709,439.38969407030373,416.48986355877963,391.05421220693785,442.1830796023973
8,1412,,1496-1-102-578-777-3,1.0,1.0,,2021-10-18 17:34:38+00:00,,,,Methane,,277.0,365.0,189.0,,7.88,,,1,1.0,2021-10-18 17:34:45+00:00,Sonic,GHGSat,3,,22684.51,4.0,218645.0,22684.51,False,,22724.647999999997,22730.0115,22744.064444444444,22944.852666666666,23082.62925,AZ,8.551966666666665,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,9262.655,True,18.133333333333333,True,TP,1.0,409.9919786562015,384.8439669482481,434.9180583411922,410.1754674710862,385.02117156634165,435.27779076713927,410.40603661138334,384.8227596808679,435.73937042936797,414.22850948546625,389.451382979032,439.28180531145347,416.5855503460768,391.5141760853433,442.1570169820562
9,1021,,1496-1-103-471-670-5,1.0,1.0,,2021-10-18 17:40:09+00:00,,,,Methane,,186.0,282.0,90.0,,4.87,,,1,1.0,2021-10-18 17:40:19+00:00,NASA-GEOS,GHGSat,1,,22288.48,4.0,218645.0,22288.48,False,,22242.31033333333,22182.920166666667,22252.78044444444,22543.1836,22713.189716666668,AZ,8.7174,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,12185.02,True,23.7,True,TP,1.0,401.35304672733463,376.87972923765494,426.0895240023361,400.03696740981445,375.1452937703199,424.7044971526858,401.4969389511561,376.70913952164597,426.2203064422842,406.83188376944605,381.5516875340075,431.4021779070858,409.97937803810686,384.7111177411858,434.70796427095445
10,1217,,1496-1-103-471-670-5,1.0,1.0,,2021-10-18 17:40:09+00:00,,,,Methane,,367.0,502.0,232.0,,9.57,,,1,1.0,2021-10-18 17:40:19+00:00,Sonic,GHGSat,2,,22288.48,4.0,218645.0,22288.48,False,,22242.31033333333,22182.920166666667,22252.78044444444,22543.1836,22713.189716666668,AZ,8.7174,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,12185.02,True,23.7,True,TP,1.0,401.4417010842318,376.3564599860139,425.9013052268046,400.37864704355445,375.4028912662946,425.379044103255,401.69422458794185,376.503473244889,426.40840703269356,406.75120268493623,381.59190066212955,431.6733180352232,409.93484496395035,384.6515691703077,434.9354415911447
11,1413,,1496-1-103-471-670-5,1.0,1.0,,2021-10-18 17:40:09+00:00,,,,Methane,,367.0,502.0,232.0,,9.57,,,1,1.0,2021-10-18 17:40:19+00:00,Sonic,GHGSat,3,,22288.48,4.0,218645.0,22288.48,False,,22242.31033333333,22182.920166666667,22252.78044444444,22543.1836,22713.189716666668,AZ,8.7174,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,12185.02,True,23.7,True,TP,1.0,401.33872803981984,376.7269860898472,426.2372214368737,400.35760461878345,375.52914008359375,425.43035741048203,401.55075330537807,376.85591922968695,425.79539440105617,406.7837061277562,381.63732957754155,431.5479488174492,409.84488415690026,384.5851033033242,434.1213101890422
12,1022,,1496-1-303-1170-1369-6,1.0,1.0,,2021-10-18 17:43:45+00:00,,,,Methane,,186.0,282.0,90.0,,4.87,,,1,1.0,2021-10-18 17:43:53+00:00,NASA-GEOS,GHGSat,1,,83156.62,4.0,218645.0,83156.62,False,,83492.84233333333,83444.48900000002,83765.07222222222,60154.6776,41412.33568333333,AZ,8.1252,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,951.965,True,1.9333333333333336,True,TP,1.0,1507.0447727228616,1424.765474944939,1591.1187519495757,1505.4759810982584,1424.070701861493,1588.3781130076165,1510.8331489303075,1428.0388428675476,1593.464179467676,1084.5301871521306,1025.650167492018,1143.6953335007745,747.2660954744534,704.8548426288155,790.1035873864863
13,1218,,1496-1-303-1170-1369-6,1.0,1.0,,2021-10-18 17:43:45+00:00,,,,Methane,,366.0,502.0,230.0,,9.57,,,1,1.0,2021-10-18 17:43:53+00:00,Sonic,GHGSat,2,,83156.62,4.0,218645.0,83156.62,False,,83492.84233333333,83444.48900000002,83765.07222222222,60154.6776,41412.33568333333,AZ,8.1252,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,951.965,True,1.9333333333333336,True,TP,1.0,1506.767450458898,1424.4483025889908,1588.8036393922334,1504.90562569955,1421.712806087576,1591.218628196785,1511.4424641309938,1428.538814003892,1596.9559801141916,1085.3755233596053,1026.097112264743,1146.4264543898769,747.3356168086924,705.3118946081877,790.2241122262512
14,1414,,1496-1-303-1170-1369-6,1.0,1.0,,2021-10-18 17:43:45+00:00,,,,Methane,,366.0,502.0,230.0,,9.57,,,1,1.0,2021-10-18 17:43:53+00:00,Sonic,GHGSat,3,,83156.62,4.0,218645.0,83156.62,False,,83492.84233333333,83444.48900000002,83765.07222222222,60154.6776,41412.33568333333,AZ,8.1252,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,951.965,True,1.9333333333333336,True,TP,1.0,1505.816602856334,1425.0311093675093,1589.5287707396956,1506.140929776738,1425.0630236219595,1590.4333382965328,1511.7060198626348,1428.528569115781,1594.9601757150986,1085.574705396702,1026.0935269251831,1146.218871148219,747.3909407688725,704.9411943605279,789.553129155211
15,1023,,1496-1-104-876-1075-7,1.0,1.0,,2021-10-18 17:46:45+00:00,,,,Methane,,625.0,946.0,304.0,,4.86,,,1,1.0,2021-10-18 17:46:46+00:00,NASA-GEOS,GHGSat,1,,81567.73,4.0,218645.0,81567.73,False,,81835.15966666667,82034.6515,82283.80588888888,83282.31673333333,58711.262283333344,AZ,8.007966666666666,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,2319.42,True,4.816666666666666,True,TP,1.0,1476.7573796139693,1393.7917269002726,1558.136684706295,1480.127389145418,1399.3535397794012,1560.2205649912305,1484.9153175862905,1403.6318060434771,1566.9094024325545,1503.3007143645405,1421.3725126785698,1587.4148325863985,1059.2895952315623,1000.7730494539951,1118.530443572353
16,1219,,1496-1-104-876-1075-7,1.0,1.0,,2021-10-18 17:46:45+00:00,,,,Methane,,1035.0,1373.0,697.0,,8.06,,,1,1.0,2021-10-18 17:46:46+00:00,Sonic,GHGSat,2,,81567.73,4.0,218645.0,81567.73,False,,81835.15966666667,82034.6515,82283.80588888888,83282.31673333333,58711.262283333344,AZ,8.007966666666666,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,2319.42,True,4.816666666666666,True,TP,1.0,1476.0675985544442,1395.05239496446,1560.0619797744735,1480.401535450551,1399.172835409507,1562.401870431448,1485.2986361026678,1404.296332267146,1568.5349987011903,1503.0938667124724,1421.1656552621719,1588.3948922750499,1059.089585733918,1001.3453928574723,1116.1603372077757
17,1415,,1496-1-104-876-1075-7,1.0,1.0,,2021-10-18 17:46:45+00:00,,,,Methane,,1160.0,1652.0,668.0,,8.06,,,1,1.0,2021-10-18 17:46:46+00:00,Sonic,GHGSat,3,,81567.73,4.0,218645.0,81567.73,False,,81835.15966666667,82034.6515,82283.80588888888,83282.31673333333,58711.262283333344,AZ,8.007966666666666,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,2319.42,True,4.816666666666666,True,TP,1.0,1477.2398115991728,1395.9909608207038,1559.306805411823,1479.896307937383,1398.7203861871405,1562.8326705489278,1484.616163416462,1403.9420864888878,1567.6295150784529,1502.8945498459245,1419.2187535516887,1587.8323583166077,1059.561962151384,1001.5508194071044,1118.247180018236
18,1024,,1496-1-304-1313-1512-8,1.0,1.0,,2021-10-18 17:50:15+00:00,,,,Methane,,569.0,857.0,281.0,,4.85,,,1,1.0,2021-10-18 17:50:21+00:00,NASA-GEOS,GHGSat,1,,81040.29,4.0,218645.0,81040.29,False,,80909.67266666667,80756.9815,80671.14288888889,81386.20486666667,79694.76128333334,AZ,8.704533333333334,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,4355.285,True,8.4,True,TP,1.0,1459.9581015720728,1379.9444242621744,1542.81501757336,1457.79024047427,1376.7785557170146,1540.5843403155745,1455.530671576325,1376.8892826271078,1536.6788938189623,1468.1491356438041,1387.8993455886757,1550.4962753692266,1437.9917644169714,1359.5353713916013,1517.7141453191673
19,1220,,1496-1-304-1313-1512-8,1.0,1.0,,2021-10-18 17:50:15+00:00,,,,Methane,,1218.0,1624.0,813.0,,10.38,,,1,1.0,2021-10-18 17:50:21+00:00,Sonic,GHGSat,2,,81040.29,4.0,218645.0,81040.29,False,,80909.67266666667,80756.9815,80671.14288888889,81386.20486666667,79694.76128333334,AZ,8.704533333333334,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,4355.285,True,8.4,True,TP,1.0,1460.3347534560803,1379.8953681945702,1543.5963709027312,1457.0856583065806,1376.9469213880946,1538.9578007745972,1455.4463035764095,1375.90864154917,1534.3389535323424,1469.1829390828725,1388.9931692545913,1551.2565994929803,1438.834949762159,1360.3669530554914,1519.7386842065973
20,1416,,1496-1-304-1313-1512-8,1.0,1.0,,2021-10-18 17:50:15+00:00,,,,Methane,,1490.0,1979.0,1001.0,,10.38,,,1,1.0,2021-10-18 17:50:21+00:00,Sonic,GHGSat,3,,81040.29,4.0,218645.0,81040.29,False,,80909.67266666667,80756.9815,80671.14288888889,81386.20486666667,79694.76128333334,AZ,8.704533333333334,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,4355.285,True,8.4,True,TP,1.0,1459.7126470487017,1379.127717305679,1539.986947425002,1457.0827068030928,1377.3301249070603,1538.0323885129067,1456.4155343628681,1376.8071553524114,1538.207029192299,1468.9747187720423,1388.7671482872345,1551.1277660899714,1438.27454860382,1358.8795257013005,1518.0165903614889
21,1025,,1496-1-105-725-924-9,1.0,1.0,,2021-10-18 17:53:18+00:00,,,,Methane,,525.0,823.0,227.0,,4.85,,,1,1.0,2021-10-18 17:53:34+00:00,NASA-GEOS,GHGSat,1,,79954.86,4.0,218645.0,79954.86,False,,79251.25233333334,79600.5245,79726.63066666668,80320.8406,81275.94545,AZ,9.607733333333334,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,6163.33,True,11.616666666666667,True,TP,1.0,1430.7560974277787,1351.715276626615,1510.7519775249964,1436.5512107114362,1358.794403907976,1516.740241443507,1438.3478852773007,1359.8657452458674,1520.3109834791683,1449.633392957337,1368.9975460862372,1533.0203750413602,1465.899552599415,1385.0355860635605,1550.5165161362604
22,1221,,1496-1-105-725-924-9,1.0,1.0,,2021-10-18 17:53:18+00:00,,,,Methane,,1141.0,1555.0,727.0,,9.2,,,1,1.0,2021-10-18 17:53:34+00:00,Sonic,GHGSat,2,,79954.86,4.0,218645.0,79954.86,False,,79251.25233333334,79600.5245,79726.63066666668,80320.8406,81275.94545,AZ,9.607733333333334,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,6163.33,True,11.616666666666667,True,TP,1.0,1430.5479568486146,1352.8925009728903,1511.112223823737,1436.7431778147334,1359.0259518502837,1519.301478222184,1438.926384066426,1361.0373212612913,1519.7583556307786,1449.5372160855,1370.351433988873,1531.963000466443,1466.036117515577,1386.114006391477,1548.8478057409695
23,1417,,1496-1-105-725-924-9,1.0,1.0,,2021-10-18 17:53:18+00:00,,,,Methane,,1408.0,1893.0,923.0,,9.2,,,1,1.0,2021-10-18 17:53:34+00:00,Sonic,GHGSat,3,,79954.86,4.0,218645.0,79954.86,False,,79251.25233333334,79600.5245,79726.63066666668,80320.8406,81275.94545,AZ,9.607733333333334,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,6163.33,True,11.616666666666667,True,TP,1.0,1430.087352816106,1351.25282045097,1507.5852563912501,1436.1778991316035,1357.3779422393807,1516.8533138099838,1439.054514368067,1358.8652693364074,1520.255274020527,1449.1423496255723,1369.0391262858966,1529.8949062543738,1466.288928502589,1384.791592768019,1549.8156552892235
24,1026,,1496-1-305-1063-1262-10,1.0,1.0,,2021-10-18 17:56:48+00:00,,,,Methane,,760.0,1151.0,369.0,,4.84,,,1,1.0,2021-10-18 17:56:53+00:00,NASA-GEOS,GHGSat,1,,78107.32,4.0,218645.0,78107.32,False,,78802.79066666665,79097.88833333335,79119.0491111111,79527.92126666666,80170.84455,AZ,9.452533333333333,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,8060.26,True,14.933333333333334,True,TP,1.0,1422.4955796583095,1344.4771762692483,1502.1980029980368,1427.5594448463783,1349.63745275011,1505.302845109593,1428.6222242102613,1349.2656699389245,1508.1368495550623,1434.4443655931743,1356.158518286929,1513.2361146724716,1446.348649790447,1367.2370952147144,1525.5510008032618
25,1222,,1496-1-305-1063-1262-10,1.0,1.0,,2021-10-18 17:56:48+00:00,,,,Methane,,1397.0,1878.0,916.0,,8.89,,,1,1.0,2021-10-18 17:56:53+00:00,Sonic,GHGSat,2,,78107.32,4.0,218645.0,78107.32,False,,78802.79066666665,79097.88833333335,79119.0491111111,79527.92126666666,80170.84455,AZ,9.452533333333333,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,8060.26,True,14.933333333333334,True,TP,1.0,1421.514819311015,1344.8944382232175,1502.5417693476484,1427.3667954489335,1349.904048847385,1507.0993666457518,1427.9451161903482,1349.1177847424485,1507.617285733273,1434.557733739274,1356.45932399249,1514.7248444830943,1446.41983027594,1366.3325790086321,1529.856377895791
26,1418,,1496-1-305-1063-1262-10,1.0,1.0,,2021-10-18 17:56:48+00:00,,,,Methane,,1325.0,1771.0,879.0,,8.89,,,1,1.0,2021-10-18 17:56:53+00:00,Sonic,GHGSat,3,,78107.32,4.0,218645.0,78107.32,False,,78802.79066666665,79097.88833333335,79119.0491111111,79527.92126666666,80170.84455,AZ,9.452533333333333,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,8060.26,True,14.933333333333334,True,TP,1.0,1422.0431942927607,1343.795139216425,1501.8480405728933,1428.203635410062,1349.2336451679616,1508.858649082808,1428.3585453690005,1350.1901640286085,1509.521627981313,1435.3614060452562,1355.7154854714186,1515.2580150454253,1446.7855709391058,1367.3723319719718,1524.9239756003465
