Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1634663388,2021-10-19T17:09:48Z,CFAAF,"32.657581,-114.603897",0,29,180
1634663398,2021-10-19T17:09:58Z,CFAAF,"32.656197,-114.603836",0,30,177
1634663407,2021-10-19T17:10:07Z,CFAAF,"32.655006,-114.603798",0,29,177
1634663414,2021-10-19T17:10:14Z,CFAAF,"32.654102,-114.603767",0,26,177
1634663454,2021-10-19T17:10:54Z,CFAAF,"32.652554,-114.603798",0,3,177
1634663571,2021-10-19T17:12:51Z,CFAAF,"32.708496,-114.612564",1675,119,352
1634663586,2021-10-19T17:13:06Z,CFAAF,"32.716911,-114.613861",1900,121,353
1634663595,2021-10-19T17:13:15Z,CFAAF,"32.722046,-114.614647",2075,118,352
1634663602,2021-10-19T17:13:22Z,CFAAF,"32.726028,-114.61525",2175,120,352
1634663609,2021-10-19T17:13:29Z,CFAAF,"32.729435,-114.615822",2250,121,352
1634663616,2021-10-19T17:13:36Z,CFAAF,"32.733719,-114.616516",2325,126,351
1634663621,2021-10-19T17:13:41Z,CFAAF,"32.73679,-114.617111",2375,128,350
1634663626,2021-10-19T17:13:46Z,CFAAF,"32.739716,-114.617668",2450,130,351
1634663636,2021-10-19T17:13:56Z,CFAAF,"32.745621,-114.61866",2575,131,352
1634663646,2021-10-19T17:14:06Z,CFAAF,"32.751686,-114.619629",2725,131,352
1634663658,2021-10-19T17:14:18Z,CFAAF,"32.758717,-114.621033",2875,132,349
1634663664,2021-10-19T17:14:24Z,CFAAF,"32.762512,-114.621902",3000,131,349
1634663682,2021-10-19T17:14:42Z,CFAAF,"32.773193,-114.62384",3250,134,352
1634663688,2021-10-19T17:14:48Z,CFAAF,"32.777245,-114.624565",3300,138,351
1634663695,2021-10-19T17:14:55Z,CFAAF,"32.781342,-114.625298",3375,140,351
1634663700,2021-10-19T17:15:00Z,CFAAF,"32.785206,-114.626022",3475,140,351
1634663706,2021-10-19T17:15:06Z,CFAAF,"32.788883,-114.626755",3600,138,350
1634663712,2021-10-19T17:15:12Z,CFAAF,"32.792515,-114.627365",3675,139,352
1634663721,2021-10-19T17:15:21Z,CFAAF,"32.798428,-114.628098",3775,140,353
1634663733,2021-10-19T17:15:33Z,CFAAF,"32.806385,-114.628937",3925,141,355
1634663739,2021-10-19T17:15:39Z,CFAAF,"32.810349,-114.629318",4025,142,355
1634663745,2021-10-19T17:15:45Z,CFAAF,"32.814205,-114.629776",4125,140,353
1634663751,2021-10-19T17:15:51Z,CFAAF,"32.817627,-114.630196",4225,139,354
1634663757,2021-10-19T17:15:57Z,CFAAF,"32.821747,-114.630524",4325,139,356
1634663763,2021-10-19T17:16:03Z,CFAAF,"32.825912,-114.630852",4400,140,355
1634663769,2021-10-19T17:16:09Z,CFAAF,"32.829708,-114.63118",4500,139,355
1634663778,2021-10-19T17:16:18Z,CFAAF,"32.835617,-114.631729",4600,140,355
1634663784,2021-10-19T17:16:24Z,CFAAF,"32.839279,-114.632118",4675,140,354
1634663794,2021-10-19T17:16:34Z,CFAAF,"32.845585,-114.632858",4800,140,354
1634663799,2021-10-19T17:16:39Z,CFAAF,"32.849258,-114.633324",4875,141,353
1634663806,2021-10-19T17:16:46Z,CFAAF,"32.853333,-114.63382",4950,141,353
1634663812,2021-10-19T17:16:52Z,CFAAF,"32.857174,-114.634315",5025,142,353
