Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1634750453,2021-10-20T17:20:53Z,CFAAF,"32.664322,-114.605545",0,10,1
1634750462,2021-10-20T17:21:02Z,CFAAF,"32.664631,-114.605545",0,5,1
1634750526,2021-10-20T17:22:06Z,CFAAF,"32.66489,-114.60556",0,9,357
1634750533,2021-10-20T17:22:13Z,CFAAF,"32.665237,-114.60556",0,13,357
1634750538,2021-10-20T17:22:18Z,CFAAF,"32.665535,-114.60556",0,12,356
1634750542,2021-10-20T17:22:22Z,CFAAF,"32.665752,-114.60556",0,9,5
1634750549,2021-10-20T17:22:29Z,CFAAF,"32.66589,-114.605354",0,6,78
1634750571,2021-10-20T17:22:51Z,CFAAF,"32.665905,-114.605141",0,11,87
1634750576,2021-10-20T17:22:56Z,CFAAF,"32.665905,-114.604485",0,36,90
1634750578,2021-10-20T17:22:58Z,CFAAF,"32.665913,-114.604141",0,43,90
1634750579,2021-10-20T17:22:59Z,CFAAF,"32.665916,-114.603851",0,49,90
1634750580,2021-10-20T17:23:00Z,CFAAF,"32.665916,-114.603561",0,53,90
1634750582,2021-10-20T17:23:02Z,CFAAF,"32.665928,-114.602913",0,62,90
1634750584,2021-10-20T17:23:04Z,CFAAF,"32.665939,-114.602104",0,70,90
1634750590,2021-10-20T17:23:10Z,CFAAF,"32.66597,-114.599541",0,88,90
1634750606,2021-10-20T17:23:26Z,CFAAF,"32.666031,-114.589592",100,120,89
1634750612,2021-10-20T17:23:32Z,CFAAF,"32.666107,-114.585587",175,125,89
1634750621,2021-10-20T17:23:41Z,CFAAF,"32.666245,-114.579269",325,130,87
1634750630,2021-10-20T17:23:50Z,CFAAF,"32.666637,-114.572937",500,130,83
1634750636,2021-10-20T17:23:56Z,CFAAF,"32.667892,-114.568832",600,130,62
1634750639,2021-10-20T17:23:59Z,CFAAF,"32.668823,-114.567276",625,131,53
1634750645,2021-10-20T17:24:05Z,CFAAF,"32.671921,-114.564224",700,134,30
1634750651,2021-10-20T17:24:11Z,CFAAF,"32.675343,-114.562904",775,136,11
1634750654,2021-10-20T17:24:14Z,CFAAF,"32.677277,-114.562737",850,137,1
1634750666,2021-10-20T17:24:26Z,CFAAF,"32.68483,-114.565262",975,146,335
1634750669,2021-10-20T17:24:29Z,CFAAF,"32.686798,-114.566422",975,149,333
1634750672,2021-10-20T17:24:32Z,CFAAF,"32.688583,-114.56752",950,154,332
1634750675,2021-10-20T17:24:35Z,CFAAF,"32.690643,-114.568779",1000,156,332
1634750678,2021-10-20T17:24:38Z,CFAAF,"32.692474,-114.569916",1050,154,331
1634750681,2021-10-20T17:24:41Z,CFAAF,"32.694241,-114.571037",1100,154,331
1634750684,2021-10-20T17:24:44Z,CFAAF,"32.696102,-114.572212",1175,152,332
