RH,Temperature,"_id","_index","_score","_type","all_emission",date,device,"device.keyword",emission,"emission_voc",id,"max_voc",methane,operator,region,"short_name","short_name.keyword",site,status,"status.keyword","wind_direction","wind_direction_std","wind_speed"
5,"10.9","Site Map",methanemizer,"-","_doc","-","Nov 5, 2021 @ 14:00","Stanford-7","Stanford-7",0,0,"Stanford:2021-11-05T20:00","0.298","-1.02",Stanford,Desert,"(empty)","(empty)",Stanford,"Stanford-2: Failed,Stanford-3: Failed,Stanford-4: Failed,Stanford-5: Failed,Stanford-6: Failed,Stanford-8: Failed","Stanford-2: Failed,Stanford-3: Failed,Stanford-4: Failed,Stanford-5: Failed,Stanford-6: Failed,Stanford-8: Failed",351,"8.1","4.1"
"8.5",18,"Site Map",methanemizer,"-","_doc","-","Nov 5, 2021 @ 13:45","Stanford-9","Stanford-9",0,0,"Stanford:2021-11-05T19:45","0.288","-1.37",Stanford,Desert,"(empty)","(empty)",Stanford,"Stanford-2: Failed,Stanford-3: Failed,Stanford-4: Failed,Stanford-5: Failed","Stanford-2: Failed,Stanford-3: Failed,Stanford-4: Failed,Stanford-5: Failed",341,"21.2","1.8"
"16.9","31.1","Site Map",methanemizer,"-","_doc","-","Nov 5, 2021 @ 13:00","Stanford-2","Stanford-2",0,0,"Stanford:2021-11-05T19:00","0.364","0.12",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,5,"13.6","3.4"
"17.8","30.6","Site Map",methanemizer,"-","_doc","-","Nov 5, 2021 @ 12:45","Stanford-8","Stanford-8",0,0,"Stanford:2021-11-05T18:45","0.383","1.05",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,26,"10.1","3.1"
"18.9","29.9","Site Map",methanemizer,"-","_doc","-","Nov 5, 2021 @ 12:30","Stanford-5","Stanford-5",0,0,"Stanford:2021-11-05T18:30","0.375","-1.2",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,2,"13.8",2
"19.5","27.7","Site Map",methanemizer,"-","_doc","-","Nov 5, 2021 @ 11:30","Stanford-5","Stanford-5",0,0,"Stanford:2021-11-05T17:30","0.324","-2.07",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,6,"8.5","2.7"
"21.9","25.4","Site Map",methanemizer,"-","_doc","-","Nov 5, 2021 @ 10:45","Stanford-5","Stanford-5",0,0,"Stanford:2021-11-05T16:45","0.326","-1.88",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,17,"9.8","2.1"
"25.5","23.6","Site Map",methanemizer,"-","_doc","-","Nov 5, 2021 @ 10:15","Stanford-5","Stanford-5",0,0,"Stanford:2021-11-05T16:15","0.389","-1.17",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,360,"9.7","1.5"
27,"22.4","Site Map",methanemizer,"-","_doc","-","Nov 5, 2021 @ 10:00","Stanford-8","Stanford-8",0,0,"Stanford:2021-11-05T16:00","0.398","1.3",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,325,"11.5","1.1"
"28.7","21.8","Site Map",methanemizer,"-","_doc","-","Nov 5, 2021 @ 09:45","Stanford-9","Stanford-9",0,0,"Stanford:2021-11-05T15:45","0.417","-0.74",Stanford,Desert,"(empty)","(empty)",Stanford,OK,OK,326,"9.1",1
