PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp (hyperspectral technologies only),StartTime,EndTime,SurveyTime,OperatorSet,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,NumberOfEmissionSourcesReported
1,1,1,10/16/2021,17:26:40,,,,GHGSat C2/GHGSat,Methane,,1382,1920.98,843.02,39%,3.72,,,N/A
2,1,1,10/24/2021,17:35:19,,,,GHGSat C2/GHGSat,Methane,,3848,5772,1924,50%,2.01,,,N/A
3,1,1,10/25/2021,17:24:37,,,,GHGSat C2/GHGSat,Methane,,223,305.51,140.49,37%,5.06,,,N/A
4,1,1,10/16/2021,18:36:26,,,,PRISMA/UPV,Methane,445.0,2494,,,966,4.144341036,194.6463,,N/A
5,1,1,10/21/2021,18:23:12,,,,PRISMA/UPV,Methane,1004.9,4985,,,1691,2.736019525,169.1555,,N/A
6,1,1,10/27/2021,18:26:30,,,,PRISMA/UPV,Methane,1020.9,7226,,,2890,5.155525006,183.9472,,N/A
7,1,1,10/19/2021,18:24:58,,,,Sentinel-2/UPV,Methane,170.88 ,5468 ,,,1446,1.481 ,-96.7 ,,N/A
8,1,2,10/21/2021,18:10:37,,,,Landsat 8/UPV,Methane,278.21 ,3032 ,,,1012,2.606 ,-86.2 ,,N/A
9,1,1,10/22/2021,18:34:54,,,,Sentinel-2/UPV,Methane,164.92 ,3005 ,,,1011,2.371 ,8.6 ,,N/A
10,1,1,10/24/2021,18:25:02,,,,Sentinel-2/UPV,Methane,FR,FR,FR,FR,FR,,,,N/A
11,1,1,10/27/2021,18:34:57,,,,Sentinel-2/UPV,Methane,184.39 ,5333 ,,,2108,4.881 ,-97.5 ,,N/A
12,1,2,10/28/2021,18:16:48,,,,Landsat 8/UPV,Methane,120.00 ,1625 ,,,692,4.419 ,-103.5 ,,N/A
13,1,1,10/29/2021,18:24:58,,,,Sentinel-2/UPV,Methane,,0 ,,,,2.223 ,-89.5 ,,N/A
14,1,1,11/1/2021,18:34:54,,,,Sentinel-2/UPV,Methane,,0 ,,,,3.570 ,29.2 ,,N/A
15,1,1,11/3/2021,18:25:01,,,,Sentinel-2/UPV,Methane,111.35 ,1191 ,,,458,3.024 ,-87.8 ,,N/A
16,,,10/23/2021,18:40:53,,,,WV3/UPV,Methane,277,4069,,,1515,3.771272995,47.0416,,N/A
17,1,1,10/17/2021,18:34:58,,,,Sentinel-2/Kayrros,Methane,0,0,,,,,,,N/A
18,1,1,10/19/2021,18:24:58,,,,Sentinel-2/Kayrros,Methane,319,6790,10408,4095,1-sigma confidence interval,2.9,338,189,N/A
19,1,1,10/22/2021,18:34:54,,,,Sentinel-2/Kayrros,Methane,0,0,,,,,,,N/A
