timestamp,channel 1,channel 2,channel 3,channel 4
11/02/2021 18:11:10,>Range,-211,>Range,>Range
11/02/2021 18:11:11,>Range,-210.7,>Range,>Range
11/02/2021 18:11:12,>Range,-210.9,>Range,>Range
11/02/2021 18:11:13,>Range,-211,>Range,>Range
11/02/2021 18:11:14,>Range,-211.1,>Range,>Range
11/02/2021 18:11:15,>Range,-211.1,>Range,>Range
11/02/2021 18:11:16,>Range,-211.8,>Range,>Range
11/02/2021 18:11:17,>Range,-212.5,>Range,>Range
11/02/2021 18:11:18,>Range,-213.3,>Range,>Range
11/02/2021 18:11:19,>Range,-213.5,>Range,>Range
11/02/2021 18:11:20,>Range,-212.9,>Range,>Range
11/02/2021 18:11:21,>Range,-212.4,>Range,>Range
11/02/2021 18:11:22,>Range,-213.4,>Range,>Range
11/02/2021 18:11:23,>Range,-212.1,>Range,>Range
11/02/2021 18:11:24,>Range,-212.6,>Range,>Range
11/02/2021 18:11:25,>Range,-213,>Range,>Range
11/02/2021 18:11:26,>Range,-213.9,>Range,>Range
11/02/2021 18:11:27,>Range,-212.3,>Range,>Range
11/02/2021 18:11:28,>Range,-213.8,>Range,>Range
11/02/2021 18:11:29,>Range,-213.1,>Range,>Range
11/02/2021 18:11:30,>Range,-214.2,>Range,>Range
11/02/2021 18:11:31,>Range,-214.8,>Range,>Range
11/02/2021 18:11:32,>Range,-214.8,>Range,>Range
11/02/2021 18:11:33,>Range,-214.9,>Range,>Range
11/02/2021 18:11:34,>Range,-214.7,>Range,>Range
11/02/2021 18:11:35,>Range,-215.1,>Range,>Range
11/02/2021 18:11:36,>Range,-215.3,>Range,>Range
11/02/2021 18:11:37,>Range,-215.4,>Range,>Range
11/02/2021 18:11:38,>Range,-215.4,>Range,>Range
11/02/2021 18:11:39,>Range,-215.4,>Range,>Range
11/02/2021 18:11:40,>Range,-214.6,>Range,>Range
11/02/2021 18:11:41,>Range,-214.4,>Range,>Range
11/02/2021 18:11:42,>Range,-214.9,>Range,>Range
11/02/2021 18:11:43,>Range,-215.2,>Range,>Range
11/02/2021 18:11:44,>Range,-215,>Range,>Range
11/02/2021 18:11:45,>Range,-214.1,>Range,>Range
11/02/2021 18:11:46,>Range,-214.8,>Range,>Range
11/02/2021 18:11:47,>Range,-215.1,>Range,>Range
11/02/2021 18:11:48,>Range,-214,>Range,>Range
11/02/2021 18:11:49,>Range,-214.2,>Range,>Range
11/02/2021 18:11:50,>Range,-214.6,>Range,>Range
11/02/2021 18:11:51,>Range,-214.5,>Range,>Range
11/02/2021 18:11:52,>Range,-215,>Range,>Range
11/02/2021 18:11:53,>Range,-214.9,>Range,>Range
11/02/2021 18:11:54,>Range,-213.1,>Range,>Range
11/02/2021 18:11:55,>Range,-213.7,>Range,>Range
11/02/2021 18:11:56,>Range,-214.6,>Range,>Range
11/02/2021 18:11:57,>Range,-215,>Range,>Range
11/02/2021 18:11:58,>Range,-215.2,>Range,>Range
11/02/2021 18:11:59,>Range,-215.3,>Range,>Range
11/02/2021 18:12:00,>Range,-215.4,>Range,>Range
11/02/2021 18:12:01,>Range,-215.4,>Range,>Range
11/02/2021 18:12:02,>Range,-215.5,>Range,>Range
11/02/2021 18:12:03,>Range,-215.5,>Range,>Range
11/02/2021 18:12:04,>Range,-215.5,>Range,>Range
11/02/2021 18:12:05,>Range,-215.5,>Range,>Range
11/02/2021 18:12:06,>Range,-215.5,>Range,>Range
11/02/2021 18:12:07,>Range,-215.5,>Range,>Range
11/02/2021 18:12:08,>Range,-215.5,>Range,>Range
11/02/2021 18:12:09,>Range,-215.5,>Range,>Range
11/02/2021 18:12:10,>Range,-215.5,>Range,>Range
11/02/2021 18:12:11,>Range,-215.5,>Range,>Range
11/02/2021 18:12:12,>Range,-215.5,>Range,>Range
11/02/2021 18:12:13,>Range,-216.7,>Range,>Range
11/02/2021 18:12:14,>Range,-215.6,>Range,>Range
11/02/2021 18:12:15,>Range,-215.5,>Range,>Range
11/02/2021 18:12:16,>Range,-215.5,>Range,>Range
11/02/2021 18:12:17,>Range,-216.3,>Range,>Range
11/02/2021 18:12:18,>Range,-215.9,>Range,>Range
11/02/2021 18:12:19,>Range,-216.7,>Range,>Range
11/02/2021 18:12:20,>Range,-217.3,>Range,>Range
11/02/2021 18:12:21,>Range,-216.4,>Range,>Range
11/02/2021 18:12:22,>Range,-216.4,>Range,>Range
11/02/2021 18:12:23,>Range,-216,>Range,>Range
11/02/2021 18:12:24,>Range,-215.7,>Range,>Range
11/02/2021 18:12:25,>Range,-215.6,>Range,>Range
11/02/2021 18:12:26,>Range,-215.5,>Range,>Range
11/02/2021 18:12:27,>Range,-215.5,>Range,>Range
11/02/2021 18:12:28,>Range,-216.1,>Range,>Range
11/02/2021 18:12:29,>Range,-215.8,>Range,>Range
11/02/2021 18:12:30,>Range,-215.7,>Range,>Range
11/02/2021 18:12:31,>Range,-215.6,>Range,>Range
11/02/2021 18:12:32,>Range,-215.5,>Range,>Range
11/02/2021 18:12:33,>Range,-215.9,>Range,>Range
11/02/2021 18:12:34,>Range,-215.7,>Range,>Range
11/02/2021 18:12:35,>Range,-215.6,>Range,>Range
11/02/2021 18:12:36,>Range,-215.5,>Range,>Range
11/02/2021 18:12:37,>Range,-215.5,>Range,>Range
11/02/2021 18:12:38,>Range,-215.5,>Range,>Range
11/02/2021 18:12:39,>Range,-215.5,>Range,>Range
11/02/2021 18:12:40,>Range,-215.5,>Range,>Range
11/02/2021 18:12:41,>Range,-215.5,>Range,>Range
11/02/2021 18:12:42,>Range,-215.5,>Range,>Range
11/02/2021 18:12:43,>Range,-215.5,>Range,>Range
11/02/2021 18:12:44,>Range,-215.5,>Range,>Range
11/02/2021 18:12:45,>Range,-215.5,>Range,>Range
11/02/2021 18:12:46,>Range,-215.5,>Range,>Range
11/02/2021 18:12:47,>Range,-215.5,>Range,>Range
11/02/2021 18:12:48,>Range,-215.5,>Range,>Range
11/02/2021 18:12:49,>Range,-215.5,>Range,>Range
11/02/2021 18:12:50,>Range,-215.5,>Range,>Range
11/02/2021 18:12:51,>Range,-215.5,>Range,>Range
11/02/2021 18:12:52,>Range,-215.5,>Range,>Range
11/02/2021 18:12:53,>Range,-216,>Range,>Range
11/02/2021 18:12:54,>Range,-215.8,>Range,>Range
11/02/2021 18:12:55,>Range,-215.6,>Range,>Range
11/02/2021 18:12:56,>Range,-215.5,>Range,>Range
11/02/2021 18:12:57,>Range,-215.9,>Range,>Range
11/02/2021 18:12:58,>Range,-215.7,>Range,>Range
11/02/2021 18:12:59,>Range,-215.6,>Range,>Range
11/02/2021 18:13:00,>Range,-215.5,>Range,>Range
11/02/2021 18:13:01,>Range,-215.5,>Range,>Range
11/02/2021 18:13:02,>Range,-215.9,>Range,>Range
11/02/2021 18:13:03,>Range,-215.7,>Range,>Range
11/02/2021 18:13:04,>Range,-216.1,>Range,>Range
11/02/2021 18:13:05,>Range,-215.8,>Range,>Range
11/02/2021 18:13:06,>Range,-216.6,>Range,>Range
11/02/2021 18:13:07,>Range,-217.1,>Range,>Range
11/02/2021 18:13:08,>Range,-216.8,>Range,>Range
11/02/2021 18:13:09,>Range,-216.1,>Range,>Range
11/02/2021 18:13:10,>Range,-215.8,>Range,>Range
11/02/2021 18:13:11,>Range,-215.7,>Range,>Range
11/02/2021 18:13:12,>Range,-215.6,>Range,>Range
11/02/2021 18:13:13,>Range,-215.5,>Range,>Range
11/02/2021 18:13:14,>Range,-215.5,>Range,>Range
11/02/2021 18:13:15,>Range,-215.5,>Range,>Range
