,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90
0,0,2.0,,,33931.0,,2021-11-03 17:42:31+00:00,,,,Methane,,190.71072878085621,,,,2.6285952,,,,,2021-11-03 17:42:33+00:00,HRRR,Bridger,1,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333318,11215.711666666652,11198.532222222224,AZ,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,True,TP,1.0,203.05585255943527,189.1912404891374,216.96977215991146,202.37399221900782,188.21075319643532,216.65504331878947,202.0806093780203,188.18603972971007,216.2415681562995
1,114,118.0,,,33931.0,,2021-11-03 17:42:31+00:00,,,,Methane,,165.82802323257133,,,,2.2843744,,,,,2021-11-03 17:42:33+00:00,NAM12,Bridger,1,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333318,11215.711666666652,11198.532222222224,AZ,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,True,TP,1.0,203.2071864550527,189.22796659091,217.1307286049004,202.34886083405948,188.13874847371306,216.60896235355025,202.0060688798649,187.88362448942027,216.11640283463078
2,228,234.0,,,33931.0,,2021-11-03 17:42:31+00:00,,,,Methane,,242.36548729946742,,,,3.3393888,,,,,2021-11-03 17:42:33+00:00,Sonic,Bridger,2,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333318,11215.711666666652,11198.532222222224,AZ,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,True,TP,1.0,202.9821785851747,189.05632726914385,217.00874364669795,202.4999763880445,188.0563977992252,216.58236421917587,202.15229520196817,188.0284371197793,215.95580119206312
3,342,350.0,,,33931.0,,2021-11-03 17:42:31+00:00,,,,Methane,,212.40043718589118,,,,2.928112,,,,,2021-11-03 17:42:33+00:00,Sonic,Bridger,3,,11292.2,4.0,308188.0,11292.2,False,,11255.703333333318,11215.711666666652,11198.532222222224,AZ,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,887.3599999999997,True,True,TP,1.0,203.1090602036826,189.2100817541007,217.4985097014241,202.3950537262374,188.20643305050478,216.38624027793801,201.9792047018101,187.97587302841117,215.91554438618755
4,1,3.0,,,33931.0,,2021-11-03 17:46:24+00:00,,,,Methane,,202.33021542641066,,,,2.6509471999999996,,,,,2021-11-03 17:46:39+00:00,HRRR,Bridger,1,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333315,11234.973333333322,11236.434444444449,AZ,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,True,TP,1.0,202.85531696300816,188.77447460021526,217.10639834645474,202.6975166377439,188.73142486269083,216.7223556867052,202.6558924920367,188.37591269028835,216.85316579333826
5,115,119.0,,,33931.0,,2021-11-03 17:46:24+00:00,,,,Methane,,177.14521429059917,,,,2.3201376000000002,,,,,2021-11-03 17:46:39+00:00,NAM12,Bridger,1,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333315,11234.973333333322,11236.434444444449,AZ,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,True,TP,1.0,202.8444251035316,188.80739239534407,216.97251789390316,202.71362745725938,188.5879063812243,216.53810805240133,202.7562423947766,188.950204955558,216.78640972133076
6,229,235.0,,,33931.0,,2021-11-03 17:46:24+00:00,,,,Methane,,255.55313230531615,,,,3.3438592000000003,,,,,2021-11-03 17:46:39+00:00,Sonic,Bridger,2,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333315,11234.973333333322,11236.434444444449,AZ,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,True,TP,1.0,202.89090076143447,188.87607484507407,216.88625028598273,202.79186432092882,189.11451690950352,216.9294994687168,202.76371465911637,188.76532046068863,216.72338995113844
7,343,351.0,,,33931.0,,2021-11-03 17:46:24+00:00,,,,Methane,,224.73787585182137,,,,2.9415232,,,,,2021-11-03 17:46:39+00:00,Sonic,Bridger,3,,11270.2,4.0,308188.0,11270.2,False,,11243.043333333315,11234.973333333322,11236.434444444449,AZ,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1812.3199999999993,True,True,TP,1.0,202.87438501768887,189.0498114292571,216.84304843836006,202.70160686836942,188.53407080102437,216.9711734162204,202.63823102185626,188.68422350860266,216.38131596287602
8,2,4.0,,,33931.0,,2021-11-03 17:50:38+00:00,,,,Methane,,265.77450185856003,,,,2.704592,,,,,2021-11-03 17:50:41+00:00,HRRR,Bridger,1,,11170.4,4.0,308188.0,11170.4,False,,11234.736666666648,11247.924999999985,11247.691111111111,AZ,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,2648.894999999999,True,True,TP,1.0,202.60907020849896,188.4708086840519,216.92592055298218,203.01731204623192,188.91115796947793,217.21936829279397,203.12874789120607,189.36473932410902,217.0597463144401
9,116,120.0,,,33931.0,,2021-11-03 17:50:38+00:00,,,,Methane,,234.43022812689358,,,,2.3827232,,,,,2021-11-03 17:50:41+00:00,NAM12,Bridger,1,,11170.4,4.0,308188.0,11170.4,False,,11234.736666666648,11247.924999999985,11247.691111111111,AZ,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,2648.894999999999,True,True,TP,1.0,202.6856739570401,188.54229501670244,216.98903736509234,202.91917296432308,188.90101017219857,216.96280512469116,202.91371325624087,188.88739263599462,216.94277014963654
