,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Round 3 test set,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,cr_scfh_mean900,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600,cr_kgh_CH4_mean900,cr_kgh_CH4_lower900,cr_kgh_CH4_upper900,FlowError_kgh,FlowError_percent
0,0,2.0,,,33931,,2021-11-03 17:42:31+00:00,,,,Methane,,190.71072878085621,,,,2.6285952,,,,,2021-11-03 17:42:31+00:00,,HRRR,Bridger,1,,11289.9,4.0,308188.0,11289.9,False,,11253.926666666666,11211.968333333334,11195.731111111112,8589.046666666667,5504.103,5669.421111111111,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,879.8399999999997,True,3.9000000000000004,True,TP,1.0,203.14976746620835,189.1754576064759,216.990280745456,202.1461488578181,188.66370939586858,215.31392917641023,201.56909489794546,186.9470447948951,215.41576042561547,154.67909188256738,142.81333750591412,166.11911413693764,99.39396364560886,89.4551968074655,108.56336431483619,101.60664222665929,91.29013774831859,111.67083784807693,-11.43542007696189,-5.657006152021787
1,114,118.0,,,33931,,2021-11-03 17:42:31+00:00,,,,Methane,,165.82802323257133,,,,2.2843744,,,,,2021-11-03 17:42:31+00:00,,NAM12,Bridger,1,,11289.9,4.0,308188.0,11289.9,False,,11253.926666666666,11211.968333333334,11195.731111111112,8589.046666666667,5504.103,5669.421111111111,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,879.8399999999997,True,3.9000000000000004,True,TP,1.0,203.127209501084,189.17344497208066,217.41455281593548,201.65638350706482,187.9592601513017,215.46979039511538,201.0970684456919,188.14498191071678,215.7411348224936,154.64338460569272,143.10653732151883,166.42794562963647,99.13330391286539,88.25331041275992,109.05726410699886,101.98001444204142,91.66226091572585,111.7800769354321,-35.82836027449349,-17.767035018377328
2,228,234.0,,,33931,,2021-11-03 17:42:31+00:00,,,,Methane,,242.36548729946742,,,,3.3393888,,,,,2021-11-03 17:42:31+00:00,,Sonic,Bridger,2,,11289.9,4.0,308188.0,11289.9,False,,11253.926666666666,11211.968333333334,11195.731111111112,8589.046666666667,5504.103,5669.421111111111,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,879.8399999999997,True,3.9000000000000004,True,TP,1.0,203.06554783518948,189.15515715578832,217.22768477055678,202.18849404387015,187.80559403252118,217.59255192987655,201.22821378974348,188.25643950046867,214.1247200497262,154.51924162937638,141.6541679363075,166.75376955378738,99.19599713978907,89.97086155787707,109.34723587563977,102.31904422742544,93.20217937313197,112.60660994139674,40.17699325559727,19.871058165594626
3,342,350.0,,,33931,,2021-11-03 17:42:31+00:00,,,,Methane,,212.40043718589118,,,,2.928112,,,,,2021-11-03 17:42:31+00:00,,Sonic,Bridger,3,,11289.9,4.0,308188.0,11289.9,False,,11253.926666666666,11211.968333333334,11195.731111111112,8589.046666666667,5504.103,5669.421111111111,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,879.8399999999997,True,3.9000000000000004,True,TP,1.0,203.03312848057254,188.76722855073217,216.9014245569472,201.65895643338098,189.1211241025374,214.81205462324215,201.37706831213868,187.6881113526015,216.6160546369783,155.03724795891887,144.38496378342185,167.17436936821892,98.90372820418497,88.19779465173274,109.13542208314291,102.03582540667985,92.40755403210373,112.15369144349805,10.7414807525102,5.326557740101516
4,1,3.0,,,33931,,2021-11-03 17:46:24+00:00,,,,Methane,,202.33021542641066,,,,2.6509471999999996,,,,,2021-11-03 17:46:24+00:00,,HRRR,Bridger,1,,11253.9,4.0,308188.0,11253.9,False,,11241.166666666666,11229.953333333333,11228.08111111111,11227.635,8849.674833333333,7335.549777777777,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1755.9199999999994,True,7.783333333333334,True,TP,1.0,202.78961924680425,188.63802148558403,216.82738244438568,202.69076402175304,189.62535809090758,217.69040790480233,202.8506003342155,189.9253580592994,216.58030859228376,202.3626218639925,188.0956296931261,216.88609648708533,159.74906603133496,146.45192330898672,171.39280833850165,132.013351056822,121.04510938815822,143.12132116890285,-0.3605485953423795,-0.17788111712070165
5,115,119.0,,,33931,,2021-11-03 17:46:24+00:00,,,,Methane,,177.14521429059917,,,,2.3201376000000002,,,,,2021-11-03 17:46:24+00:00,,NAM12,Bridger,1,,11253.9,4.0,308188.0,11253.9,False,,11241.166666666666,11229.953333333333,11228.08111111111,11227.635,8849.674833333333,7335.549777777777,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1755.9199999999994,True,7.783333333333334,True,TP,1.0,202.74666818410202,188.86970890415847,216.7129472399829,202.0989758196427,188.4089244349578,215.69364220695428,202.51609821324635,187.9195000298737,217.08645253447838,201.82459609367623,187.05295931503937,217.37219055818073,159.49376529904438,147.34322341965841,172.44055975193456,132.05583815154142,120.6036972719026,144.0699705399073,-24.953761529043533,-12.347297371419035
6,229,235.0,,,33931,,2021-11-03 17:46:24+00:00,,,,Methane,,255.55313230531615,,,,3.3438592000000003,,,,,2021-11-03 17:46:24+00:00,,Sonic,Bridger,2,,11253.9,4.0,308188.0,11253.9,False,,11241.166666666666,11229.953333333333,11228.08111111111,11227.635,8849.674833333333,7335.549777777777,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1755.9199999999994,True,7.783333333333334,True,TP,1.0,202.8470867491674,188.53816038372142,216.88551058341017,202.37455691953858,189.44751613330095,217.11284345110045,202.2453366672048,187.59784842967034,217.04803587853624,202.62714083792443,187.36889121211777,217.22175056233658,159.20683198390907,146.9940438872652,171.63403485281793,131.9754583510823,121.15972700131805,143.3663039241429,53.17857538577758,26.2773029353293
7,343,351.0,,,33931,,2021-11-03 17:46:24+00:00,,,,Methane,,224.73787585182137,,,,2.9415232,,,,,2021-11-03 17:46:24+00:00,,Sonic,Bridger,3,,11253.9,4.0,308188.0,11253.9,False,,11241.166666666666,11229.953333333333,11228.08111111111,11227.635,8849.674833333333,7335.549777777777,AZ,2.9348,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,1755.9199999999994,True,7.783333333333334,True,TP,1.0,202.95874976961198,189.0075147246901,216.93602869095287,202.1952869859795,189.0331543560759,216.5527586357278,202.60587895934438,189.06743820847458,215.74894728734088,201.8564412734334,188.6465048738691,216.41435130124395,159.43362421047084,148.39047824553484,171.58168651528575,132.2051975835411,121.92246972073603,143.52653987092427,22.54258886584188,11.148919048446967
8,2,4.0,,,33931,,2021-11-03 17:50:38+00:00,,,,Methane,,265.77450185856003,,,,2.704592,,,,,2021-11-03 17:50:38+00:00,,HRRR,Bridger,1,,11205.3,4.0,308188.0,11205.3,False,,11241.679999999998,11251.26,11249.987777777777,11253.151000000002,11234.2495,9165.341222222221,AZ,3.0437,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,2638.604999999999,True,12.016666666666667,True,TP,1.0,202.91173871407247,188.97715733667835,216.93422045115014,202.91144785169283,189.21429602502556,219.749985662525,202.1904916021545,188.61920713957062,216.38876873261904,202.66733467303342,187.50328120728736,218.2659226584021,202.229408403861,188.01892613473666,216.4690245887275,165.08000551849852,153.49907203613063,177.89900885322166,62.8630540068672,30.98053592955167
9,116,120.0,,,33931,,2021-11-03 17:50:38+00:00,,,,Methane,,234.43022812689358,,,,2.3827232,,,,,2021-11-03 17:50:38+00:00,,NAM12,Bridger,1,,11205.3,4.0,308188.0,11205.3,False,,11241.679999999998,11251.26,11249.987777777777,11253.151000000002,11234.2495,9165.341222222221,AZ,3.0437,2021-11-03 17:38:37+00:00,2021-11-03 18:12:22+00:00,2001.0,2638.604999999999,True,12.016666666666667,True,TP,1.0,202.85421443088268,188.73628135963207,216.86050718276206,202.7238403969976,188.57295897643598,217.8082324681646,202.561521440422,189.0568410557456,217.83201014735386,202.08974278825377,188.52055958311726,217.48334653603476,201.72448575208935,187.8400759708178,215.23679286241952,164.87654489080708,151.5596416256573,177.32812358636858,31.706387729895994,15.640186999123944
