,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90
0,1018,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,153.0,229.0,77.0,,4.9,,,1,1.0,2021-10-18 17:28:47+00:00,NASA-GEOS,GHGSat,1,,22878.66,4.0,218645.0,22878.66,False,,22938.82033333335,23070.901499999967,23158.747111111195,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,True,TP,1.0,414.0529482559916,388.98118650462754,438.8442440120375,416.28751615066193,390.9483666560423,441.746598506623,417.80307575202136,392.74846085398127,443.2339369579851
1,1214,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1,1.0,2021-10-18 17:28:47+00:00,Sonic,GHGSat,2,,22878.66,4.0,218645.0,22878.66,False,,22938.82033333335,23070.901499999967,23158.747111111195,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,True,TP,1.0,414.0143012359442,388.6944555801291,439.2123410369044,416.33024198535446,390.99252514035743,441.47979091740814,417.94265581924503,392.29137709728747,443.7021914452676
2,1410,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1,1.0,2021-10-18 17:28:47+00:00,Sonic,GHGSat,3,,22878.66,4.0,218645.0,22878.66,False,,22938.82033333335,23070.901499999967,23158.747111111195,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6239.7,True,True,TP,1.0,413.9671398357092,389.10881335449676,439.301901937595,416.3592172500321,390.8699833813881,442.0327101310887,417.9332549537454,392.375587394995,443.6529815577036
3,1019,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,191.0,289.0,93.0,,4.88,,,1,1.0,2021-10-18 17:31:59+00:00,NASA-GEOS,GHGSat,1,,22892.38,4.0,218645.0,22892.38,False,,23010.89966666668,23097.105666666615,23109.459222222413,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7814.71,True,True,TP,1.0,415.35843237963013,390.03486740341117,440.41444934025947,416.7590832776407,391.310836014971,442.4876519458619,417.1006438775287,391.57566184927856,443.2468855240255
4,1215,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,326.0,420.0,232.0,,8.28,,,1,1.0,2021-10-18 17:31:59+00:00,Sonic,GHGSat,2,,22892.38,4.0,218645.0,22892.38,False,,23010.89966666668,23097.105666666615,23109.459222222413,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7814.71,True,True,TP,1.0,415.4110739754951,389.71067234250035,441.20528395038923,417.04024918798825,391.80886085394275,442.73084047320947,416.7708333495967,391.1542701393554,442.2146720937598
5,1411,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,326.0,420.0,232.0,,8.28,,,1,1.0,2021-10-18 17:31:59+00:00,Sonic,GHGSat,3,,22892.38,4.0,218645.0,22892.38,False,,23010.89966666668,23097.105666666615,23109.459222222413,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7814.71,True,True,TP,1.0,415.3028721941664,389.7228208322085,440.73545526889063,416.91430649770217,391.54980730456185,442.6602633177098,416.83361781448156,391.4674217513195,442.39517603646635
6,1020,,1496-1-102-578-777-3,1.0,1.0,,2021-10-18 17:34:38+00:00,,,,Methane,,171.0,256.0,86.0,,4.88,,,1,1.0,2021-10-18 17:34:45+00:00,NASA-GEOS,GHGSat,1,,22684.51,4.0,218645.0,22684.51,False,,22724.647999999965,22730.011499999982,22744.064444444695,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,9262.655,True,True,TP,1.0,410.1470759674244,384.9506717471677,435.2314239677849,409.99430058416215,384.96223495365865,435.3946167323215,410.4251673221286,385.45048955822057,435.6015619750294
7,1216,,1496-1-102-578-777-3,1.0,1.0,,2021-10-18 17:34:38+00:00,,,,Methane,,277.0,365.0,189.0,,7.88,,,1,1.0,2021-10-18 17:34:45+00:00,Sonic,GHGSat,2,,22684.51,4.0,218645.0,22684.51,False,,22724.647999999965,22730.011499999982,22744.064444444695,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,9262.655,True,True,TP,1.0,410.1115239893683,385.3372488128921,434.61575543001214,410.1232844694727,384.8083737024656,435.1553593970831,410.3668084182331,385.2170025946603,435.6890826395748
8,1412,,1496-1-102-578-777-3,1.0,1.0,,2021-10-18 17:34:38+00:00,,,,Methane,,277.0,365.0,189.0,,7.88,,,1,1.0,2021-10-18 17:34:45+00:00,Sonic,GHGSat,3,,22684.51,4.0,218645.0,22684.51,False,,22724.647999999965,22730.011499999982,22744.064444444695,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,9262.655,True,True,TP,1.0,409.8292568822144,384.93361480509424,434.7034868693687,409.79281654375495,384.32568431891934,434.81519826617455,410.33015966724486,385.0399358715505,435.68976590230966
9,1021,,1496-1-103-471-670-5,1.0,1.0,,2021-10-18 17:40:09+00:00,,,,Methane,,186.0,282.0,90.0,,4.87,,,1,1.0,2021-10-18 17:40:19+00:00,NASA-GEOS,GHGSat,1,,22288.48,4.0,218645.0,22288.48,False,,22242.310333333342,22182.920166666674,22252.780444444725,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,12185.02,True,True,TP,1.0,401.2670122964671,376.180652652409,426.4924149560542,400.31886929305017,375.6482224362554,424.28750137855167,401.47942078295273,377.1009441310644,425.9093607638257
