,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90
0,342,2.0,3.0,1.0,1.0,,2021-07-30 15:32:55+00:00,,,,Methane,121.82364299999999,,#VALUE!,#VALUE!,,2.713584705,,,0.0,,2021-07-30 15:32:44+00:00,NASA-GEOS,CarbonMapper,1,,4206.0,2.0,162928.0,4206.0,False,,4210.833333333335,4205.333333333325,4185.788888888887,TX,2021-07-30 15:30:04+00:00,2021-07-30 15:35:34+00:00,2001.0,459.495,True,True,ER,-1.0,68.12388633194043,53.967150994914604,81.84653562572535,67.61524510261857,53.51439565698525,82.02984268256469,66.98263127485195,54.096781877481504,82.46531926980043
1,343,3.0,190.0,1.0,1.0,,2021-07-30 15:34:56+00:00,,,,Methane,,,#VALUE!,#VALUE!,,,,,2.0,,2021-07-30 15:34:32+00:00,NASA-GEOS,CarbonMapper,1,,4462.8,2.0,162928.0,4462.8,False,,4435.066666666651,4437.026666666654,4396.26666666665,TX,2021-07-30 15:30:04+00:00,2021-07-30 15:35:34+00:00,2001.0,745.5350000000001,True,True,FN,0.0,71.50592542332502,57.37550327383095,85.54832040214144,71.66893853640191,56.82203606449525,84.97846664325165,70.52603974035739,56.23303200471395,83.19860506668178
2,344,4.0,4.0,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,143.40502080000002,360.874286,467.896269,253.852303,,2.713584705,,,1.0,,2021-07-30 15:36:26+00:00,NASA-GEOS,CarbonMapper,1,,22372.3,2.0,162928.0,22372.3,False,,22247.193333333318,22193.649999999954,17825.58888888885,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,True,NE,-1.0,358.6372601040607,335.96417631171875,384.21554134854756,358.1772878070837,335.0616950578532,383.0579583571878,287.1313065797983,268.0267086625042,307.8840854243969
3,569,229.0,1,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,143.40502080000002,157.5908179,212.8760449,102.30559090000001,,1.185,,,1.0,,2021-07-30 15:36:26+00:00,Sonic,CarbonMapper,2,,22372.3,2.0,162928.0,22372.3,False,,22247.193333333318,22193.649999999954,17825.58888888885,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,True,NE,-1.0,359.29053255780127,336.49015742081787,384.1735476751438,358.42390569862044,334.9123570740832,384.79484942898546,287.5960295024413,267.50541733310905,309.82516154769183
4,738,398.0,F1,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,199.83242980000003,108.251997,136.2775816,80.22641241,,1.185,,,1.0,,2021-07-30 15:36:26+00:00,Sonic,CarbonMapper,3,,22372.3,2.0,162928.0,22372.3,False,,22247.193333333318,22193.649999999954,17825.58888888885,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,True,NE,-1.0,358.5493588156891,334.0127172365263,385.41708442080676,358.30962968635924,333.8134579201748,388.3245475275695,287.0250808924491,268.11223217685813,308.8046810006213
5,345,5.0,5.0,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,136.821051,548.6662022999999,714.3727898,382.9596148,,2.713584705,,,1.0,,2021-07-30 15:38:29+00:00,NASA-GEOS,CarbonMapper,1,,22295.8,2.0,162928.0,22295.8,False,,22272.716666666613,22264.158333333246,22242.933333333254,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,True,TP,1.0,359.35586244002855,335.3666771593462,387.6138837949868,359.0167660764889,337.1460099659845,386.2560867173909,359.5379507380075,335.6044078407214,388.2748893441342
6,570,230.0,2,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,136.821051,752.4927079,940.0166487,564.9687671,,3.721666667,,,1.0,,2021-07-30 15:38:29+00:00,Sonic,CarbonMapper,2,,22295.8,2.0,162928.0,22295.8,False,,22272.716666666613,22264.158333333246,22242.933333333254,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,True,TP,1.0,360.03281151752,336.3231396449817,385.5767672507045,359.32956475121296,335.56009636545747,385.6344231402134,358.16437263871086,335.09166050830873,385.7037023743207
7,739,399.0,F2,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,193.238195,850.3634079,895.2936314,805.4331844,,3.721666667,,,1.0,,2021-07-30 15:38:29+00:00,Sonic,CarbonMapper,3,,22295.8,2.0,162928.0,22295.8,False,,22272.716666666613,22264.158333333246,22242.933333333254,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,True,TP,1.0,360.0152903199029,335.4219755218829,386.6099052004568,359.0302016231385,334.4509943918387,386.8062258210139,359.0030947661614,334.41585628354204,388.94363408420816
8,346,6.0,6.0,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,147.122398,268.46122510000004,326.6470969,210.2753534,,2.713584705,,,1.0,,2021-07-30 15:40:16+00:00,NASA-GEOS,CarbonMapper,1,,22185.8,2.0,162928.0,22185.8,False,,22121.719999999972,22115.51999999997,22141.473333333273,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,True,TP,1.0,357.06823740767567,332.9349842644157,388.4754509991881,356.88331105162706,334.6495767435193,383.1015177502305,356.32102641672606,333.9997807859157,381.99560413926145
9,571,231.0,3,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,147.122398,326.8393959,379.1004638,274.5783281,,3.303666667,,,1.0,,2021-07-30 15:40:16+00:00,Sonic,CarbonMapper,2,,22185.8,2.0,162928.0,22185.8,False,,22121.719999999972,22115.51999999997,22141.473333333273,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,True,TP,1.0,357.005937353014,331.7745733605217,384.0980867570781,356.2550000318607,332.0771287010161,382.0162758903767,356.4244618141068,331.7141706443295,384.1798192849305
