,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90
0,342,2.0,3.0,1.0,1.0,,2021-07-30 15:32:55+00:00,,,,Methane,121.82364299999999,,#VALUE!,#VALUE!,,2.713584705,,,0.0,,2021-07-30 15:32:44+00:00,NASA-GEOS,CarbonMapper,1,,4206.0,2.0,162928.0,4206.0,,4210.833333333335,4205.333333333325,4185.788888888887,TX,2021-07-30 15:30:04+00:00,2021-07-30 15:35:34+00:00,2001.0,459.495,True,True,ER,-1.0,67.92095941818505,52.394674736463294,83.18300271415515,68.12055019169156,54.413373733098894,83.80186899161518,66.88566812188023,52.99155327131412,82.19821751208448
1,343,3.0,190.0,1.0,1.0,,2021-07-30 15:34:56+00:00,,,,Methane,,,#VALUE!,#VALUE!,,,,,2.0,,2021-07-30 15:34:32+00:00,NASA-GEOS,CarbonMapper,1,,4462.8,2.0,162928.0,4462.8,,4435.066666666651,4437.026666666654,4396.26666666665,TX,2021-07-30 15:30:04+00:00,2021-07-30 15:35:34+00:00,2001.0,745.5350000000001,True,True,FN,0.0,70.98961935729903,56.10613323868361,85.43181334621184,72.04035428069186,58.172296103057455,86.42415159732774,70.6163727411277,56.914190168948636,85.15871688253247
2,344,4.0,4.0,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,143.40502080000002,360.874286,467.896269,253.852303,,2.713584705,,,1.0,,2021-07-30 15:36:26+00:00,NASA-GEOS,CarbonMapper,1,,22372.3,2.0,162928.0,22372.3,,22247.193333333318,22193.649999999954,17825.58888888885,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,True,NE,-1.0,358.28972256436424,334.4435068177688,388.5265225636152,359.10404689265266,334.2284982639416,385.3651780586361,287.5402490692515,267.5935181891535,308.5162603750936
3,569,229.0,1,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,143.40502080000002,157.5908179,212.8760449,102.30559090000001,,1.185,,,1.0,,2021-07-30 15:36:26+00:00,Sonic,CarbonMapper,2,,22372.3,2.0,162928.0,22372.3,,22247.193333333318,22193.649999999954,17825.58888888885,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,True,NE,-1.0,359.2270310554367,333.60937225744556,385.809830296519,357.7887550221495,333.2434047501694,384.3637423506501,287.6415313422362,267.5680579456695,310.04555575215846
4,738,398.0,F1,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,199.83242980000003,108.251997,136.2775816,80.22641241,,1.185,,,1.0,,2021-07-30 15:36:26+00:00,Sonic,CarbonMapper,3,,22372.3,2.0,162928.0,22372.3,,22247.193333333318,22193.649999999954,17825.58888888885,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,68.03499999999998,False,True,NE,-1.0,358.9110206419502,334.7520975111233,384.44218567455493,357.6651076714738,335.240822190863,382.4667853690147,287.03161470602566,267.52921010340697,309.4315050254332
5,345,5.0,5.0,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,136.821051,548.6662022999999,714.3727898,382.9596148,,2.713584705,,,1.0,,2021-07-30 15:38:29+00:00,NASA-GEOS,CarbonMapper,1,,22295.8,2.0,162928.0,22295.8,,22272.716666666613,22264.158333333246,22242.933333333254,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,True,TP,1.0,359.1281008496615,335.98537738096593,386.3561771188128,358.86603632148217,333.7107907347747,385.7774059482613,358.44926236712166,336.3049474399829,387.4126859279481
6,570,230.0,2,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,136.821051,752.4927079,940.0166487,564.9687671,,3.721666667,,,1.0,,2021-07-30 15:38:29+00:00,Sonic,CarbonMapper,2,,22295.8,2.0,162928.0,22295.8,,22272.716666666613,22264.158333333246,22242.933333333254,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,True,TP,1.0,358.4995412234812,334.6250849541522,383.8880090845812,358.82977081323014,333.5291422159921,387.43069532008,360.19869940510927,336.04180381748347,387.6683132238557
7,739,399.0,F2,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,193.238195,850.3634079,895.2936314,805.4331844,,3.721666667,,,1.0,,2021-07-30 15:38:29+00:00,Sonic,CarbonMapper,3,,22295.8,2.0,162928.0,22295.8,,22272.716666666613,22264.158333333246,22242.933333333254,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,380.30000000000007,True,True,TP,1.0,359.8349886870571,335.43785734866583,386.3134650936707,360.6537432141949,336.28263248502986,386.25545124230666,358.1939388462326,333.2548358083466,384.156286748353
8,346,6.0,6.0,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,147.122398,268.46122510000004,326.6470969,210.2753534,,2.713584705,,,1.0,,2021-07-30 15:40:16+00:00,NASA-GEOS,CarbonMapper,1,,22185.8,2.0,162928.0,22185.8,,22121.719999999972,22115.51999999997,22141.473333333273,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,True,TP,1.0,357.48209469179807,336.784544211082,383.10424167234,355.9355158272593,333.22807051585136,381.02222482630134,356.9972271000702,333.5528020723275,384.69820403050977
9,571,231.0,3,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,147.122398,326.8393959,379.1004638,274.5783281,,3.303666667,,,1.0,,2021-07-30 15:40:16+00:00,Sonic,CarbonMapper,2,,22185.8,2.0,162928.0,22185.8,,22121.719999999972,22115.51999999997,22141.473333333273,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,True,TP,1.0,356.5623019948269,332.91722150714014,383.5171257757216,355.82942402755765,332.79348710714913,380.8849258584458,356.62858133274557,333.6400903331562,384.5989794098168
10,740,400.0,F3,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,188.9047379,314.4977559,346.7172462,282.27826560000005,,3.303666667,,,1.0,,2021-07-30 15:40:16+00:00,Sonic,CarbonMapper,3,,22185.8,2.0,162928.0,22185.8,,22121.719999999972,22115.51999999997,22141.473333333273,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,729.8050000000001,True,True,TP,1.0,356.6208578869847,332.16539465765464,383.202483643427,357.18054846095293,330.5965752477829,383.6810007712056,357.4431876888643,332.99846255293204,380.85358989206094
