,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,Timestamp_merge_UTC,WindType,OperatorSet,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,cr_Coriolis_gps,cr_scfh_mean,cr_avg_start,cr_avg_end,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,tc_Classification,Detection,cr_kgh_CH4_mean,cr_kgh_CH4_lower,cr_kgh_CH4_upper
0,342,2.0,3.0,1.0,1.0,,2021-07-30 15:32:55+00:00,,,,Methane,121.82364299999999,,#VALUE!,#VALUE!,,2.713584705,,,0.0,,2021-07-30 15:32:44+00:00,2021-07-30 15:32:44+00:00,NASA-GEOS,CarbonMapper,,4206.0,2.0,162928.0,4206.0,,4185.788888888887,2021-07-30 15:31:14+00:00,2021-07-30 15:32:44+00:00,TX,2021-07-30 15:30:04+00:00,2021-07-30 15:35:34+00:00,2001.0,482.15500000000003,True,ER,-1.0,67.99016246586517,54.09950301018787,82.35263214827823
1,343,3.0,190.0,1.0,1.0,,2021-07-30 15:34:56+00:00,,,,Methane,,,#VALUE!,#VALUE!,,,,,2.0,,2021-07-30 15:34:32+00:00,2021-07-30 15:34:32+00:00,NASA-GEOS,CarbonMapper,,4462.8,2.0,162928.0,4462.8,,4396.26666666665,2021-07-30 15:33:02+00:00,2021-07-30 15:34:32+00:00,TX,2021-07-30 15:30:04+00:00,2021-07-30 15:35:34+00:00,2001.0,800.985,True,FN,0.0,71.34288651084454,57.52060731000187,85.73630329130505
2,344,4.0,4.0,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,143.40502080000002,360.874286,467.896269,253.852303,,2.713584705,,,1.0,,2021-07-30 15:36:26+00:00,2021-07-30 15:36:26+00:00,NASA-GEOS,CarbonMapper,,22372.3,2.0,162928.0,22372.3,,17825.58888888885,2021-07-30 15:34:56+00:00,2021-07-30 15:36:26+00:00,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,83.60999999999999,False,NE,-1.0,287.2959205273013,267.1748425236693,309.01198463095943
3,569,229.0,1.0,1.0,1.0,,2021-07-30 15:36:42+00:00,,,,Methane,143.40502080000002,157.5908179,212.8760449,102.30559090000001,,1.185,,,1.0,,2021-07-30 15:36:26+00:00,2021-07-30 15:36:26+00:00,Sonic,CarbonMapper,,22372.3,2.0,162928.0,22372.3,,17825.58888888885,2021-07-30 15:34:56+00:00,2021-07-30 15:36:26+00:00,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,83.60999999999999,False,NE,-1.0,287.89534722686875,267.21431339613383,309.4788331565631
4,345,5.0,5.0,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,136.821051,548.6662022999999,714.3727898,382.9596148,,2.713584705,,,1.0,,2021-07-30 15:38:29+00:00,2021-07-30 15:38:29+00:00,NASA-GEOS,CarbonMapper,,22295.8,2.0,162928.0,22295.8,,22242.933333333254,2021-07-30 15:36:59+00:00,2021-07-30 15:38:29+00:00,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,434.77000000000004,True,TP,1.0,358.7199503649544,334.0761960228789,384.9756539218658
5,570,230.0,2.0,1.0,1.0,,2021-07-30 15:38:44+00:00,,,,Methane,136.821051,752.4927079,940.0166487,564.9687671,,3.721666667,,,1.0,,2021-07-30 15:38:29+00:00,2021-07-30 15:38:29+00:00,Sonic,CarbonMapper,,22295.8,2.0,162928.0,22295.8,,22242.933333333254,2021-07-30 15:36:59+00:00,2021-07-30 15:38:29+00:00,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,434.77000000000004,True,TP,1.0,358.4462296995206,335.51881739698786,384.47174435289884
6,346,6.0,6.0,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,147.122398,268.46122510000004,326.6470969,210.2753534,,2.713584705,,,1.0,,2021-07-30 15:40:16+00:00,2021-07-30 15:40:16+00:00,NASA-GEOS,CarbonMapper,,22185.8,2.0,162928.0,22185.8,,22141.473333333273,2021-07-30 15:38:46+00:00,2021-07-30 15:40:16+00:00,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,781.595,True,TP,1.0,357.29416388375085,334.2350098061537,380.5330532147828
7,571,231.0,3.0,1.0,1.0,,2021-07-30 15:40:32+00:00,,,,Methane,147.122398,326.8393959,379.1004638,274.5783281,,3.303666667,,,1.0,,2021-07-30 15:40:16+00:00,2021-07-30 15:40:16+00:00,Sonic,CarbonMapper,,22185.8,2.0,162928.0,22185.8,,22141.473333333273,2021-07-30 15:38:46+00:00,2021-07-30 15:40:16+00:00,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,781.595,True,TP,1.0,357.7257789663952,335.9974480485633,383.71570463585687
8,347,7.0,7.0,1.0,1.0,,2021-07-30 15:42:25+00:00,,,,Methane,115.45128840000001,466.86224230000005,567.7117517,366.0127329,,2.713584705,,,1.0,,,2021-07-30 15:42:25+00:00,NASA-GEOS,CarbonMapper,,22063.8,2.0,162928.0,22063.8,,22191.317777777687,2021-07-30 15:40:55+00:00,2021-07-30 15:42:25+00:00,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,1126.195,True,TP,1.0,358.4357485683229,332.64544605284186,385.29798026015465
9,572,232.0,4.0,1.0,1.0,,2021-07-30 15:42:25+00:00,,,,Methane,115.45128840000001,463.3780648,569.8707631,356.8853666,,2.693333333,,,1.0,,,2021-07-30 15:42:25+00:00,Sonic,CarbonMapper,,22063.8,2.0,162928.0,22063.8,,22191.317777777687,2021-07-30 15:40:55+00:00,2021-07-30 15:42:25+00:00,TX,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,1126.195,True,TP,1.0,359.1672882225543,336.6015694326773,386.0936198181402
