,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90
0,738,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,153.0,229.0,77.0,,4.9,,,1,1.0,2021-10-18 17:28:43+00:00,NASA-GEOS,GHGSat,,22878.66,4.0,218645.0,22878.66,,22971.248333333348,23095.888833333305,23182.87788888897,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6211.355,True,TP,1.0,414.24539305531295,389.3335896642442,439.742721290327,416.81598639186086,391.055291116826,442.43119525954666,418.4534029650791,393.17380237011037,444.2846276736688
1,934,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1,1.0,2021-10-18 17:28:43+00:00,Sonic,GHGSat,,22878.66,4.0,218645.0,22878.66,,22971.248333333348,23095.888833333305,23182.87788888897,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6211.355,True,TP,1.0,414.71217007339914,389.20269704766423,440.0134077922672,416.7134728588843,390.9785605069368,442.3007508013806,418.3508343142038,392.86495842583577,444.2363340295909
2,739,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,191.0,289.0,93.0,,4.88,,,1,1.0,2021-10-18 17:31:56+00:00,NASA-GEOS,GHGSat,,22910.44,4.0,218645.0,22910.44,,23036.09066666668,23113.24866666662,23113.977555555746,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7789.38,True,TP,1.0,415.68079794863854,390.1551876032205,441.13277634927925,417.0859533342461,391.8182393535725,442.2583486843534,417.28913960021737,392.0118796836026,443.0096920325365
3,935,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,326.0,420.0,232.0,,8.28,,,1,1.0,2021-10-18 17:31:56+00:00,Sonic,GHGSat,,22910.44,4.0,218645.0,22910.44,,23036.09066666668,23113.24866666662,23113.977555555746,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7789.38,True,TP,1.0,415.5631291978738,390.6710307883221,440.83199668204253,416.985583970177,390.8795430409067,441.926045089812,416.9974423989153,391.73182448185963,442.67237642238314
4,740,,1496-1-102-578-777-3,1.0,1.0,,2021-10-18 17:34:38+00:00,,,,Methane,,171.0,256.0,86.0,,4.88,,,1,1.0,2021-10-18 17:34:38+00:00,NASA-GEOS,GHGSat,,22717.69,4.0,218645.0,22717.69,,22732.467999999975,22732.23399999999,22749.15377777803,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,9207.765,True,TP,1.0,410.55298894458366,385.55607555387024,435.56654425959454,410.1243525545083,385.305525968801,435.3840811870143,410.31358528708245,385.7715283250172,435.26519044534854
5,936,,1496-1-102-578-777-3,1.0,1.0,,2021-10-18 17:34:38+00:00,,,,Methane,,277.0,365.0,189.0,,7.88,,,1,1.0,2021-10-18 17:34:38+00:00,Sonic,GHGSat,,22717.69,4.0,218645.0,22717.69,,22732.467999999975,22732.23399999999,22749.15377777803,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,9207.765,True,TP,1.0,410.1635005513668,384.9945799223071,435.342831233108,410.23803434079684,385.0735249047526,435.719174794253,410.46542049823205,385.00665259348096,435.8729106929449
6,741,,1496-1-103-471-670-5,1.0,1.0,,2021-10-18 17:40:09+00:00,,,,Methane,,186.0,282.0,90.0,,4.87,,,1,1.0,2021-10-18 17:40:09+00:00,NASA-GEOS,GHGSat,,22241.66,4.0,218645.0,22241.66,,22201.81600000001,22188.05516666669,22281.672111111395,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,12093.359999999999,True,TP,1.0,400.4468800626403,375.72630687956956,425.1890864095279,400.4237343634246,375.7623029743806,425.24020360825074,401.86137491910625,377.24656264450624,426.3256000626472
7,937,,1496-1-103-471-670-5,1.0,1.0,,2021-10-18 17:40:09+00:00,,,,Methane,,367.0,502.0,232.0,,9.57,,,1,1.0,2021-10-18 17:40:09+00:00,Sonic,GHGSat,,22241.66,4.0,218645.0,22241.66,,22201.81600000001,22188.05516666669,22281.672111111395,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,12093.359999999999,True,TP,1.0,400.9294631112819,376.47301547210367,425.7014922305196,400.0976967333361,375.66028965156096,424.59690695702074,401.8939266907323,377.13300752302854,426.6708732073359
8,742,,1496-1-303-1170-1369-6,1.0,1.0,,2021-10-18 17:43:45+00:00,,,,Methane,,186.0,282.0,90.0,,4.87,,,1,1.0,2021-10-18 17:43:45+00:00,NASA-GEOS,GHGSat,,83970.7,4.0,218645.0,83970.7,,83390.94500000023,83503.33699999981,83875.0464444445,AZ,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,866.095,True,TP,1.0,1504.938361622172,1422.2546852170158,1590.5614035403066,1507.162696614663,1425.1672974195496,1591.190252532586,1513.6362151732064,1430.4315389238948,1599.0273674777525
9,938,,1496-1-303-1170-1369-6,1.0,1.0,,2021-10-18 17:43:45+00:00,,,,Methane,,366.0,502.0,230.0,,9.57,,,1,1.0,2021-10-18 17:43:45+00:00,Sonic,GHGSat,,83970.7,4.0,218645.0,83970.7,,83390.94500000023,83503.33699999981,83875.0464444445,AZ,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,866.095,True,TP,1.0,1504.6780627904266,1422.2762080622786,1589.1360802194065,1506.1845156847257,1422.5536399369496,1590.4226368020718,1513.111493964918,1431.0489311745464,1598.181226511787
10,743,,1496-1-104-876-1075-7,1.0,1.0,,2021-10-18 17:46:45+00:00,,,,Methane,,625.0,946.0,304.0,,4.86,,,1,1.0,2021-10-18 17:46:45+00:00,NASA-GEOS,GHGSat,,81567.73,4.0,218645.0,81567.73,,81849.28700000007,82037.30983333327,82298.77433333357,AZ,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,2311.0699999999997,True,TP,1.0,1476.8394759027506,1395.1601887222298,1559.7361522906874,1480.713053420874,1398.4548356206992,1564.659286463667,1485.4919010894355,1403.7563734468886,1568.783761639752
11,939,,1496-1-104-876-1075-7,1.0,1.0,,2021-10-18 17:46:45+00:00,,,,Methane,,1035.0,1373.0,697.0,,8.06,,,1,1.0,2021-10-18 17:46:45+00:00,Sonic,GHGSat,,81567.73,4.0,218645.0,81567.73,,81849.28700000007,82037.30983333327,82298.77433333357,AZ,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,2311.0699999999997,True,TP,1.0,1476.9093265056506,1397.0275904841094,1558.974121997302,1479.821153354591,1398.4173602421113,1562.2596530583871,1485.2775089329732,1402.0713475813134,1569.4199433618821
12,744,,1496-1-304-1313-1512-8,1.0,1.0,,2021-10-18 17:50:15+00:00,,,,Methane,,569.0,857.0,281.0,,4.85,,,1,1.0,2021-10-18 17:50:15+00:00,NASA-GEOS,GHGSat,,81293.55,4.0,218645.0,81293.55,,80795.12466666684,80691.4939999999,80681.73044444468,AZ,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,4291.88,True,TP,1.0,1457.267709033778,1377.5528572032517,1538.362324324488,1455.8306793679874,1376.226207688749,1537.2927405678936,1455.9649357563333,1375.4056724226164,1539.445683705273
13,940,,1496-1-304-1313-1512-8,1.0,1.0,,2021-10-18 17:50:15+00:00,,,,Methane,,1218.0,1624.0,813.0,,10.38,,,1,1.0,2021-10-18 17:50:15+00:00,Sonic,GHGSat,,81293.55,4.0,218645.0,81293.55,,80795.12466666684,80691.4939999999,80681.73044444468,AZ,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,4291.88,True,TP,1.0,1458.207606516946,1377.3707313985378,1539.0776765383978,1455.7410751698044,1375.7724919649668,1536.9828569120887,1456.2022459841698,1376.7430319050004,1537.3536554771692
14,745,,1496-1-105-725-924-9,1.0,1.0,,2021-10-18 17:53:18+00:00,,,,Methane,,525.0,823.0,227.0,,4.85,,,1,1.0,2021-10-18 17:53:18+00:00,NASA-GEOS,GHGSat,,78475.66,4.0,218645.0,78475.66,,79386.20166666692,79728.26299999986,79838.000888889,AZ,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,6037.925,True,TP,1.0,1432.159945709596,1353.4558038902076,1512.157006580907,1438.83302332571,1360.9100793461516,1519.4701196507046,1440.329549817922,1360.9399321154908,1521.5580045874501
15,941,,1496-1-105-725-924-9,1.0,1.0,,2021-10-18 17:53:18+00:00,,,,Methane,,1141.0,1555.0,727.0,,9.2,,,1,1.0,2021-10-18 17:53:18+00:00,Sonic,GHGSat,,78475.66,4.0,218645.0,78475.66,,79386.20166666692,79728.26299999986,79838.000888889,AZ,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,6037.925,True,TP,1.0,1432.1523251961878,1353.7746971860252,1513.0789244307107,1438.948580866097,1360.4734286608295,1519.6882503850777,1440.867822211975,1362.492803388706,1519.2587769356712
16,746,,1496-1-305-1063-1262-10,1.0,1.0,,2021-10-18 17:56:48+00:00,,,,Methane,,760.0,1151.0,369.0,,4.84,,,1,1.0,2021-10-18 17:56:48+00:00,NASA-GEOS,GHGSat,,78675.03,4.0,218645.0,78675.03,,78876.71766666675,79155.59049999999,79157.58711111134,AZ,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,8015.495,True,TP,1.0,1422.501748629942,1345.011082626823,1501.26340390026,1428.4609969443964,1350.4379994806081,1508.788444122928,1428.0904257734567,1351.3443472666681,1509.1305988749712
17,942,,1496-1-305-1063-1262-10,1.0,1.0,,2021-10-18 17:56:48+00:00,,,,Methane,,1397.0,1878.0,916.0,,8.89,,,1,1.0,2021-10-18 17:56:48+00:00,Sonic,GHGSat,,78675.03,4.0,218645.0,78675.03,,78876.71766666675,79155.59049999999,79157.58711111134,AZ,2021-10-18 17:41:57+00:00,2021-10-18 18:05:57+00:00,2002.0,8015.495,True,TP,1.0,1422.9136856718485,1345.5478506902073,1500.6858762950476,1427.9397383323296,1350.0449640992179,1507.9701592372128,1428.634679306617,1349.851219892405,1508.5234555610975
