,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90
0,904,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,153.0,229.0,77.0,,4.9,,,1,1.0,2021-10-18 17:28:43+00:00,NASA-GEOS,GHGSat,1,,22878.66,4.0,218645.0,22878.66,,22971.248333333348,23095.888833333305,23182.87788888897,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6211.355,True,True,TP,1.0,413.03949540996246,390.33523525112923,436.45297402684986,416.531286116826,389.8065584501331,441.77693932854805,418.06134584884114,392.0664567561355,444.6707753130224
1,1100,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1,1.0,2021-10-18 17:28:43+00:00,Sonic,GHGSat,2,,22878.66,4.0,218645.0,22878.66,,22971.248333333348,23095.888833333305,23182.87788888897,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6211.355,True,True,TP,1.0,414.7345906793719,390.9684242429371,441.46506539875736,415.8561481204203,391.5216247794794,440.8739416069773,418.18069940810136,391.99997474722664,444.49826506343175
2,1296,,1496-1-101-334-533-1,1.0,1.0,,2021-10-18 17:28:43+00:00,,,,Methane,,226.0,299.0,152.0,,7.24,,,1,1.0,2021-10-18 17:28:43+00:00,Sonic,GHGSat,3,,22878.66,4.0,218645.0,22878.66,,22971.248333333348,23095.888833333305,23182.87788888897,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,6211.355,True,True,TP,1.0,413.66740727316716,388.711092131012,439.7559430001297,415.75355136033943,391.6008874844329,441.3575869994063,417.44244963098373,392.44681883739116,443.35784058610966
3,905,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,191.0,289.0,93.0,,4.88,,,1,1.0,2021-10-18 17:31:56+00:00,NASA-GEOS,GHGSat,1,,22910.44,4.0,218645.0,22910.44,,23036.09066666668,23113.24866666662,23113.977555555746,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7789.38,True,True,TP,1.0,415.20802428652433,389.61327043886183,443.03631516118986,416.6980586079565,391.68905990149426,445.8175588143305,416.08614681817966,390.5361322529454,443.2718016109274
4,1101,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,326.0,420.0,232.0,,8.28,,,1,1.0,2021-10-18 17:31:56+00:00,Sonic,GHGSat,2,,22910.44,4.0,218645.0,22910.44,,23036.09066666668,23113.24866666662,23113.977555555746,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7789.38,True,True,TP,1.0,414.6494828632914,390.28920852002636,441.14704367249914,416.8934948693018,392.5908476433647,442.47135204816254,415.39317677091293,392.0625311098775,441.2576839323303
5,1297,,1496-1-301-896-1095-2,1.0,1.0,,2021-10-18 17:31:56+00:00,,,,Methane,,326.0,420.0,232.0,,8.28,,,1,1.0,2021-10-18 17:31:56+00:00,Sonic,GHGSat,3,,22910.44,4.0,218645.0,22910.44,,23036.09066666668,23113.24866666662,23113.977555555746,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,7789.38,True,True,TP,1.0,414.96895690180014,389.65408755461334,439.6893004697913,415.81694883511153,389.20838711479615,442.700977342224,417.3736860387798,392.6292810352696,442.61607285750796
6,906,,1496-1-102-578-777-3,1.0,1.0,,2021-10-18 17:34:38+00:00,,,,Methane,,171.0,256.0,86.0,,4.88,,,1,1.0,2021-10-18 17:34:38+00:00,NASA-GEOS,GHGSat,1,,22717.69,4.0,218645.0,22717.69,,22732.467999999975,22732.23399999999,22749.15377777803,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,9207.765,True,True,TP,1.0,409.5601097095008,385.6137004519184,436.4734554958747,409.01287395276097,384.0435819424392,436.9671288517054,409.3403570841142,383.8958474759635,434.5456364197411
7,1102,,1496-1-102-578-777-3,1.0,1.0,,2021-10-18 17:34:38+00:00,,,,Methane,,277.0,365.0,189.0,,7.88,,,1,1.0,2021-10-18 17:34:38+00:00,Sonic,GHGSat,2,,22717.69,4.0,218645.0,22717.69,,22732.467999999975,22732.23399999999,22749.15377777803,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,9207.765,True,True,TP,1.0,409.38250440313607,384.38948649963737,434.7566270578622,409.0446780457102,383.3431002720744,435.29938743168776,408.54095989124875,384.811503089343,435.8692026787546
8,1298,,1496-1-102-578-777-3,1.0,1.0,,2021-10-18 17:34:38+00:00,,,,Methane,,277.0,365.0,189.0,,7.88,,,1,1.0,2021-10-18 17:34:38+00:00,Sonic,GHGSat,3,,22717.69,4.0,218645.0,22717.69,,22732.467999999975,22732.23399999999,22749.15377777803,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,9207.765,True,True,TP,1.0,409.4356987580423,385.9221300922641,432.5984478879287,409.30564304135737,384.8504454560931,436.3618407297634,408.6248981508492,383.8843686249094,433.38214657392024
9,907,,1496-1-103-471-670-5,1.0,1.0,,2021-10-18 17:40:09+00:00,,,,Methane,,186.0,282.0,90.0,,4.87,,,1,1.0,2021-10-18 17:40:09+00:00,NASA-GEOS,GHGSat,1,,22241.66,4.0,218645.0,22241.66,,22201.81600000001,22188.05516666669,22281.672111111395,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,12093.359999999999,True,True,TP,1.0,400.07696590989616,376.4571288139492,424.2028328127153,400.418478641564,374.9768620631589,425.68810047808927,401.30631862848577,378.1435179775829,425.9919645657005
10,1103,,1496-1-103-471-670-5,1.0,1.0,,2021-10-18 17:40:09+00:00,,,,Methane,,367.0,502.0,232.0,,9.57,,,1,1.0,2021-10-18 17:40:09+00:00,Sonic,GHGSat,2,,22241.66,4.0,218645.0,22241.66,,22201.81600000001,22188.05516666669,22281.672111111395,AZ,2021-10-18 17:16:37+00:00,2021-10-18 17:41:57+00:00,2001.0,12093.359999999999,True,True,TP,1.0,399.60339387794994,373.4799800702697,423.04873355450917,399.81757467163516,378.3655205746122,424.0597851424168,400.50400579179905,377.8640601911543,426.65246223671903
