,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,Wind_MPS_mean300,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
0,1606,,,,,,2021-07-30 15:41:00+00:00,,,,,,321.74,471.71,179.3,,,,,,,2021-07-30 15:41:08+00:00,HRRR,MAIR,1,,22263.9,2.0,162928.0,22263.9,False,,22217.913333333334,22205.886666666665,22171.446666666667,22220.333333333332,14750.965999999999,TX,2.8106333333333335,2021-07-30 15:35:34+00:00,2021-07-30 15:43:14+00:00,2002.0,895.1850000000002,True,5.566666666666666,True,TP,1.0,358.1359506068872,345.6934576445132,372.3168009102981,358.0489220456197,345.34219684404474,371.2074302331835,358.7082781288681,346.30074385435216,371.38851111283117,358.6016593854326,347.5391447864541,371.0107795538865,238.2382522642042,228.4396325666348,247.1013538290903
1,1607,,,,,,2021-07-30 15:52:00+00:00,,,,,,232.19,338.38,133.63,,,,,,,2021-07-30 15:52:20+00:00,HRRR,MAIR,1,,10622.7,2.0,162928.0,10622.7,False,,10520.753333333334,10603.570000000002,10581.6,10661.991333333333,10800.978333333333,TX,2.6375,2021-07-30 15:43:14+00:00,2021-07-30 15:54:44+00:00,2003.0,1625.155,True,9.1,True,TP,1.0,169.87688033955584,161.74709020396932,178.66080020862904,171.3056787640462,163.08661932093486,180.75246228592945,170.93162767425548,162.8197961435375,179.89023181225164,171.97683129601006,164.04237275004905,179.93840277945864,174.36686516487904,166.37354106685996,182.90502311823604
2,1608,,,,,,2021-07-30 16:07:00+00:00,,,,,,109.22,160.03,62.73,,,,,,,2021-07-30 16:07:20+00:00,HRRR,MAIR,1,,3069.8,2.0,162928.0,3069.8,False,,3078.36,3069.883333333333,3082.8133333333335,3108.7493333333337,3130.5133333333333,TX,2.4164666666666665,2021-07-30 15:54:44+00:00,2021-07-30 16:07:54+00:00,2004.0,1803.55,True,12.6,True,TP,1.0,50.103297896753716,43.616468564201284,57.31903640810022,49.53375877452244,42.728495387743635,56.53605652192498,49.758344027109096,43.1705647863999,56.84843701289648,49.88147871818381,42.90639409429932,57.02375447048397,50.83979891611384,44.513740797845976,57.337149715599075
3,1609,,,,,,2021-07-30 16:22:00+00:00,,,,,,102.76,151.54,59.8,,,,,,,2021-07-30 16:22:13+00:00,HRRR,MAIR,1,,0.0,2.0,162928.0,0.0,False,,0.0,0.0,0.0,0.0,0.0,TX,2.122,2021-07-30 16:07:54+00:00,2021-07-30 16:24:44+00:00,2005.0,2025.5349999999999,True,14.316666666666666,False,FP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1610,,,,,,2021-07-30 16:36:00+00:00,,,,,,152.31,222.33,90.07,,,,,,,2021-07-30 16:36:53+00:00,HRRR,MAIR,1,,14812.3,2.0,162928.0,14812.3,False,,14806.633333333333,14689.144999999999,14641.972222222223,14765.292333333335,14899.017999999998,TX,2.8855999999999997,2021-07-30 16:24:44+00:00,2021-07-30 16:38:14+00:00,2006.0,1684.54,True,12.15,True,TP,1.0,239.03119364020282,229.330578241843,249.09095485451394,237.51144922190778,227.884202549004,247.8433979699766,236.4913573246146,227.8451995430545,246.58759086758124,237.9154788118438,229.26512110779925,247.6678396862951,240.094240734617,230.84912179179787,250.85312627735283
5,1611,,,,,,2021-07-30 16:51:00+00:00,,,,,,225.42,392.61,99.69,,,,,,,2021-07-30 16:51:19+00:00,HRRR,MAIR,1,,18378.6,2.0,162928.0,18378.6,False,,18307.383333333335,18259.633333333335,18250.68888888889,18278.138333333332,18358.429166666665,TX,2.2356,2021-07-30 16:38:14+00:00,2021-07-30 16:53:44+00:00,2007.0,1817.1000000000001,True,13.083333333333334,True,TP,1.0,295.23410974495243,284.5085822022578,306.9983983279635,294.59824928731274,284.411455460812,305.78973419634036,294.3937891192166,283.62095250459,305.55229220996915,294.4274427314472,284.4450446764849,305.91981041815075,295.8140561778372,284.58604695869377,308.19736011754134
6,1612,,,,,,2021-07-30 17:06:00+00:00,,,,,,82.21,136.95,33.3,,,,,,,2021-07-30 17:06:22+00:00,HRRR,MAIR,1,,5858.1,2.0,162928.0,5858.1,False,,5885.4400000000005,5874.593333333333,5875.444444444444,5922.7660000000005,5989.094,TX,3.4029,2021-07-30 16:53:44+00:00,2021-07-30 17:09:14+00:00,2008.0,2082.965,True,12.633333333333333,True,TP,1.0,95.324524792752,88.05309584663313,102.01708859992588,94.18114541086872,86.2360429616752,102.41742886651171,94.771752055557,87.36460037457823,102.18169518093244,95.59337143008413,89.18880331965643,102.88682057421033,96.40213202404746,88.7137233770202,103.83182135505045
7,1613,,,,,,2021-07-30 17:22:00+00:00,,,,,,362.67,613.8,138.79,,,,,,,2021-07-30 17:22:17+00:00,HRRR,MAIR,1,,23200.3,2.0,162928.0,23200.3,False,,23715.596666666668,23550.54,23641.70666666666,23764.362999999998,23972.585333333333,TX,2.3562333333333334,2021-07-30 17:09:14+00:00,2021-07-30 17:22:54+00:00,2009.0,1982.44,True,13.05,True,TP,1.0,382.4484322217269,369.5155865526096,397.5502563624199,379.91365529906693,368.02431786459124,394.9981925988813,381.1908051806696,369.20596185220893,395.4191412655033,383.0610075596535,372.23615687119366,397.8553110221193,386.26548157488077,373.5798585430113,400.7426417451305
8,1614,,,,,,2021-07-30 18:08:00+00:00,,,,,,205.48,331.16,89.54,,,,,,,2021-07-30 18:08:00+00:00,HRRR,MAIR,1,,3935.5,4.0,218645.0,3935.5,False,,3953.006666666667,3940.8633333333332,3933.304444444444,3883.11,2618.6466666666665,TX,3.0146666666666664,2021-07-30 17:55:24+00:00,2021-07-31 15:22:50+00:00,2014.0,2578.3050000000003,True,12.6,True,TP,1.0,63.99708030490643,59.00445372555296,69.08778500848598,63.30044940478994,58.68556088902138,68.11913411807362,63.469878568816796,58.77740541451858,68.48964070672939,62.4415178057622,57.76544622866238,67.25163435129735,42.64173189817439,38.29315219177203,46.977058143047934
9,1615,,,,,,2021-08-03 15:53:00+00:00,,,,,,140.85,211.86,76.46,,,,,,,2021-08-03 15:52:47+00:00,HRRR,MAIR,1,,18916.36,4.0,218645.0,18916.36,False,,1261.0906666666667,630.5453333333334,420.3635555555556,126.10906666666666,24097.060266666667,TX,2.4135666666666666,2021-07-31 16:04:00+00:00,2021-08-03 15:53:15+00:00,2018.0,60340.925,True,4308.783333333334,False,NS,0.0,20.554220391647032,16.309788147924856,24.986342998657367,10.330932929084938,5.547383236631062,14.757185481394492,6.567299318921403,2.138542405888853,11.090365647263495,2.006252900265607,-2.326263382839192,6.242498342894999,390.09591401051904,378.7330449680403,403.32190846728565
10,1616,,,,,,2021-08-03 16:11:00+00:00,,,,,,344.58,512.42,189.55,,,,,,,2021-08-03 16:11:48+00:00,HRRR,MAIR,1,,30301.25,4.0,218645.0,30301.25,False,,30593.569333333333,30616.688166666667,30627.053555555554,30625.512666666662,30768.753016666666,TX,2.4562,2021-08-03 15:53:15+00:00,2021-08-03 16:12:25+00:00,2019.0,2554.585,True,18.55,True,TP,1.0,492.3838949091634,476.9004467872288,508.6489473872241,494.6761494721078,478.5570553053051,513.3472717139339,493.3836415777007,478.6301693371619,510.6174724243624,493.92965332717097,479.4183711296663,510.8509098047048,496.41379280152927,481.54752930278323,512.5510487796649
11,1617,,,,,,2021-08-03 16:30:00+00:00,,,,,,472.22,682.46,280.28,,,,,,,2021-08-03 16:30:21+00:00,HRRR,MAIR,1,,34689.52,4.0,218645.0,34689.52,False,,34680.918,34653.852,34687.43644444444,34998.743866666664,35593.07196666666,TX,2.2969000000000004,2021-08-03 16:21:15+00:00,2021-08-03 16:31:35+00:00,2022.0,1397.27,True,9.1,True,TP,1.0,559.6576046989677,543.0489474672106,578.4044958065407,560.5540358597674,544.390994279316,579.0646001573418,560.0862293183778,544.1315227529069,577.4047399111333,565.0221267340728,547.9957203107111,583.5908844139323,571.6056926483924,554.4436285251671,590.6123265240777
12,1618,,,,,,2021-08-03 16:49:00+00:00,,,,,,299.01,415.01,197.33,,,,,,,2021-08-03 16:48:33+00:00,HRRR,MAIR,1,,18462.68,4.0,218645.0,18462.68,False,,18348.214,18396.759333333335,18395.23688888889,18618.138866666668,18769.381866666667,TX,2.3729666666666667,2021-08-03 16:31:35+00:00,2021-08-03 16:50:45+00:00,2023.0,2225.375,True,16.96666666666667,True,TP,1.0,295.81952111303923,286.7581104009637,306.0939406705258,296.230584675672,286.3881575867291,306.27054249764257,297.0726292322723,286.1243126827726,308.07615531914684,300.53977981342064,289.66776822714087,312.1791066342267,303.54191528608567,293.08060642327786,315.16127859085435
13,1619,,,,,,2021-08-03 17:06:00+00:00,,,,,,694.32,859.69,537.16,,,,,,,2021-08-03 17:06:37+00:00,HRRR,MAIR,1,,40329.73,4.0,218645.0,40329.73,False,,40424.94000000001,40440.233,40476.80533333333,40825.99846666667,41798.54813333334,TX,2.0464333333333333,2021-08-03 16:58:15+00:00,2021-08-03 17:35:25+00:00,2026.0,1058.6750000000002,True,8.366666666666667,True,TP,1.0,651.6789517626075,633.4591498590761,673.75818993142,650.569960030468,630.3741630901408,671.3841102333848,651.9299897866644,632.1009756676956,673.9656217505423,659.140475053763,641.5642566048685,680.5631924069,675.748023347859,656.8785427810855,699.590215432494
