,level_0,index,PerformerExperimentID,FacilityID,EquipmentUnitID,DateOfSurvey,Operator_Timestamp,StartTime,EndTime,SurveyTime,Gas,PlumeLength (hyperspectral technologies only),FacilityEmissionRate,FacilityEmissionRateUpper,FacilityEmissionRateLower,UncertaintyType,WindSpeed,WindDirection,TransitDirection,QC filter,NumberOfEmissionSourcesReported,Stanford_timestamp,WindType,OperatorSet,UnblindingStage,Notes,cr_quad_scfh,PipeSize_inch,MeterCode,cr_allmeters_scfh,Flag_field_recorded,cr_Coriolis_gps,cr_scfh_mean30,cr_scfh_mean60,cr_scfh_mean90,cr_scfh_mean300,cr_scfh_mean600,TestLocation,cr_start,cr_end,cr_idx,PlumeLength_m,PlumeEstablished,PlumeDevelopTime,PlumeSteady,tc_Classification,Detection,cr_kgh_CH4_mean30,cr_kgh_CH4_lower30,cr_kgh_CH4_upper30,cr_kgh_CH4_mean60,cr_kgh_CH4_lower60,cr_kgh_CH4_upper60,cr_kgh_CH4_mean90,cr_kgh_CH4_lower90,cr_kgh_CH4_upper90,cr_kgh_CH4_mean300,cr_kgh_CH4_lower300,cr_kgh_CH4_upper300,cr_kgh_CH4_mean600,cr_kgh_CH4_lower600,cr_kgh_CH4_upper600
0,1628,,2,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,3848,5772,1924,50%,2.01,,,,,2021-10-24 17:35:19+00:00,,GHGSat C2/GHGSat,1,,235496.0,8.0,218645.0,235496.0,False,,234785.0,234745.28333333333,234765.1,234940.85666666666,234874.51166666666,AZ,2021-10-24 17:19:20+00:00,0.0,2006.0,2621.325,True,15.983333333333336,True,TP,1.0,4236.981000781493,4002.8606258241743,4479.877995846409,4236.576961445241,4004.4478700954287,4475.556332359707,4234.866469495705,4002.020250905537,4470.857549096865,4240.127278439704,4005.902309778392,4477.098422453355,4237.897448943786,4002.072532054639,4478.460364208289
1,1676,,2,1.0,1.0,,2021-10-24 17:35:19+00:00,,,,Methane,,4408,5378,3438,22%,2.49,,,,,2021-10-24 17:35:19+00:00,,GHGSat C2/GHGSat,2,,235496.0,8.0,218645.0,235496.0,False,,234785.0,234745.28333333333,234765.1,234940.85666666666,234874.51166666666,AZ,2021-10-24 17:19:20+00:00,0.0,2006.0,2621.325,True,15.983333333333336,True,TP,1.0,4237.797332529327,4002.9423150766816,4478.691762808702,4234.5664558923345,3997.9374734635926,4465.71722487275,4236.718712565858,4008.104970798963,4466.161135136961,4240.061482219872,4011.812750372475,4478.00479026822,4235.139185705874,4003.9131731369257,4475.365602263573
2,1629,,3,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,223,305.51,140.49,37%,5.06,,,,,2021-10-25 17:24:37+00:00,,GHGSat C2/GHGSat,1,,10878.2,2.0,218645.0,10878.2,False,,10928.99,10939.613333333333,10940.062222222223,10957.806333333334,11027.274333333333,AZ,2021-10-25 17:13:41+00:00,0.0,2008.0,3190.58,True,10.933333333333334,True,TP,1.0,197.29217318481489,186.22629666928958,208.5028237543423,197.34566937002703,186.01661980060237,208.71244151958913,197.42586094023955,186.33378146504478,208.54212921935417,197.7154174659272,186.40649246153004,208.80587084191149,198.8907520221294,187.82107188246664,210.14892479777075
3,1677,,3,1.0,1.0,,2021-10-25 17:24:37+00:00,,,,Methane,,253,317,189,25%,5.93,,,,,2021-10-25 17:24:37+00:00,,GHGSat C2/GHGSat,2,,10878.2,2.0,218645.0,10878.2,False,,10928.99,10939.613333333333,10940.062222222223,10957.806333333334,11027.274333333333,AZ,2021-10-25 17:13:41+00:00,0.0,2008.0,3190.58,True,10.933333333333334,True,TP,1.0,197.22981055929702,186.11742695961797,208.9114078195467,197.36828181976975,186.19356284153554,208.60363574775798,197.43960942647175,186.335478725151,208.54410019510746,197.70287191134886,186.47701470524024,208.91764746994926,198.99272531989277,187.57789172285354,210.36921568852733
4,1631,,5,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,4985,,,1691,2.736019525,169.1555,,,,2021-10-21 18:23:12+00:00,,PRISMA/UPV,1,,248685.0,8.0,218645.0,248685.0,False,,249130.86666666667,249464.31666666668,250304.63333333333,248276.68666666668,239922.84333333332,AZ,2021-10-21 17:55:38+00:00,0.0,2003.0,6527.635,True,27.566666666666666,True,TP,1.0,4493.969041303347,4249.05505180904,4745.742274152638,4502.4697486505165,4252.69850986947,4755.731093201356,4514.614549021326,4269.368372318065,4773.949980153153,4481.699129689853,4236.834521144443,4734.98389286079,4329.772671234491,4094.2990990482567,4572.375038859923
5,1654,,28,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1228,3561,4401,2721,1-sigma confidence interval,2.2,6,191,,,2021-10-21 18:23:12+00:00,,PRISMA/Kayrros,1,,248685.0,8.0,218645.0,248685.0,False,,249130.86666666667,249464.31666666668,250304.63333333333,248276.68666666668,239922.84333333332,AZ,2021-10-21 17:55:38+00:00,0.0,2003.0,6527.635,True,27.566666666666666,True,TP,1.0,4494.401203720048,4248.547828862497,4739.381256382381,4499.014732127299,4256.888053887998,4757.464523562202,4517.487510683454,4270.63638503321,4763.154452060589,4480.471548212869,4234.242202867571,4733.304010612541,4330.693755247793,4089.141369864978,4572.834482540292
6,1679,,5,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1004.9,6469,,,2434,3.935766667,,,,,2021-10-21 18:23:12+00:00,,PRISMA/UPV,2,,248685.0,8.0,218645.0,248685.0,False,,249130.86666666667,249464.31666666668,250304.63333333333,248276.68666666668,239922.84333333332,AZ,2021-10-21 17:55:38+00:00,0.0,2003.0,6527.635,True,27.566666666666666,True,TP,1.0,4494.967941214905,4247.460299613706,4754.783395091079,4500.615824700152,4254.805991598534,4754.681411888726,4517.562054027595,4269.2067084850405,4776.305176899565,4482.107377103438,4235.134288660723,4734.120011211014,4328.421177140818,4090.995936434739,4571.038332497957
7,1702,,28,1.0,1.0,,2021-10-21 18:23:12+00:00,,,,Methane,1228,4781,5727,3835,1-sigma confidence interval,3.89,42.9,191.0,,,2021-10-21 18:23:12+00:00,,PRISMA/Kayrros,2,,248685.0,8.0,218645.0,248685.0,False,,249130.86666666667,249464.31666666668,250304.63333333333,248276.68666666668,239922.84333333332,AZ,2021-10-21 17:55:38+00:00,0.0,2003.0,6527.635,True,27.566666666666666,True,TP,1.0,4496.90829252461,4251.046944910191,4750.382207459161,4501.765914711188,4253.1865704432685,4754.327702001621,4515.35931321342,4269.1164411104855,4762.802298011998,4478.806041134273,4236.129534804555,4729.130289093242,4329.819319532885,4091.814729799498,4572.514593541584
8,1632,,6,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,1020.9,7226,,,2890,5.155525006,183.9472,,,,2021-10-27 18:26:30+00:00,,PRISMA/UPV,1,,188145.0,8.0,218645.0,188145.0,False,,187899.6,188305.3,188790.54444444444,190816.70666666667,192626.13333333333,AZ,2021-10-27 18:13:45+00:00,0.0,2009.0,2812.0099999999998,True,12.75,True,TP,1.0,3390.6148693151495,3199.086187932235,3585.1750342367195,3398.746369533959,3207.589591941924,3588.3054203430124,3405.1857230348087,3214.7164398223226,3600.4474969133985,3443.1044832215243,3249.716500818329,3634.1585241641296,3475.975192883568,3280.1584082660934,3671.4446535646507
9,1655,,29,1.0,1.0,,2021-10-27 18:26:30+00:00,,,,Methane,422,5479,6821,4137,1-sigma confidence interval,3.8,350,191,,,2021-10-27 18:26:30+00:00,,PRISMA/Kayrros,1,,188145.0,8.0,218645.0,188145.0,False,,187899.6,188305.3,188790.54444444444,190816.70666666667,192626.13333333333,AZ,2021-10-27 18:13:45+00:00,0.0,2009.0,2812.0099999999998,True,12.75,True,TP,1.0,3390.8498561102233,3201.8725924434502,3579.9473678106215,3397.719494788694,3208.1399331655048,3587.299533182467,3407.343937278054,3213.4468161042864,3604.8354706185996,3445.2557040139345,3252.994173081615,3639.798558470492,3476.415761622076,3283.8669246834747,3670.0241907176232
